date,/m/07mf1
2020-03-01,0
2020-03-02,51
2020-03-03,28
2020-03-04,0
2020-03-05,53
2020-03-06,27
2020-03-07,0
2020-03-08,0
2020-03-09,38
2020-03-10,77
2020-03-11,0
2020-03-12,51
2020-03-13,56
2020-03-14,57
2020-03-15,50
2020-03-16,69
2020-03-17,100
2020-03-18,47
2020-03-19,49
2020-03-20,79
2020-03-21,63
2020-03-22,37
2020-03-23,40
2020-03-24,76
2020-03-25,67
2020-03-26,56
2020-03-27,54
2020-03-28,37
2020-03-29,35
2020-03-30,21
2020-03-31,53
2020-04-01,44
2020-04-02,34
2020-04-03,34
2020-04-04,51
2020-04-05,26
2020-04-06,32
2020-04-07,33
2020-04-08,34
2020-04-09,66
2020-04-10,34
2020-04-11,25
2020-04-12,0
2020-04-13,36
2020-04-14,53
2020-04-15,0
2020-04-16,0
2020-04-17,68
2020-04-18,26
2020-04-19,25
2020-04-20,68
2020-04-21,44
2020-04-22,24
2020-04-23,0
2020-04-24,24
2020-04-25,38
2020-04-26,91
2020-04-27,46
2020-04-28,41
2020-04-29,43
2020-04-30,40
2020-05-01,42
2020-05-02,0
2020-05-03,23
2020-05-04,43
2020-05-05,57
2020-05-06,54
2020-05-07,0
2020-05-08,36
2020-05-09,25
2020-05-10,23
2020-05-11,63
2020-05-12,23
2020-05-13,33
2020-05-14,0
2020-05-15,0
2020-05-16,29
2020-05-17,0
2020-05-18,25
2020-05-19,24
2020-05-20,0
2020-05-21,28
2020-05-22,52
2020-05-23,24
2020-05-24,28
2020-05-25,48
2020-05-26,0
2020-05-27,50
2020-05-28,47
2020-05-29,24
2020-05-30,0
2020-05-31,29
2020-06-01,25
2020-06-02,23
2020-06-03,22
2020-06-04,32
2020-06-05,0
2020-06-06,24
2020-06-07,26
2020-06-08,0
2020-06-09,21
2020-06-10,23
2020-06-11,24
2020-06-12,26
2020-06-13,26
2020-06-14,26
2020-06-15,24
2020-06-16,0
2020-06-17,24
2020-06-18,25
2020-06-19,25
2020-06-20,0
2020-06-21,0
2020-06-22,0
2020-06-23,0
2020-06-24,54
2020-06-25,27
2020-06-26,0
2020-06-27,0
2020-06-28,25
2020-06-29,0
2020-06-30,26
2020-07-01,0
2020-07-02,0
2020-07-03,0
2020-07-04,0
2020-07-05,0
2020-07-06,26
2020-07-07,27
2020-07-08,56
2020-07-09,56
2020-07-10,0
2020-07-11,0
2020-07-12,0
2020-07-13,29
2020-07-14,0
2020-07-15,37
2020-07-16,27
2020-07-17,28
2020-07-18,0
2020-07-19,48
2020-07-20,28
2020-07-21,0
2020-07-22,0
2020-07-23,0
2020-07-24,0
2020-07-25,32
2020-07-26,0
2020-07-27,0
2020-07-28,57
2020-07-29,0
2020-07-30,29
2020-07-31,87
2020-08-01,32
2020-08-02,0
2020-08-03,0
2020-08-04,0
2020-08-05,30
2020-08-06,0
2020-08-07,31
2020-08-08,34
2020-08-09,0
2020-08-10,0
2020-08-11,0
2020-08-12,28
2020-08-13,28
2020-08-14,0
2020-08-15,0
2020-08-16,0
2020-08-17,0
2020-08-18,41
2020-08-19,28
2020-08-20,0
2020-08-21,57
2020-08-22,30
2020-08-23,0
2020-08-24,0
2020-08-25,28
2020-08-26,0
2020-08-27,0
2020-08-28,26
2020-08-29,57
2020-08-30,27
2020-08-31,0
2020-09-01,27
2020-09-02,0
2020-09-03,29
2020-09-04,29
2020-09-05,0
2020-09-06,0
2020-09-07,28
2020-09-08,57
2020-09-09,28
2020-09-10,28
2020-09-11,28
2020-09-12,31
2020-09-13,0
2020-09-14,28
2020-09-15,28
2020-09-16,0
2020-09-17,84
2020-09-18,0
2020-09-19,29
2020-09-20,28
2020-09-21,26
2020-09-22,53
2020-09-23,27
2020-09-24,54
2020-09-25,0
2020-09-26,59
2020-09-27,0
2020-09-28,41
2020-09-29,29
2020-09-30,0
2020-10-01,27
2020-10-02,28
2020-10-03,29
2020-10-04,27
2020-10-05,26
2020-10-06,0
2020-10-07,39
2020-10-08,29
2020-10-09,31
2020-10-10,0
2020-10-11,28
2020-10-12,28
2020-10-13,58
2020-10-14,56
2020-10-15,0
2020-10-16,0
2020-10-17,31
2020-10-18,31
