date,/m/0g9pc
2020-02-01,19.0
2020-02-02,14.0
2020-02-03,12.0
2020-02-04,12.0
2020-02-05,10.0
2020-02-06,8.0
2020-02-07,9.0
2020-02-08,9.0
2020-02-09,10.0
2020-02-10,11.0
2020-02-11,11.0
2020-02-12,11.0
2020-02-13,10.0
2020-02-14,8.0
2020-02-15,8.0
2020-02-16,8.0
2020-02-17,6.0
2020-02-18,7.0
2020-02-19,7.0
2020-02-20,6.0
2020-02-21,6.0
2020-02-22,10.0
2020-02-23,20.0
2020-02-24,28.0
2020-02-25,52.0
2020-02-26,40.0
2020-02-27,30.0
2020-02-28,26.0
2020-02-29,26.0
2020-03-01,22.0
2020-03-02,23.0
2020-03-03,25.0
2020-03-04,28.0
2020-03-05,27.0
2020-03-06,25.0
2020-03-07,23.0
2020-03-08,26.0
2020-03-09,46.0
2020-03-10,65.0
2020-03-11,67.0
2020-03-12,100.0
2020-03-13,98.0
2020-03-14,91.0
2020-03-15,82.0
2020-03-16,69.0
2020-03-17,65.0
2020-03-18,66.0
2020-03-19,57.0
2020-03-20,56.0
2020-03-21,64.0
2020-03-22,60.0
2020-03-23,46.0
2020-03-24,46.0
2020-03-25,55.0
2020-03-26,58.0
2020-03-27,40.0
2020-03-28,47.0
2020-03-29,36.0
2020-03-30,38.0
2020-03-31,32.0
2020-04-01,29.0
2020-04-02,28.0
2020-04-03,29.0
2020-04-04,31.0
2020-04-05,30.0
2020-04-06,26.0
2020-04-07,25.0
2020-04-08,22.0
2020-04-09,20.0
2020-04-10,23.0
2020-04-11,21.0
2020-04-12,21.0
2020-04-13,19.0
2020-04-14,19.0
2020-04-15,19.0
2020-04-16,18.0
2020-04-17,18.0
2020-04-18,20.0
2020-04-19,17.0
2020-04-20,15.0
2020-04-21,15.0
2020-04-22,16.0
2020-04-23,17.0
2020-04-24,14.0
2020-04-25,14.0
2020-04-26,17.0
2020-04-27,15.0
2020-04-28,15.0
2020-04-29,13.0
2020-04-30,14.0
2020-05-01,13.0
2020-05-02,14.0
2020-05-03,13.0
2020-05-04,12.0
2020-05-05,12.0
2020-05-06,13.0
2020-05-07,13.0
2020-05-08,15.0
2020-05-09,14.0
2020-05-10,13.0
2020-05-11,11.0
2020-05-12,12.0
2020-05-13,12.0
2020-05-14,12.0
2020-05-15,12.0
2020-05-16,12.0
2020-05-17,11.0
2020-05-18,9.0
2020-05-19,9.0
2020-05-20,10.0
2020-05-21,10.0
2020-05-22,9.0
2020-05-23,9.0
2020-05-24,9.0
2020-05-25,10.0
2020-05-26,8.0
2020-05-27,8.0
2020-05-28,9.0
2020-05-29,8.0
2020-05-30,10.0
2020-05-31,7.0
2020-06-01,7.0
2020-06-02,6.0
2020-06-03,6.0
2020-06-04,6.0
2020-06-05,6.0
2020-06-06,5.0
2020-06-07,6.0
2020-06-08,6.0
2020-06-09,5.0
2020-06-10,6.0
2020-06-11,5.0
2020-06-12,5.0
2020-06-13,6.0
2020-06-14,5.0
2020-06-15,8.0
2020-06-16,11.0
2020-06-17,9.0
2020-06-18,6.0
2020-06-19,6.0
2020-06-20,6.0
2020-06-21,6.0
2020-06-22,6.0
2020-06-23,6.0
2020-06-24,6.0
2020-06-25,5.0
2020-06-26,4.0
2020-06-27,6.0
2020-06-28,6.0
2020-06-29,5.0
2020-06-30,8.0
2020-07-01,6.0
2020-07-02,7.0
2020-07-03,6.0
2020-07-04,6.0
2020-07-05,6.0
2020-07-06,4.0
2020-07-07,6.0
2020-07-08,6.0
2020-07-09,5.0
2020-07-10,6.0
2020-07-11,5.0
2020-07-12,5.0
2020-07-13,5.0
2020-07-14,6.0
2020-07-15,5.0
2020-07-16,6.0
2020-07-17,6.0
2020-07-18,6.0
2020-07-19,5.0
2020-07-20,7.0
2020-07-21,5.0
2020-07-22,6.0
2020-07-23,6.0
2020-07-24,6.0
2020-07-25,6.0
2020-07-26,7.0
2020-07-27,5.0
2020-07-28,6.0
2020-07-29,7.0
2020-07-30,5.0
2020-07-31,5.0
2020-08-01,5.0
2020-08-02,6.0
2020-08-03,7.0
2020-08-04,5.0
2020-08-05,4.0
2020-08-06,5.0
2020-08-07,7.0
2020-08-08,6.0
2020-08-09,7.0
2020-08-10,5.0
2020-08-11,7.0
2020-08-12,11.0
2020-08-13,14.0
2020-08-14,11.0
2020-08-15,9.0
2020-08-16,6.0
2020-08-17,8.0
2020-08-18,6.0
2020-08-19,7.0
2020-08-20,7.0
2020-08-21,12.0
2020-08-22,9.0
2020-08-23,9.0
2020-08-24,9.0
2020-08-25,7.0
2020-08-26,7.0
2020-08-27,6.0
2020-08-28,7.0
2020-08-29,7.0
2020-08-30,6.0
2020-08-31,5.0
2020-09-01,5.0
2020-09-02,6.0
2020-09-03,5.0
2020-09-04,5.0
2020-09-05,6.0
2020-09-06,6.0
2020-09-07,5.0
2020-09-08,6.0
2020-09-09,6.0
2020-09-10,6.0
2020-09-11,5.0
2020-09-12,5.0
2020-09-13,5.0
2020-09-14,7.0
2020-09-15,7.0
2020-09-16,6.0
2020-09-17,5.0
2020-09-18,6.0
2020-09-19,5.0
2020-09-20,6.0
2020-09-21,5.0
2020-09-22,5.0
2020-09-23,6.0
2020-09-24,5.0
2020-09-25,5.0
2020-09-26,4.0
2020-09-27,6.0
2020-09-28,5.0
2020-09-29,4.0
2020-09-30,5.0
2020-10-01,4.0
2020-10-02,4.0
2020-10-03,4.0
2020-10-04,6.0
2020-10-05,5.0
2020-10-06,5.0
2020-10-07,6.0
2020-10-08,4.0
2020-10-09,5.0
2020-10-10,4.0
2020-10-11,4.0
2020-10-12,5.0
2020-10-13,4.0
2020-10-14,4.0
2020-10-15,5.0
2020-10-16,5.0
2020-10-17,5.0
2020-10-18,6.0
2020-10-19,5.0
2020-10-20,6.0
2020-10-21,5.0
2020-10-22,6.0
2020-10-23,6.0
2020-10-24,5.0
2020-10-25,6.0
2020-10-26,6.0
2020-10-27,6.0
2020-10-28,6.93584834657483
2020-10-29,5.794506213594162
2020-10-30,6.409075054429906
2020-10-31,6.233483957048265
2020-11-01,5.267732921449238
2020-11-02,6.93584834657483
2020-11-03,5.092141824067597
2020-11-04,4.389777434541032
2020-11-05,5.618915116212521
2020-11-06,4.214186337159391
2020-11-07,5.267732921449238
2020-11-08,4.565368531922673
2020-11-09,6.145688408357445
2020-11-10,5.7067106649033414
2020-11-11,4.565368531922673
2020-11-12,2.9850486554879017
2020-11-13,4.03859523977775
2020-11-14,4.740959629304315
2020-11-15,4.828755177995135
2020-11-16,4.389777434541032
2020-11-17,5.0043462753767765
2020-11-18,8.0771904795555
2020-11-19,4.740959629304315
2020-11-20,4.828755177995135
2020-11-21,4.3019818858502115
2020-11-22,4.12639078846857
2020-11-23,4.3019818858502115
2020-11-24,4.3019818858502115
2020-11-25,3.160639752869543
2020-11-26,3.9507996910869285
2020-11-27,2.9850486554879017
2020-11-28,3.160639752869543
2020-11-29,3.6874130450144667
2020-11-30,4.3019818858502115
2020-12-01,4.477572983231853
2020-12-02,4.12639078846857
2020-12-03,5.179937372758418
2020-12-04,4.12639078846857
2020-12-05,4.653164080613494
2020-12-06,3.599617496323646
2020-12-07,4.653164080613494
2020-12-08,5.5311195675217
2020-12-09,6.145688408357445
2020-12-10,3.863004142396108
2020-12-11,4.214186337159391
2020-12-12,5.618915116212521
2020-12-13,3.599617496323646
2020-12-14,5.092141824067597
2020-12-15,3.6874130450144667
2020-12-16,4.828755177995135
2020-12-17,4.3019818858502115
2020-12-18,5.44332401883088
2020-12-19,4.389777434541032
2020-12-20,8.603963771700423
2020-12-21,8.779554869082064
2020-12-22,6.145688408357445
2020-12-23,4.828755177995135
2020-12-24,5.5311195675217
2020-12-25,4.3019818858502115
2020-12-26,6.321279505739086
2020-12-27,4.740959629304315
2020-12-28,4.389777434541032
2020-12-29,5.092141824067597
2020-12-30,5.355528470140059
2020-12-31,4.828755177995135
2021-01-01,4.653164080613494
2021-01-02,4.389777434541032
2021-01-03,4.828755177995135
2021-01-04,4.828755177995135
2021-01-05,5.794506213594162
2021-01-06,3.9507996910869285
2021-01-07,3.7752085937052873
2021-01-08,4.477572983231853
2021-01-09,4.389777434541032
2021-01-10,4.477572983231853
2021-01-11,4.389777434541032
2021-01-12,4.3019818858502115
2021-01-13,5.5311195675217
2021-01-14,5.44332401883088
2021-01-15,5.44332401883088
2021-01-16,5.267732921449238
2021-01-17,5.7067106649033414
2021-01-18,4.389777434541032
2021-01-19,7.813803833483036
2021-01-20,5.44332401883088
2021-01-21,5.7067106649033414
2021-01-22,5.5311195675217
2021-01-23,6.233483957048265
2021-01-24,5.0043462753767765
2021-01-25,4.389777434541032
2021-01-26,6.584666151811548
2021-01-27,5.794506213594162
2021-01-28,5.44332401883088
2021-01-29,6.145688408357445
2021-01-30,4.565368531922673
2021-01-31,6.057892859666624
2021-02-01,5.44332401883088
2021-02-02,5.267732921449238
2021-02-03,4.3019818858502115
2021-02-04,4.477572983231853
2021-02-05,4.828755177995135
2021-02-06,4.12639078846857
2021-02-07,3.9507996910869285
2021-02-08,3.599617496323646
2021-02-09,4.477572983231853
2021-02-10,4.740959629304315
2021-02-11,4.3019818858502115
2021-02-12,3.9507996910869285
2021-02-13,2.9850486554879017
2021-02-14,3.599617496323646
2021-02-15,4.3019818858502115
2021-02-16,3.5118219476328254
2021-02-17,4.389777434541032
2021-02-18,4.12639078846857
2021-02-19,3.7752085937052873
2021-02-20,3.9507996910869285
2021-02-21,3.7752085937052873
2021-02-22,3.2484353015603635
2021-02-23,3.599617496323646
