date,/m/0fd23
2020-02-01,0.0
2020-02-02,8.0
2020-02-03,30.0
2020-02-04,9.0
2020-02-05,9.0
2020-02-06,9.0
2020-02-07,27.0
2020-02-08,18.0
2020-02-09,16.0
2020-02-10,33.0
2020-02-11,16.0
2020-02-12,8.0
2020-02-13,8.0
2020-02-14,17.0
2020-02-15,9.0
2020-02-16,26.0
2020-02-17,17.0
2020-02-18,0.0
2020-02-19,17.0
2020-02-20,9.0
2020-02-21,27.0
2020-02-22,20.0
2020-02-23,18.0
2020-02-24,0.0
2020-02-25,8.0
2020-02-26,33.0
2020-02-27,25.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,8.0
2020-03-02,0.0
2020-03-03,24.0
2020-03-04,8.0
2020-03-05,24.0
2020-03-06,16.0
2020-03-07,9.0
2020-03-08,8.0
2020-03-09,16.0
2020-03-10,8.0
2020-03-11,16.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,34.0
2020-03-15,0.0
2020-03-16,7.0
2020-03-17,20.0
2020-03-18,21.0
2020-03-19,30.0
2020-03-20,14.0
2020-03-21,8.0
2020-03-22,30.0
2020-03-23,19.0
2020-03-24,21.0
2020-03-25,20.0
2020-03-26,21.0
2020-03-27,13.0
2020-03-28,24.0
2020-03-29,15.0
2020-03-30,26.0
2020-03-31,39.0
2020-04-01,41.0
2020-04-02,34.0
2020-04-03,0.0
2020-04-04,24.0
2020-04-05,64.0
2020-04-06,0.0
2020-04-07,26.0
2020-04-08,14.0
2020-04-09,41.0
2020-04-10,14.0
2020-04-11,39.0
2020-04-12,47.0
2020-04-13,29.0
2020-04-14,14.0
2020-04-15,72.0
2020-04-16,22.0
2020-04-17,29.0
2020-04-18,62.0
2020-04-19,36.0
2020-04-20,13.0
2020-04-21,21.0
2020-04-22,43.0
2020-04-23,28.0
2020-04-24,7.0
2020-04-25,23.0
2020-04-26,40.0
2020-04-27,19.0
2020-04-28,6.0
2020-04-29,0.0
2020-04-30,12.0
2020-05-01,20.0
2020-05-02,20.0
2020-05-03,14.0
2020-05-04,26.0
2020-05-05,12.0
2020-05-06,58.0
2020-05-07,41.0
2020-05-08,34.0
2020-05-09,36.0
2020-05-10,21.0
2020-05-11,20.0
2020-05-12,7.0
2020-05-13,29.0
2020-05-14,36.0
2020-05-15,23.0
2020-05-16,9.0
2020-05-17,56.0
2020-05-18,51.0
2020-05-19,30.0
2020-05-20,46.0
2020-05-21,52.0
2020-05-22,47.0
2020-05-23,18.0
2020-05-24,27.0
2020-05-25,36.0
2020-05-26,73.0
2020-05-27,73.0
