date,/m/01c751
2020-02-01,11.0
2020-02-02,26.0
2020-02-03,8.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,3.0
2020-02-07,0.0
2020-02-08,11.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,3.0
2020-02-12,3.0
2020-02-13,0.0
2020-02-14,3.0
2020-02-15,0.0
2020-02-16,3.0
2020-02-17,3.0
2020-02-18,9.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,9.0
2020-02-22,4.0
2020-02-23,10.0
2020-02-24,14.0
2020-02-25,38.0
2020-02-26,11.0
2020-02-27,11.0
2020-02-28,3.0
2020-02-29,24.0
2020-03-01,22.0
2020-03-02,8.0
2020-03-03,8.0
2020-03-04,11.0
2020-03-05,6.0
2020-03-06,9.0
2020-03-07,7.0
2020-03-08,7.0
2020-03-09,16.0
2020-03-10,22.0
2020-03-11,38.0
2020-03-12,47.0
2020-03-13,73.0
2020-03-14,100.0
2020-03-15,84.0
2020-03-16,77.0
2020-03-17,60.0
2020-03-18,67.0
2020-03-19,33.0
2020-03-20,53.0
2020-03-21,52.0
2020-03-22,54.0
2020-03-23,42.0
2020-03-24,70.0
2020-03-25,27.0
2020-03-26,32.0
2020-03-27,49.0
2020-03-28,33.0
2020-03-29,34.0
2020-03-30,31.0
2020-03-31,29.0
2020-04-01,33.0
2020-04-02,28.0
2020-04-03,20.0
2020-04-04,34.0
2020-04-05,20.0
2020-04-06,23.0
2020-04-07,24.0
2020-04-08,21.0
2020-04-09,22.0
2020-04-10,23.0
2020-04-11,14.0
2020-04-12,21.0
2020-04-13,15.0
2020-04-14,16.0
2020-04-15,19.0
2020-04-16,6.0
2020-04-17,18.0
2020-04-18,17.0
2020-04-19,18.0
2020-04-20,21.0
2020-04-21,11.0
2020-04-22,12.0
2020-04-23,11.0
2020-04-24,12.0
2020-04-25,14.0
2020-04-26,17.0
2020-04-27,11.0
2020-04-28,6.0
2020-04-29,11.0
2020-04-30,11.0
2020-05-01,13.0
2020-05-02,7.0
2020-05-03,10.0
2020-05-04,3.0
2020-05-05,16.0
2020-05-06,3.0
2020-05-07,6.0
2020-05-08,13.0
2020-05-09,7.0
2020-05-10,10.0
2020-05-11,8.0
2020-05-12,11.0
2020-05-13,6.0
2020-05-14,3.0
2020-05-15,3.0
2020-05-16,7.0
2020-05-17,7.0
2020-05-18,9.0
2020-05-19,15.0
2020-05-20,6.0
2020-05-21,0.0
