date,/m/0g9pc
2020-02-01,19.0
2020-02-02,14.0
2020-02-03,13.0
2020-02-04,21.0
2020-02-05,14.0
2020-02-06,13.0
2020-02-07,12.0
2020-02-08,11.0
2020-02-09,8.0
2020-02-10,7.0
2020-02-11,12.0
2020-02-12,10.0
2020-02-13,10.0
2020-02-14,7.0
2020-02-15,6.0
2020-02-16,6.0
2020-02-17,6.0
2020-02-18,5.0
2020-02-19,8.0
2020-02-20,5.0
2020-02-21,8.0
2020-02-22,7.0
2020-02-23,19.0
2020-02-24,30.0
2020-02-25,42.0
2020-02-26,50.0
2020-02-27,42.0
2020-02-28,42.0
2020-02-29,34.0
2020-03-01,51.0
2020-03-02,49.0
2020-03-03,48.0
2020-03-04,46.0
2020-03-05,47.0
2020-03-06,46.0
2020-03-07,37.0
2020-03-08,42.0
2020-03-09,54.0
2020-03-10,66.0
2020-03-11,62.0
2020-03-12,96.0
2020-03-13,100.0
2020-03-14,94.0
2020-03-15,90.0
2020-03-16,73.0
2020-03-17,65.0
2020-03-18,59.0
2020-03-19,63.0
2020-03-20,62.0
2020-03-21,61.0
2020-03-22,62.0
2020-03-23,45.0
2020-03-24,46.0
2020-03-25,45.0
2020-03-26,37.0
2020-03-27,42.0
2020-03-28,41.0
2020-03-29,32.0
2020-03-30,32.0
2020-03-31,29.0
2020-04-01,29.0
2020-04-02,21.0
2020-04-03,23.0
2020-04-04,28.0
2020-04-05,22.0
2020-04-06,19.0
2020-04-07,27.0
2020-04-08,19.0
2020-04-09,17.0
2020-04-10,17.0
2020-04-11,19.0
2020-04-12,17.0
2020-04-13,20.0
2020-04-14,15.0
2020-04-15,17.0
2020-04-16,15.0
2020-04-17,13.0
2020-04-18,15.0
2020-04-19,14.0
2020-04-20,14.0
2020-04-21,12.0
2020-04-22,13.0
2020-04-23,15.0
2020-04-24,12.0
2020-04-25,12.0
2020-04-26,9.0
2020-04-27,11.0
2020-04-28,11.0
2020-04-29,15.0
2020-04-30,11.0
2020-05-01,11.0
2020-05-02,12.0
2020-05-03,8.0
2020-05-04,11.0
2020-05-05,8.0
2020-05-06,11.0
2020-05-07,12.0
2020-05-08,11.0
2020-05-09,6.0
2020-05-10,12.0
2020-05-11,8.0
2020-05-12,7.0
2020-05-13,8.0
2020-05-14,9.0
2020-05-15,7.0
2020-05-16,8.0
2020-05-17,10.0
2020-05-18,11.0
2020-05-19,8.0
2020-05-20,8.0
2020-05-21,8.0
2020-05-22,6.0
2020-05-23,6.0
2020-05-24,7.0
2020-05-25,7.0
2020-05-26,5.0
2020-05-27,7.0
2020-05-28,6.0
2020-05-29,5.0
2020-05-30,8.0
2020-05-31,8.0
2020-06-01,4.0
2020-06-02,7.0
2020-06-03,6.0
2020-06-04,5.0
2020-06-05,7.0
2020-06-06,5.0
2020-06-07,7.0
2020-06-08,5.0
2020-06-09,4.0
2020-06-10,3.0
2020-06-11,7.0
2020-06-12,3.0
2020-06-13,4.0
2020-06-14,4.0
2020-06-15,4.0
2020-06-16,6.0
2020-06-17,5.0
2020-06-18,4.0
2020-06-19,6.0
2020-06-20,4.0
2020-06-21,5.0
2020-06-22,5.0
2020-06-23,5.0
2020-06-24,4.0
2020-06-25,4.0
2020-06-26,4.0
2020-06-27,3.0
2020-06-28,3.0
2020-06-29,2.0
2020-06-30,7.0
2020-07-01,4.0
2020-07-02,2.0
2020-07-03,2.0
2020-07-04,2.0
2020-07-05,5.0
2020-07-06,5.0
2020-07-07,4.0
2020-07-08,3.0
2020-07-09,5.0
2020-07-10,8.0
2020-07-11,6.0
2020-07-12,4.0
2020-07-13,6.0
2020-07-14,6.0
2020-07-15,4.0
2020-07-16,3.0
2020-07-17,4.0
2020-07-18,4.0
2020-07-19,6.0
2020-07-20,6.0
2020-07-21,4.0
2020-07-22,6.0
2020-07-23,4.0
2020-07-24,5.0
2020-07-25,5.0
2020-07-26,7.0
2020-07-27,9.0
2020-07-28,6.0
2020-07-29,6.0
2020-07-30,3.0
2020-07-31,5.0
2020-08-01,4.0
2020-08-02,5.0
2020-08-03,5.0
2020-08-04,6.0
2020-08-05,5.0
2020-08-06,5.0
2020-08-07,5.0
2020-08-08,4.0
2020-08-09,2.0
2020-08-10,3.0
2020-08-11,5.0
2020-08-12,4.0
2020-08-13,5.0
2020-08-14,5.0
2020-08-15,3.0
2020-08-16,5.0
2020-08-17,5.0
2020-08-18,3.0
2020-08-19,3.0
2020-08-20,3.0
2020-08-21,3.0
2020-08-22,4.0
2020-08-23,3.0
2020-08-24,4.0
2020-08-25,4.0
2020-08-26,4.0
2020-08-27,4.0
2020-08-28,4.0
2020-08-29,2.0
2020-08-30,3.0
2020-08-31,2.0
2020-09-01,4.0
2020-09-02,3.0
2020-09-03,5.0
2020-09-04,4.0
2020-09-05,2.0
2020-09-06,3.0
2020-09-07,2.0
2020-09-08,3.0
2020-09-09,5.0
2020-09-10,3.0
2020-09-11,4.0
2020-09-12,2.0
2020-09-13,4.0
2020-09-14,3.0
2020-09-15,3.0
2020-09-16,4.0
2020-09-17,4.0
2020-09-18,5.0
2020-09-19,3.0
2020-09-20,4.0
2020-09-21,4.0
2020-09-22,3.0
2020-09-23,5.0
2020-09-24,4.0
2020-09-25,4.0
2020-09-26,6.0
2020-09-27,2.0
2020-09-28,3.0
2020-09-29,5.0
2020-09-30,2.0
2020-10-01,3.0
2020-10-02,3.0
2020-10-03,4.0
2020-10-04,4.0
2020-10-05,3.0
2020-10-06,6.0
2020-10-07,5.0
2020-10-08,5.0
2020-10-09,5.0
2020-10-10,6.0
2020-10-11,5.0
2020-10-12,5.0
2020-10-13,5.0
2020-10-14,6.0
2020-10-15,5.0
2020-10-16,6.0
2020-10-17,5.0
2020-10-18,8.0
2020-10-19,5.0
2020-10-20,6.0
2020-10-21,5.0
2020-10-22,5.0
2020-10-23,6.0
2020-10-24,7.0
2020-10-25,8.0
2020-10-26,5.0
2020-10-27,4.0
2020-10-28,6.139258953626813
2020-10-29,4.811851612302097
2020-10-30,7.13481445962035
2020-10-31,5.060740488800481
2020-11-01,3.816296106308559
2020-11-02,3.816296106308559
2020-11-03,5.060740488800481
2020-11-04,2.488888764983843
2020-11-05,4.148147941639738
2020-11-06,4.314073859305328
2020-11-07,4.894814571134892
2020-11-08,2.986666517980612
2020-11-09,4.977777529967686
2020-11-10,3.567407229810175
2020-11-11,3.0696294768134065
2020-11-12,1.493333258990306
2020-11-13,2.986666517980612
2020-11-14,3.0696294768134065
2020-11-15,4.645925694636507
2020-11-16,4.977777529967686
2020-11-17,3.235555394478996
2020-11-18,5.39259232413166
2020-11-19,2.986666517980612
2020-11-20,3.7333331474757645
2020-11-21,2.3229628473182533
2020-11-22,5.22666640646607
2020-11-23,3.235555394478996
2020-11-24,2.986666517980612
2020-11-25,2.3229628473182533
2020-11-26,4.148147941639738
2020-11-27,3.7333331474757645
2020-11-28,1.3274073413247163
2020-11-29,3.567407229810175
2020-11-30,6.056295994794018
2020-12-01,4.065184982806944
2020-12-02,1.7422221354886902
2020-12-03,2.986666517980612
2020-12-04,1.493333258990306
2020-12-05,1.6592591766558953
2020-12-06,3.3185183533117906
2020-12-07,3.567407229810175
2020-12-08,2.074073970819869
2020-12-09,5.143703447633276
2020-12-10,2.157036929652664
2020-12-11,3.65037018864297
2020-12-12,2.6548146826494325
2020-12-13,1.3274073413247163
2020-12-14,2.074073970819869
2020-12-15,2.4059258061510485
2020-12-16,3.982222023974149
2020-12-17,3.7333331474757645
2020-12-18,3.567407229810175
2020-12-19,3.982222023974149
2020-12-20,8.296295883279477
2020-12-21,6.637036706623581
2020-12-22,4.065184982806944
2020-12-23,5.4755552829644545
2020-12-24,1.825185094321485
2020-12-25,2.7377776414822272
2020-12-26,3.0696294768134065
2020-12-27,2.820740600315022
2020-12-28,3.7333331474757645
2020-12-29,4.148147941639738
2020-12-30,5.22666640646607
2020-12-31,5.309629365298865
2021-01-01,4.562962735803712
2021-01-02,1.7422221354886902
2021-01-03,4.645925694636507
2021-01-04,3.235555394478996
2021-01-05,5.143703447633276
2021-01-06,4.148147941639738
2021-01-07,5.309629365298865
2021-01-08,3.65037018864297
2021-01-09,2.3229628473182533
2021-01-10,4.645925694636507
2021-01-11,2.6548146826494325
2021-01-12,2.074073970819869
2021-01-13,5.39259232413166
2021-01-14,5.060740488800481
2021-01-15,3.4844442709773804
2021-01-16,3.65037018864297
2021-01-17,3.235555394478996
2021-01-18,5.641481200630044
2021-01-19,5.558518241797249
2021-01-20,4.3970368181381225
2021-01-21,3.567407229810175
2021-01-22,2.820740600315022
2021-01-23,2.9037035591478166
2021-01-24,2.3229628473182533
2021-01-25,4.977777529967686
2021-01-26,2.074073970819869
2021-01-27,1.1614814236591267
2021-01-28,2.7377776414822272
2021-01-29,2.488888764983843
2021-01-30,1.6592591766558953
2021-01-31,5.22666640646607
2021-02-01,4.148147941639738
2021-02-02,2.6548146826494325
2021-02-03,4.065184982806944
2021-02-04,6.139258953626813
2021-02-05,1.493333258990306
2021-02-06,2.2399998884854586
2021-02-07,2.9037035591478166
2021-02-08,4.065184982806944
2021-02-09,2.7377776414822272
2021-02-10,4.728888653469301
2021-02-11,3.567407229810175
2021-02-12,2.157036929652664
2021-02-13,2.4059258061510485
2021-02-14,3.0696294768134065
2021-02-15,3.235555394478996
2021-02-16,3.4014813121445853
2021-02-17,4.314073859305328
2021-02-18,2.986666517980612
2021-02-19,1.9081480531542796
2021-02-20,3.235555394478996
2021-02-21,3.65037018864297
2021-02-22,1.7422221354886902
