date,/m/0b76bty
2020-02-01,33.0
2020-02-02,29.0
2020-02-03,23.0
2020-02-04,31.0
2020-02-05,35.0
2020-02-06,19.0
2020-02-07,25.0
2020-02-08,22.0
2020-02-09,23.0
2020-02-10,25.0
2020-02-11,14.0
2020-02-12,30.0
2020-02-13,19.0
2020-02-14,30.0
2020-02-15,19.0
2020-02-16,23.0
2020-02-17,19.0
2020-02-18,9.0
2020-02-19,25.0
2020-02-20,26.0
2020-02-21,26.0
2020-02-22,22.0
2020-02-23,29.0
2020-02-24,21.0
2020-02-25,33.0
2020-02-26,29.0
2020-02-27,30.0
2020-02-28,29.0
2020-02-29,35.0
2020-03-01,33.0
2020-03-02,22.0
2020-03-03,24.0
2020-03-04,41.0
2020-03-05,31.0
2020-03-06,16.0
2020-03-07,35.0
2020-03-08,50.0
2020-03-09,45.0
2020-03-10,55.0
2020-03-11,46.0
2020-03-12,76.0
2020-03-13,100.0
2020-03-14,80.0
2020-03-15,73.0
2020-03-16,89.0
2020-03-17,87.0
2020-03-18,65.0
2020-03-19,54.0
2020-03-20,90.0
2020-03-21,71.0
2020-03-22,70.0
2020-03-23,56.0
2020-03-24,46.0
2020-03-25,66.0
2020-03-26,61.0
2020-03-27,48.0
2020-03-28,55.0
2020-03-29,34.0
2020-03-30,49.0
2020-03-31,21.0
2020-04-01,26.0
2020-04-02,40.0
2020-04-03,28.0
2020-04-04,26.0
2020-04-05,26.0
2020-04-06,27.0
2020-04-07,22.0
2020-04-08,22.0
2020-04-09,29.0
2020-04-10,25.0
2020-04-11,19.0
2020-04-12,21.0
2020-04-13,37.0
2020-04-14,23.0
2020-04-15,14.0
2020-04-16,30.0
2020-04-17,23.0
2020-04-18,16.0
2020-04-19,22.0
2020-04-20,8.0
2020-04-21,31.0
2020-04-22,20.0
2020-04-23,6.0
2020-04-24,25.0
2020-04-25,18.0
2020-04-26,16.0
2020-04-27,6.0
2020-04-28,12.0
2020-04-29,21.0
2020-04-30,19.0
2020-05-01,20.0
2020-05-02,29.0
2020-05-03,22.0
2020-05-04,12.0
2020-05-05,20.0
2020-05-06,16.0
2020-05-07,10.0
2020-05-08,18.0
2020-05-09,16.0
2020-05-10,13.0
2020-05-11,16.0
2020-05-12,6.0
2020-05-13,8.0
2020-05-14,12.0
2020-05-15,25.0
2020-05-16,17.0
2020-05-17,34.0
2020-05-18,10.0
2020-05-19,10.0
2020-05-20,21.0
2020-05-21,24.0
2020-05-22,19.0
2020-05-23,15.0
2020-05-24,17.0
2020-05-25,15.0
2020-05-26,15.0
2020-05-27,25.0
2020-05-28,11.0
2020-05-29,11.0
2020-05-30,24.0
2020-05-31,20.0
2020-06-01,8.0
2020-06-02,8.0
2020-06-03,27.0
2020-06-04,13.0
2020-06-05,17.0
2020-06-06,16.0
2020-06-07,19.0
2020-06-08,8.0
2020-06-09,6.0
2020-06-10,9.0
2020-06-11,15.0
2020-06-12,7.0
2020-06-13,8.0
2020-06-14,8.0
2020-06-15,4.0
2020-06-16,12.0
2020-06-17,13.0
2020-06-18,9.0
2020-06-19,7.0
2020-06-20,8.0
2020-06-21,11.0
2020-06-22,5.0
2020-06-23,5.0
2020-06-24,17.0
2020-06-25,18.0
2020-06-26,17.0
2020-06-27,8.0
2020-06-28,18.0
2020-06-29,7.0
2020-06-30,16.0
2020-07-01,9.0
2020-07-02,9.0
2020-07-03,24.0
2020-07-04,3.0
2020-07-05,19.0
2020-07-06,14.0
2020-07-07,29.0
2020-07-08,19.0
2020-07-09,15.0
2020-07-10,18.0
2020-07-11,15.0
2020-07-12,14.0
2020-07-13,12.0
2020-07-14,14.0
2020-07-15,22.0
2020-07-16,17.0
2020-07-17,13.0
2020-07-18,27.0
2020-07-19,14.0
2020-07-20,24.0
2020-07-21,18.0
2020-07-22,33.0
2020-07-23,28.0
2020-07-24,16.0
2020-07-25,25.0
2020-07-26,30.0
2020-07-27,30.0
2020-07-28,32.0
2020-07-29,28.0
2020-07-30,13.0
2020-07-31,24.0
2020-08-01,27.0
2020-08-02,29.0
2020-08-03,17.0
2020-08-04,20.0
2020-08-05,26.0
2020-08-06,26.0
2020-08-07,24.0
2020-08-08,36.0
2020-08-09,44.0
2020-08-10,23.0
2020-08-11,37.0
2020-08-12,43.0
2020-08-13,33.0
2020-08-14,26.0
2020-08-15,29.0
2020-08-16,52.0
2020-08-17,13.0
2020-08-18,25.0
2020-08-19,18.0
2020-08-20,24.0
2020-08-21,47.0
2020-08-22,33.0
2020-08-23,47.0
2020-08-24,32.0
2020-08-25,30.0
2020-08-26,18.0
2020-08-27,18.0
2020-08-28,13.0
2020-08-29,30.0
2020-08-30,22.0
2020-08-31,17.0
2020-09-01,26.0
2020-09-02,20.0
2020-09-03,32.0
2020-09-04,30.0
2020-09-05,20.0
2020-09-06,22.0
2020-09-07,21.0
2020-09-08,26.0
2020-09-09,19.0
2020-09-10,32.0
2020-09-11,20.0
2020-09-12,25.0
2020-09-13,38.0
2020-09-14,30.0
2020-09-15,14.0
2020-09-16,33.0
2020-09-17,42.0
2020-09-18,23.0
2020-09-19,43.0
2020-09-20,29.0
2020-09-21,30.0
2020-09-22,30.0
2020-09-23,28.0
2020-09-24,42.0
2020-09-25,23.0
2020-09-26,14.0
2020-09-27,46.0
2020-09-28,14.0
2020-09-29,40.0
2020-09-30,39.0
2020-10-01,41.0
2020-10-02,14.0
2020-10-03,28.0
2020-10-04,28.0
2020-10-05,30.0
2020-10-06,54.0
2020-10-07,33.0
2020-10-08,27.0
2020-10-09,18.0
2020-10-10,21.0
2020-10-11,37.0
2020-10-12,9.0
2020-10-13,24.0
2020-10-14,30.0
2020-10-15,26.0
2020-10-16,36.0
2020-10-17,21.0
2020-10-18,38.0
2020-10-19,32.0
2020-10-20,31.0
2020-10-21,22.0
2020-10-22,22.0
2020-10-23,23.0
2020-10-24,22.0
2020-10-25,39.0
2020-10-26,22.0
2020-10-27,24.0
2020-10-28,33.04882608820919
2020-10-29,23.388400000886502
2020-10-30,27.455947827127634
2020-10-31,20.846182609485794
2020-11-01,17.287078261524805
2020-11-02,29.4897217402482
2020-11-03,26.94750434884749
2020-11-04,18.30396521808509
2020-11-05,23.388400000886502
2020-11-06,22.37151304432622
2020-11-07,18.81240869636523
2020-11-08,32.54038260992905
2020-11-09,27.964391305407776
2020-11-10,15.761747826684383
2020-11-11,20.337739131205655
2020-11-12,23.388400000886502
2020-11-13,24.405286957446783
2020-11-14,34.065713044769474
2020-11-15,16.778634783244666
2020-11-16,12.202643478723392
2020-11-17,15.25330434840424
2020-11-18,36.099486957890036
2020-11-19,15.25330434840424
2020-11-20,24.405286957446783
2020-11-21,11.18575652216311
2020-11-22,25.422173914007068
2020-11-23,33.55726956648933
2020-11-24,22.37151304432622
2020-11-25,7.118208695921979
2020-11-26,29.4897217402482
2020-11-27,17.287078261524805
2020-11-28,5.592878261081555
2020-11-29,18.81240869636523
2020-11-30,17.287078261524805
2020-12-01,22.87995652260636
2020-12-02,17.795521739804947
2020-12-03,15.761747826684383
2020-12-04,13.219530435283675
2020-12-05,11.18575652216311
2020-12-06,16.778634783244666
2020-12-07,26.43906087056735
2020-12-08,23.388400000886502
2020-12-09,14.7448608701241
2020-12-10,7.62665217420212
2020-12-11,18.81240869636523
2020-12-12,17.287078261524805
2020-12-13,27.964391305407776
2020-12-14,17.287078261524805
2020-12-15,22.87995652260636
2020-12-16,30.50660869680848
2020-12-17,13.219530435283675
2020-12-18,19.32085217464537
2020-12-19,17.287078261524805
2020-12-20,26.43906087056735
2020-12-21,18.81240869636523
2020-12-22,25.93061739228721
2020-12-23,27.964391305407776
2020-12-24,20.846182609485794
2020-12-25,13.219530435283675
2020-12-26,27.964391305407776
2020-12-27,36.60793043617018
2020-12-28,15.761747826684383
2020-12-29,29.4897217402482
2020-12-30,24.913730435726926
2020-12-31,29.4897217402482
2021-01-01,24.405286957446783
2021-01-02,19.829295652925513
2021-01-03,19.32085217464537
2021-01-04,28.981278261968058
2021-01-05,19.32085217464537
2021-01-06,28.981278261968058
2021-01-07,14.7448608701241
2021-01-08,14.7448608701241
2021-01-09,11.18575652216311
2021-01-10,33.04882608820919
2021-01-11,17.287078261524805
2021-01-12,22.87995652260636
2021-01-13,27.964391305407776
2021-01-14,25.93061739228721
2021-01-15,21.354626087765936
2021-01-16,17.795521739804947
2021-01-17,13.727973913563817
2021-01-18,25.93061739228721
2021-01-19,22.87995652260636
2021-01-20,26.43906087056735
2021-01-21,14.7448608701241
2021-01-22,15.761747826684383
2021-01-23,27.455947827127634
2021-01-24,27.455947827127634
2021-01-25,14.7448608701241
2021-01-26,22.37151304432622
2021-01-27,12.711086957003534
2021-01-28,30.50660869680848
2021-01-29,26.43906087056735
2021-01-30,21.86306956604608
2021-01-31,35.591043479609894
2021-02-01,15.25330434840424
2021-02-02,18.30396521808509
2021-02-03,22.87995652260636
2021-02-04,22.87995652260636
2021-02-05,15.761747826684383
2021-02-06,16.778634783244666
2021-02-07,10.677313043882968
2021-02-08,21.86306956604608
2021-02-09,17.287078261524805
