date,/m/0g9pc
2020-02-01,21.0
2020-02-02,19.0
2020-02-03,14.0
2020-02-04,14.0
2020-02-05,13.0
2020-02-06,11.0
2020-02-07,15.0
2020-02-08,12.0
2020-02-09,11.0
2020-02-10,13.0
2020-02-11,12.0
2020-02-12,10.0
2020-02-13,9.0
2020-02-14,9.0
2020-02-15,10.0
2020-02-16,8.0
2020-02-17,8.0
2020-02-18,11.0
2020-02-19,8.0
2020-02-20,7.0
2020-02-21,7.0
2020-02-22,10.0
2020-02-23,20.0
2020-02-24,28.0
2020-02-25,38.0
2020-02-26,40.0
2020-02-27,36.0
2020-02-28,57.0
2020-02-29,41.0
2020-03-01,46.0
2020-03-02,57.0
2020-03-03,52.0
2020-03-04,43.0
2020-03-05,53.0
2020-03-06,49.0
2020-03-07,43.0
2020-03-08,40.0
2020-03-09,49.0
2020-03-10,53.0
2020-03-11,55.0
2020-03-12,79.0
2020-03-13,89.0
2020-03-14,91.0
2020-03-15,100.0
2020-03-16,78.0
2020-03-17,71.0
2020-03-18,79.0
2020-03-19,71.0
2020-03-20,54.0
2020-03-21,54.0
2020-03-22,53.0
2020-03-23,46.0
2020-03-24,55.0
2020-03-25,50.0
2020-03-26,44.0
2020-03-27,38.0
2020-03-28,43.0
2020-03-29,34.0
2020-03-30,29.0
2020-03-31,27.0
2020-04-01,25.0
2020-04-02,26.0
2020-04-03,27.0
2020-04-04,26.0
2020-04-05,21.0
2020-04-06,24.0
2020-04-07,23.0
2020-04-08,17.0
2020-04-09,17.0
2020-04-10,19.0
2020-04-11,23.0
2020-04-12,20.0
2020-04-13,19.0
2020-04-14,15.0
2020-04-15,18.0
2020-04-16,19.0
2020-04-17,19.0
2020-04-18,18.0
2020-04-19,18.0
2020-04-20,16.0
2020-04-21,16.0
2020-04-22,15.0
2020-04-23,12.0
2020-04-24,13.0
2020-04-25,12.0
2020-04-26,12.0
2020-04-27,11.0
2020-04-28,14.0
2020-04-29,13.0
2020-04-30,13.0
2020-05-01,15.0
2020-05-02,12.0
2020-05-03,15.0
2020-05-04,13.0
2020-05-05,11.0
2020-05-06,10.0
2020-05-07,10.0
2020-05-08,10.0
2020-05-09,14.0
2020-05-10,13.0
2020-05-11,9.0
2020-05-12,11.0
2020-05-13,9.0
2020-05-14,11.0
2020-05-15,11.0
2020-05-16,10.0
2020-05-17,8.0
2020-05-18,7.0
2020-05-19,8.0
2020-05-20,6.0
2020-05-21,7.0
2020-05-22,7.0
2020-05-23,10.0
2020-05-24,8.0
2020-05-25,6.0
2020-05-26,5.0
2020-05-27,6.0
2020-05-28,5.0
2020-05-29,6.0
2020-05-30,5.0
2020-05-31,4.0
2020-06-01,5.0
2020-06-02,3.0
2020-06-03,4.0
2020-06-04,4.0
2020-06-05,5.0
2020-06-06,2.0
2020-06-07,4.0
2020-06-08,2.0
2020-06-09,3.0
2020-06-10,4.0
2020-06-11,2.0
2020-06-12,3.0
2020-06-13,3.0
2020-06-14,4.0
2020-06-15,7.0
2020-06-16,5.0
2020-06-17,4.0
2020-06-18,6.0
2020-06-19,4.0
2020-06-20,4.0
2020-06-21,3.0
2020-06-22,4.0
2020-06-23,3.0
2020-06-24,4.0
2020-06-25,4.0
2020-06-26,4.0
2020-06-27,5.0
2020-06-28,4.0
2020-06-29,3.0
2020-06-30,6.0
2020-07-01,4.0
2020-07-02,5.0
2020-07-03,3.0
2020-07-04,3.0
2020-07-05,4.0
2020-07-06,3.0
2020-07-07,3.0
2020-07-08,5.0
2020-07-09,4.0
2020-07-10,4.0
2020-07-11,3.0
2020-07-12,5.0
2020-07-13,5.0
2020-07-14,2.0
2020-07-15,5.0
2020-07-16,4.0
2020-07-17,6.0
2020-07-18,5.0
2020-07-19,2.0
2020-07-20,4.0
2020-07-21,4.0
2020-07-22,6.0
2020-07-23,4.0
2020-07-24,5.0
2020-07-25,3.0
2020-07-26,4.0
2020-07-27,4.0
2020-07-28,4.0
2020-07-29,3.0
2020-07-30,4.0
2020-07-31,4.0
2020-08-01,3.0
2020-08-02,3.0
2020-08-03,3.0
2020-08-04,3.0
2020-08-05,4.0
