date,/m/01b_21
2020-02-01,22.0
2020-02-02,39.0
2020-02-03,23.0
2020-02-04,28.0
2020-02-05,19.0
2020-02-06,19.0
2020-02-07,25.0
2020-02-08,31.0
2020-02-09,27.0
2020-02-10,23.0
2020-02-11,27.0
2020-02-12,29.0
2020-02-13,29.0
2020-02-14,22.0
2020-02-15,36.0
2020-02-16,27.0
2020-02-17,17.0
2020-02-18,20.0
2020-02-19,21.0
2020-02-20,22.0
2020-02-21,24.0
2020-02-22,26.0
2020-02-23,17.0
2020-02-24,22.0
2020-02-25,27.0
2020-02-26,28.0
2020-02-27,29.0
2020-02-28,28.0
2020-02-29,29.0
2020-03-01,32.0
2020-03-02,27.0
2020-03-03,28.0
2020-03-04,30.0
2020-03-05,30.0
2020-03-06,25.0
2020-03-07,25.0
2020-03-08,35.0
2020-03-09,30.0
2020-03-10,53.0
2020-03-11,53.0
2020-03-12,76.0
2020-03-13,87.0
2020-03-14,100.0
2020-03-15,78.0
2020-03-16,73.0
2020-03-17,59.0
2020-03-18,58.0
2020-03-19,64.0
2020-03-20,73.0
2020-03-21,68.0
2020-03-22,71.0
2020-03-23,54.0
2020-03-24,48.0
2020-03-25,45.0
2020-03-26,51.0
2020-03-27,34.0
2020-03-28,33.0
2020-03-29,47.0
2020-03-30,33.0
2020-03-31,30.0
2020-04-01,32.0
2020-04-02,26.0
2020-04-03,26.0
2020-04-04,26.0
2020-04-05,21.0
2020-04-06,19.0
2020-04-07,24.0
2020-04-08,21.0
2020-04-09,24.0
2020-04-10,19.0
2020-04-11,23.0
2020-04-12,21.0
2020-04-13,21.0
2020-04-14,21.0
2020-04-15,12.0
2020-04-16,21.0
2020-04-17,27.0
2020-04-18,21.0
2020-04-19,18.0
2020-04-20,17.0
2020-04-21,12.0
2020-04-22,18.0
2020-04-23,17.0
2020-04-24,18.0
2020-04-25,13.0
2020-04-26,17.0
2020-04-27,20.0
2020-04-28,16.0
2020-04-29,15.0
2020-04-30,18.0
2020-05-01,11.0
2020-05-02,16.0
2020-05-03,17.0
2020-05-04,14.0
2020-05-05,12.0
2020-05-06,13.0
2020-05-07,12.0
2020-05-08,10.0
2020-05-09,10.0
2020-05-10,13.0
2020-05-11,13.0
2020-05-12,11.0
2020-05-13,16.0
2020-05-14,12.0
2020-05-15,10.0
2020-05-16,13.0
2020-05-17,9.0
2020-05-18,7.0
2020-05-19,9.0
2020-05-20,6.0
2020-05-21,9.0
2020-05-22,7.0
2020-05-23,10.0
2020-05-24,9.0
2020-05-25,5.0
2020-05-26,12.0
2020-05-27,8.0
2020-05-28,11.0
2020-05-29,9.0
2020-05-30,10.0
2020-05-31,12.0
2020-06-01,13.0
2020-06-02,11.0
2020-06-03,5.0
2020-06-04,8.0
2020-06-05,10.0
2020-06-06,5.0
2020-06-07,10.0
2020-06-08,9.0
2020-06-09,8.0
2020-06-10,5.0
2020-06-11,11.0
2020-06-12,6.0
2020-06-13,9.0
2020-06-14,8.0
2020-06-15,9.0
2020-06-16,6.0
2020-06-17,8.0
2020-06-18,6.0
2020-06-19,7.0
2020-06-20,7.0
2020-06-21,5.0
2020-06-22,4.0
2020-06-23,9.0
2020-06-24,5.0
2020-06-25,8.0
2020-06-26,4.0
2020-06-27,6.0
2020-06-28,9.0
2020-06-29,5.0
2020-06-30,3.0
2020-07-01,3.0
2020-07-02,6.0
2020-07-03,10.0
2020-07-04,7.0
2020-07-05,5.0
2020-07-06,10.0
2020-07-07,4.0
2020-07-08,9.0
2020-07-09,7.0
2020-07-10,8.0
2020-07-11,10.0
2020-07-12,5.0
2020-07-13,7.0
2020-07-14,6.0
2020-07-15,9.0
2020-07-16,8.0
2020-07-17,8.0
2020-07-18,7.0
2020-07-19,14.0
2020-07-20,9.0
2020-07-21,8.0
2020-07-22,6.0
2020-07-23,13.0
2020-07-24,10.0
2020-07-25,13.0
2020-07-26,13.0
2020-07-27,9.0
2020-07-28,12.0
2020-07-29,10.0
2020-07-30,10.0
2020-07-31,8.0
2020-08-01,9.0
2020-08-02,8.0
2020-08-03,11.0
2020-08-04,4.0
2020-08-05,8.0
2020-08-06,9.0
2020-08-07,13.0
2020-08-08,8.0
2020-08-09,16.0
2020-08-10,13.0
2020-08-11,11.0
2020-08-12,12.0
2020-08-13,8.0
2020-08-14,11.0
2020-08-15,12.0
2020-08-16,13.0
2020-08-17,6.0
2020-08-18,14.0
2020-08-19,9.0
2020-08-20,7.0
2020-08-21,11.0
2020-08-22,13.0
2020-08-23,14.0
2020-08-24,13.0
2020-08-25,12.0
2020-08-26,10.0
2020-08-27,12.0
2020-08-28,9.0
2020-08-29,11.0
2020-08-30,12.0
2020-08-31,14.0
2020-09-01,19.0
2020-09-02,9.0
2020-09-03,11.0
2020-09-04,12.0
2020-09-05,7.0
2020-09-06,14.0
2020-09-07,12.0
2020-09-08,12.0
2020-09-09,17.0
2020-09-10,12.0
2020-09-11,14.0
2020-09-12,11.0
2020-09-13,16.0
2020-09-14,14.0
2020-09-15,17.0
2020-09-16,12.0
2020-09-17,14.0
2020-09-18,17.0
2020-09-19,18.0
2020-09-20,20.0
2020-09-21,11.0
2020-09-22,17.0
2020-09-23,10.0
2020-09-24,12.0
2020-09-25,12.0
2020-09-26,14.0
2020-09-27,19.0
2020-09-28,19.0
2020-09-29,13.0
2020-09-30,14.0
2020-10-01,18.0
2020-10-02,12.0
2020-10-03,15.0
2020-10-04,18.0
2020-10-05,18.0
2020-10-06,14.0
2020-10-07,11.0
2020-10-08,20.0
2020-10-09,15.0
2020-10-10,17.0
2020-10-11,19.0
2020-10-12,15.0
2020-10-13,15.0
2020-10-14,13.0
2020-10-15,19.0
2020-10-16,15.0
2020-10-17,13.0
2020-10-18,18.0
2020-10-19,20.0
2020-10-20,13.0
2020-10-21,12.0
2020-10-22,17.0
2020-10-23,16.0
2020-10-24,17.0
2020-10-25,20.0
2020-10-26,23.0
2020-10-27,17.0
2020-10-28,15.640925266748903
2020-10-29,11.429906925701122
2020-10-30,17.746434437272793
2020-10-31,12.332267998782788
2020-11-01,22.859813851402244
2020-11-02,20.754304680878352
2020-11-03,11.730693950061678
2020-11-04,11.429906925701122
2020-11-05,14.136990144946123
2020-11-06,15.039351218027791
2020-11-07,13.836203120585568
2020-11-08,14.738564193667235
2020-11-09,12.633055023143344
2020-11-10,14.136990144946123
2020-11-11,6.918101560292784
2020-11-12,18.348008485993905
2020-11-13,19.250369559075573
2020-11-14,20.754304680878352
2020-11-15,15.941712291109459
2020-11-16,14.136990144946123
2020-11-17,15.640925266748903
2020-11-18,12.031480974422234
2020-11-19,9.925971803898342
2020-11-20,15.941712291109459
2020-11-21,12.031480974422234
2020-11-22,11.730693950061678
2020-11-23,14.43777716930668
2020-11-24,17.14486038855168
2020-11-25,8.722823706456118
2020-11-26,10.226758828258898
2020-11-27,9.023610730816674
2020-11-28,7.519675609013896
2020-11-29,13.836203120585568
2020-11-30,12.031480974422234
2020-12-01,8.722823706456118
2020-12-02,11.730693950061678
2020-12-03,14.136990144946123
2020-12-04,14.43777716930668
2020-12-05,9.32439775517723
2020-12-06,9.625184779537786
2020-12-07,11.129119901340566
2020-12-08,14.43777716930668
2020-12-09,11.129119901340566
2020-12-10,4.812592389768893
2020-12-11,9.925971803898342
2020-12-12,4.211018341047781
2020-12-13,13.535416096225012
2020-12-14,9.023610730816674
2020-12-15,11.429906925701122
2020-12-16,9.925971803898342
2020-12-17,14.738564193667235
2020-12-18,13.535416096225012
2020-12-19,10.82833287698001
2020-12-20,11.429906925701122
2020-12-21,15.640925266748903
2020-12-22,9.925971803898342
2020-12-23,12.9338420475039
2020-12-24,12.633055023143344
2020-12-25,14.43777716930668
2020-12-26,18.04722146163335
2020-12-27,17.445647412912237
2020-12-28,13.234629071864456
2020-12-29,13.234629071864456
2020-12-30,11.129119901340566
2020-12-31,9.625184779537786
2021-01-01,6.617314535932228
2021-01-02,17.445647412912237
2021-01-03,12.9338420475039
2021-01-04,18.04722146163335
2021-01-05,11.730693950061678
2021-01-06,12.9338420475039
2021-01-07,17.746434437272793
2021-01-08,12.031480974422234
2021-01-09,13.535416096225012
2021-01-10,16.54328633983057
2021-01-11,8.121249657735007
2021-01-12,17.445647412912237
2021-01-13,14.43777716930668
2021-01-14,16.54328633983057
2021-01-15,18.348008485993905
2021-01-16,22.859813851402244
2021-01-17,13.234629071864456
2021-01-18,16.844073364191125
2021-01-19,8.121249657735007
2021-01-20,13.535416096225012
2021-01-21,15.340138242388347
2021-01-22,12.633055023143344
2021-01-23,12.9338420475039
2021-01-24,18.04722146163335
2021-01-25,10.226758828258898
2021-01-26,14.43777716930668
2021-01-27,13.234629071864456
2021-01-28,10.527545852619454
2021-01-29,11.129119901340566
2021-01-30,16.242499315470013
2021-01-31,15.941712291109459
2021-02-01,18.04722146163335
2021-02-02,14.43777716930668
2021-02-03,10.527545852619454
2021-02-04,12.633055023143344
2021-02-05,12.9338420475039
2021-02-06,12.9338420475039
2021-02-07,18.64879551035446
2021-02-08,7.820462633374452
2021-02-09,13.234629071864456
2021-02-10,11.129119901340566
2021-02-11,13.234629071864456
2021-02-12,12.031480974422234
2021-02-13,13.234629071864456
2021-02-14,12.332267998782788
2021-02-15,10.82833287698001
2021-02-16,13.535416096225012
2021-02-17,10.82833287698001
2021-02-18,12.9338420475039
2021-02-19,10.82833287698001
2021-02-20,9.32439775517723
2021-02-21,15.640925266748903
2021-02-22,9.625184779537786
2021-02-23,7.820462633374452
2021-02-24,12.633055023143344
2021-02-25,11.730693950061678
2021-02-26,9.925971803898342
2021-02-27,11.429906925701122
2021-02-28,17.445647412912237
2021-03-01,7.519675609013896
2021-03-02,13.535416096225012
2021-03-03,9.32439775517723
2021-03-04,14.738564193667235
2021-03-05,6.015740487211117
2021-03-06,9.32439775517723
2021-03-07,16.844073364191125
2021-03-08,10.527545852619454
2021-03-09,10.226758828258898
2021-03-10,9.023610730816674
2021-03-11,10.82833287698001
2021-03-12,14.43777716930668
2021-03-13,17.14486038855168
2021-03-14,11.129119901340566
2021-03-15,12.633055023143344
