date,/m/01c751
2020-02-01,10.0
2020-02-02,10.0
2020-02-03,0.0
2020-02-04,5.0
2020-02-05,5.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,4.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,5.0
2020-02-13,5.0
2020-02-14,0.0
2020-02-15,10.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,4.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,5.0
2020-02-24,4.0
2020-02-25,17.0
2020-02-26,31.0
2020-02-27,36.0
2020-02-28,32.0
2020-02-29,9.0
2020-03-01,14.0
2020-03-02,26.0
2020-03-03,18.0
2020-03-04,13.0
2020-03-05,22.0
2020-03-06,28.0
2020-03-07,15.0
2020-03-08,19.0
2020-03-09,38.0
2020-03-10,59.0
2020-03-11,42.0
2020-03-12,74.0
2020-03-13,66.0
2020-03-14,100.0
2020-03-15,92.0
2020-03-16,33.0
2020-03-17,76.0
2020-03-18,50.0
2020-03-19,87.0
2020-03-20,13.0
2020-03-21,47.0
2020-03-22,59.0
2020-03-23,46.0
2020-03-24,40.0
2020-03-25,38.0
2020-03-26,17.0
2020-03-27,58.0
2020-03-28,88.0
2020-03-29,50.0
2020-03-30,36.0
2020-03-31,60.0
2020-04-01,28.0
2020-04-02,75.0
2020-04-03,49.0
2020-04-04,75.0
2020-04-05,44.0
2020-04-06,40.0
2020-04-07,29.0
2020-04-08,13.0
2020-04-09,38.0
2020-04-10,17.0
2020-04-11,29.0
2020-04-12,17.0
2020-04-13,32.0
2020-04-14,17.0
2020-04-15,26.0
2020-04-16,21.0
2020-04-17,24.0
2020-04-18,30.0
2020-04-19,36.0
2020-04-20,16.0
2020-04-21,40.0
2020-04-22,20.0
2020-04-23,20.0
2020-04-24,25.0
2020-04-25,52.0
2020-04-26,30.0
2020-04-27,12.0
2020-04-28,24.0
2020-04-29,27.0
2020-04-30,15.0
2020-05-01,20.0
2020-05-02,14.0
2020-05-03,14.0
2020-05-04,22.0
2020-05-05,7.0
2020-05-06,8.0
2020-05-07,8.0
2020-05-08,17.0
2020-05-09,15.0
2020-05-10,25.0
2020-05-11,4.0
2020-05-12,20.0
2020-05-13,0.0
2020-05-14,25.0
2020-05-15,16.0
2020-05-16,14.0
2020-05-17,9.0
2020-05-18,16.0
2020-05-19,13.0
2020-05-20,8.0
2020-05-21,8.0
2020-05-22,4.0
2020-05-23,22.0
2020-05-24,35.0
2020-05-25,12.0
2020-05-26,13.0
2020-05-27,0.0
2020-05-28,9.0
2020-05-29,5.0
2020-05-30,0.0
2020-05-31,5.0
2020-06-01,5.0
2020-06-02,4.0
2020-06-03,4.0
2020-06-04,0.0
2020-06-05,8.0
2020-06-06,18.0
2020-06-07,9.0
2020-06-08,12.0
2020-06-09,0.0
2020-06-10,8.0
2020-06-11,12.0
2020-06-12,0.0
2020-06-13,5.0
2020-06-14,5.0
2020-06-15,13.0
2020-06-16,12.0
2020-06-17,4.0
2020-06-18,0.0
2020-06-19,4.0
2020-06-20,0.0
2020-06-21,9.0
2020-06-22,0.0
2020-06-23,0.0
2020-06-24,0.0
2020-06-25,4.0
2020-06-26,4.0
2020-06-27,9.0
2020-06-28,0.0
2020-06-29,12.0
2020-06-30,9.0
2020-07-01,0.0
2020-07-02,0.0
2020-07-03,4.0
2020-07-04,5.0
2020-07-05,0.0
2020-07-06,4.0
2020-07-07,4.0
2020-07-08,4.0
2020-07-09,9.0
2020-07-10,5.0
2020-07-11,5.0
2020-07-12,10.0
2020-07-13,22.0
2020-07-14,4.0
2020-07-15,9.0
2020-07-16,14.0
2020-07-17,28.0
2020-07-18,16.0
2020-07-19,11.0
2020-07-20,9.0
2020-07-21,5.0
2020-07-22,9.0
2020-07-23,13.0
2020-07-24,0.0
2020-07-25,5.0
2020-07-26,10.0
2020-07-27,9.0
2020-07-28,0.0
2020-07-29,13.0
2020-07-30,5.0
2020-07-31,5.0
2020-08-01,0.0
2020-08-02,16.0
2020-08-03,0.0
2020-08-04,0.0
2020-08-05,9.0
2020-08-06,4.0
2020-08-07,5.0
2020-08-08,6.0
2020-08-09,0.0
2020-08-10,4.0
2020-08-11,28.0
2020-08-12,0.0
2020-08-13,9.0
2020-08-14,9.0
2020-08-15,0.0
2020-08-16,14.0
2020-08-17,4.0
2020-08-18,0.0
2020-08-19,4.0
2020-08-20,0.0
2020-08-21,9.0
2020-08-22,19.0
2020-08-23,15.0
2020-08-24,0.0
2020-08-25,0.0
2020-08-26,9.0
2020-08-27,4.0
2020-08-28,9.0
2020-08-29,15.0
2020-08-30,5.0
2020-08-31,0.0
2020-09-01,4.0
2020-09-02,13.0
2020-09-03,13.0
2020-09-04,9.0
2020-09-05,0.0
2020-09-06,0.0
2020-09-07,4.0
2020-09-08,9.0
2020-09-09,9.0
2020-09-10,13.0
2020-09-11,0.0
2020-09-12,5.0
2020-09-13,5.0
2020-09-14,4.0
2020-09-15,9.0
2020-09-16,9.0
2020-09-17,9.0
2020-09-18,18.0
2020-09-19,10.0
2020-09-20,15.0
2020-09-21,26.0
2020-09-22,13.0
2020-09-23,13.0
2020-09-24,0.0
2020-09-25,9.0
2020-09-26,0.0
2020-09-27,10.0
2020-09-28,9.0
2020-09-29,22.0
2020-09-30,9.0
2020-10-01,4.0
2020-10-02,5.0
2020-10-03,35.0
2020-10-04,4.0
2020-10-05,8.0
2020-10-06,9.0
2020-10-07,17.0
2020-10-08,18.0
2020-10-09,5.0
2020-10-10,10.0
2020-10-11,20.0
2020-10-12,5.0
2020-10-13,14.0
2020-10-14,28.0
2020-10-15,5.0
2020-10-16,19.0
2020-10-17,0.0
2020-10-18,15.0
2020-10-19,8.0
2020-10-20,18.0
2020-10-21,14.0
2020-10-22,19.0
2020-10-23,19.0
2020-10-24,0.0
2020-10-25,14.0
2020-10-26,5.0
2020-10-27,14.0
2020-10-28,10.591920799930017
2020-10-29,0.0
2020-10-30,17.022729857030384
2020-10-31,16.644446971318597
2020-11-01,10.970203685641803
2020-11-02,5.295960399965009
2020-11-03,15.509598314183238
2020-11-04,0.0
2020-11-05,14.37474965704788
2020-11-06,0.0
2020-11-07,5.295960399965009
2020-11-08,0.0
2020-11-09,30.640913742654693
2020-11-10,0.0
2020-11-11,10.21363791421823
2020-11-12,0.0
2020-11-13,0.0
2020-11-14,10.970203685641803
2020-11-15,5.295960399965009
2020-11-16,0.0
2020-11-17,0.0
2020-11-18,5.295960399965009
2020-11-19,10.21363791421823
2020-11-20,0.0
2020-11-21,11.34848657135359
2020-11-22,5.674243285676795
2020-11-23,0.0
2020-11-24,0.0
2020-11-25,0.0
2020-11-26,10.591920799930017
2020-11-27,5.295960399965009
2020-11-28,0.0
2020-11-29,5.674243285676795
2020-11-30,4.917677514253222
2020-12-01,0.0
2020-12-02,0.0
2020-12-03,0.0
2020-12-04,0.0
2020-12-05,6.052526171388581
2020-12-06,0.0
2020-12-07,0.0
2020-12-08,0.0
2020-12-09,5.674243285676795
2020-12-10,5.295960399965009
2020-12-11,0.0
2020-12-12,6.430809057100367
2020-12-13,0.0
2020-12-14,0.0
2020-12-15,0.0
2020-12-16,5.674243285676795
2020-12-17,5.674243285676795
2020-12-18,12.105052342777162
2020-12-19,0.0
2020-12-20,6.430809057100367
2020-12-21,11.726769457065375
2020-12-22,6.052526171388581
2020-12-23,19.292427171301103
2020-12-24,7.18737482852394
2020-12-25,0.0
2020-12-26,0.0
2020-12-27,11.34848657135359
2020-12-28,0.0
2020-12-29,0.0
2020-12-30,16.644446971318597
2020-12-31,23.45353891413075
2021-01-01,23.075256028418966
2021-01-02,5.674243285676795
2021-01-03,11.34848657135359
2021-01-04,5.295960399965009
2021-01-05,0.0
2021-01-06,15.509598314183238
2021-01-07,0.0
2021-01-08,10.591920799930017
2021-01-09,11.34848657135359
2021-01-10,0.0
2021-01-11,35.180308371196126
2021-01-12,9.835355028506443
2021-01-13,0.0
2021-01-14,15.509598314183238
2021-01-15,10.21363791421823
2021-01-16,5.674243285676795
2021-01-17,0.0
2021-01-18,0.0
2021-01-19,9.835355028506443
2021-01-20,24.210104685554324
2021-01-21,4.917677514253222
2021-01-22,20.805558714148248
2021-01-23,5.674243285676795
2021-01-24,10.970203685641803
2021-01-25,9.835355028506443
2021-01-26,4.917677514253222
2021-01-27,19.292427171301103
2021-01-28,0.0
2021-01-29,0.0
2021-01-30,10.591920799930017
2021-01-31,10.591920799930017
2021-02-01,0.0
2021-02-02,0.0
2021-02-03,4.917677514253222
2021-02-04,15.509598314183238
2021-02-05,5.295960399965009
2021-02-06,10.970203685641803
2021-02-07,0.0
2021-02-08,9.835355028506443
2021-02-09,15.509598314183238
2021-02-10,5.295960399965009
2021-02-11,0.0
2021-02-12,5.295960399965009
2021-02-13,17.022729857030384
2021-02-14,5.674243285676795
2021-02-15,5.295960399965009
2021-02-16,0.0
2021-02-17,0.0
2021-02-18,10.591920799930017
2021-02-19,0.0
2021-02-20,5.674243285676795
2021-02-21,5.674243285676795
2021-02-22,4.917677514253222
2021-02-23,9.835355028506443
2021-02-24,0.0
2021-02-25,0.0
2021-02-26,0.0
2021-02-27,6.052526171388581
2021-02-28,0.0
2021-03-01,0.0
2021-03-02,10.591920799930017
2021-03-03,0.0
2021-03-04,0.0
2021-03-05,0.0
2021-03-06,0.0
2021-03-07,17.40101274274217
2021-03-08,0.0
2021-03-09,0.0
2021-03-10,4.917677514253222
2021-03-11,15.887881199895025
2021-03-12,5.295960399965009
2021-03-13,11.726769457065375
2021-03-14,0.0
2021-03-15,0.0
2021-03-16,4.917677514253222
2021-03-17,0.0
2021-03-18,0.0
2021-03-19,0.0
2021-03-20,0.0
2021-03-21,6.052526171388581
2021-03-22,21.183841599860035
2021-03-23,5.295960399965009
2021-03-24,0.0
2021-03-25,10.591920799930017
2021-03-26,0.0
2021-03-27,0.0
2021-03-28,10.970203685641803
2021-03-29,11.34848657135359
2021-03-30,0.0
2021-03-31,0.0
2021-04-01,0.0
2021-04-02,0.0
2021-04-03,0.0
2021-04-04,0.0
2021-04-05,17.779295628453955
2021-04-06,10.591920799930017
2021-04-07,0.0
