date,/m/01cdt5
2020-02-01,18.0
2020-02-02,38.0
2020-02-03,41.0
2020-02-04,28.0
2020-02-05,32.0
2020-02-06,20.0
2020-02-07,16.0
2020-02-08,9.0
2020-02-09,21.0
2020-02-10,22.0
2020-02-11,32.0
2020-02-12,17.0
2020-02-13,32.0
2020-02-14,21.0
2020-02-15,15.0
2020-02-16,40.0
2020-02-17,28.0
2020-02-18,20.0
2020-02-19,17.0
2020-02-20,13.0
2020-02-21,15.0
2020-02-22,30.0
2020-02-23,26.0
2020-02-24,32.0
2020-02-25,21.0
2020-02-26,28.0
2020-02-27,36.0
2020-02-28,32.0
2020-02-29,24.0
2020-03-01,43.0
2020-03-02,34.0
2020-03-03,29.0
2020-03-04,32.0
2020-03-05,43.0
2020-03-06,30.0
2020-03-07,25.0
2020-03-08,48.0
2020-03-09,39.0
2020-03-10,53.0
2020-03-11,65.0
2020-03-12,65.0
2020-03-13,61.0
2020-03-14,69.0
2020-03-15,58.0
2020-03-16,100.0
2020-03-17,87.0
2020-03-18,77.0
2020-03-19,89.0
2020-03-20,86.0
2020-03-21,71.0
2020-03-22,89.0
2020-03-23,82.0
2020-03-24,87.0
2020-03-25,70.0
2020-03-26,65.0
2020-03-27,80.0
2020-03-28,89.0
2020-03-29,82.0
2020-03-30,68.0
2020-03-31,56.0
2020-04-01,71.0
2020-04-02,54.0
2020-04-03,62.0
2020-04-04,59.0
2020-04-05,56.0
2020-04-06,72.0
2020-04-07,64.0
2020-04-08,56.0
2020-04-09,55.0
2020-04-10,36.0
2020-04-11,56.0
2020-04-12,60.0
2020-04-13,35.0
2020-04-14,59.0
2020-04-15,55.0
2020-04-16,28.0
2020-04-17,35.0
2020-04-18,33.0
2020-04-19,56.0
2020-04-20,39.0
2020-04-21,44.0
2020-04-22,29.0
2020-04-23,32.0
2020-04-24,35.0
2020-04-25,41.0
2020-04-26,49.0
2020-04-27,35.0
2020-04-28,43.0
2020-04-29,56.0
2020-04-30,36.0
2020-05-01,30.0
2020-05-02,29.0
2020-05-03,36.0
2020-05-04,29.0
2020-05-05,37.0
2020-05-06,36.0
2020-05-07,37.0
2020-05-08,36.0
2020-05-09,33.0
2020-05-10,31.0
2020-05-11,30.0
2020-05-12,21.0
2020-05-13,32.0
2020-05-14,28.0
2020-05-15,27.0
2020-05-16,29.0
2020-05-17,32.0
2020-05-18,22.0
2020-05-19,33.0
2020-05-20,19.0
2020-05-21,28.0
2020-05-22,35.0
2020-05-23,35.0
2020-05-24,41.0
2020-05-25,26.0
2020-05-26,26.0
2020-05-27,17.0
2020-05-28,14.0
2020-05-29,31.0
2020-05-30,23.0
2020-05-31,21.0
2020-06-01,23.0
2020-06-02,22.0
2020-06-03,21.0
2020-06-04,36.0
2020-06-05,28.0
2020-06-06,24.0
2020-06-07,24.0
2020-06-08,28.0
2020-06-09,33.0
2020-06-10,39.0
2020-06-11,37.0
2020-06-12,24.0
2020-06-13,26.0
2020-06-14,8.0
2020-06-15,15.0
2020-06-16,36.0
2020-06-17,39.0
2020-06-18,32.0
2020-06-19,22.0
2020-06-20,24.0
