date,/m/0g9pc
2020-02-01,13.0
2020-02-02,20.0
2020-02-03,9.0
2020-02-04,13.0
2020-02-05,10.0
2020-02-06,13.0
2020-02-07,7.0
2020-02-08,12.0
2020-02-09,10.0
2020-02-10,10.0
2020-02-11,18.0
2020-02-12,16.0
2020-02-13,6.0
2020-02-14,14.0
2020-02-15,4.0
2020-02-16,8.0
2020-02-17,8.0
2020-02-18,4.0
2020-02-19,8.0
2020-02-20,4.0
2020-02-21,6.0
2020-02-22,11.0
2020-02-23,19.0
2020-02-24,35.0
2020-02-25,29.0
2020-02-26,44.0
2020-02-27,51.0
2020-02-28,32.0
2020-02-29,33.0
2020-03-01,30.0
2020-03-02,21.0
2020-03-03,17.0
2020-03-04,18.0
2020-03-05,30.0
2020-03-06,31.0
2020-03-07,29.0
2020-03-08,28.0
2020-03-09,36.0
2020-03-10,47.0
2020-03-11,47.0
2020-03-12,66.0
2020-03-13,80.0
2020-03-14,100.0
2020-03-15,78.0
2020-03-16,64.0
2020-03-17,57.0
2020-03-18,37.0
2020-03-19,48.0
2020-03-20,49.0
2020-03-21,49.0
2020-03-22,53.0
2020-03-23,45.0
2020-03-24,78.0
2020-03-25,52.0
2020-03-26,39.0
2020-03-27,42.0
2020-03-28,41.0
2020-03-29,35.0
2020-03-30,23.0
2020-03-31,23.0
2020-04-01,27.0
2020-04-02,22.0
2020-04-03,27.0
2020-04-04,21.0
2020-04-05,21.0
2020-04-06,17.0
2020-04-07,11.0
2020-04-08,20.0
2020-04-09,15.0
2020-04-10,12.0
2020-04-11,20.0
2020-04-12,14.0
2020-04-13,17.0
2020-04-14,11.0
2020-04-15,16.0
2020-04-16,10.0
2020-04-17,12.0
2020-04-18,16.0
2020-04-19,11.0
2020-04-20,16.0
2020-04-21,11.0
2020-04-22,10.0
2020-04-23,7.0
2020-04-24,13.0
2020-04-25,14.0
2020-04-26,13.0
2020-04-27,6.0
2020-04-28,12.0
2020-04-29,13.0
2020-04-30,7.0
2020-05-01,12.0
2020-05-02,10.0
2020-05-03,9.0
2020-05-04,7.0
2020-05-05,7.0
2020-05-06,11.0
2020-05-07,11.0
2020-05-08,11.0
2020-05-09,10.0
2020-05-10,6.0
2020-05-11,6.0
2020-05-12,7.0
2020-05-13,9.0
2020-05-14,12.0
2020-05-15,5.0
2020-05-16,7.0
2020-05-17,6.0
2020-05-18,5.0
2020-05-19,5.0
2020-05-20,7.0
2020-05-21,5.0
2020-05-22,3.0
2020-05-23,3.0
2020-05-24,4.0
2020-05-25,4.0
2020-05-26,6.0
2020-05-27,5.0
2020-05-28,3.0
2020-05-29,9.0
2020-05-30,6.0
2020-05-31,3.0
2020-06-01,8.0
2020-06-02,4.0
2020-06-03,5.0
2020-06-04,9.0
2020-06-05,2.0
2020-06-06,5.0
2020-06-07,4.0
2020-06-08,4.0
2020-06-09,4.0
2020-06-10,5.0
2020-06-11,4.0
2020-06-12,3.0
2020-06-13,3.0
