date,/m/01cpyy
2020-03-01,30
2020-03-02,31
2020-03-03,31
2020-03-04,27
2020-03-05,33
2020-03-06,32
2020-03-07,28
2020-03-08,34
2020-03-09,34
2020-03-10,36
2020-03-11,38
2020-03-12,65
2020-03-13,79
2020-03-14,80
2020-03-15,86
2020-03-16,78
2020-03-17,68
2020-03-18,100
2020-03-19,61
2020-03-20,55
2020-03-21,57
2020-03-22,57
2020-03-23,43
2020-03-24,41
2020-03-25,38
2020-03-26,36
2020-03-27,36
2020-03-28,35
2020-03-29,35
2020-03-30,28
2020-03-31,27
2020-04-01,27
2020-04-02,25
2020-04-03,37
2020-04-04,42
2020-04-05,39
2020-04-06,19
2020-04-07,20
2020-04-08,20
2020-04-09,17
2020-04-10,16
2020-04-11,18
2020-04-12,18
2020-04-13,19
2020-04-14,17
2020-04-15,15
2020-04-16,16
2020-04-17,17
2020-04-18,15
2020-04-19,16
2020-04-20,14
2020-04-21,12
2020-04-22,13
2020-04-23,23
2020-04-24,12
2020-04-25,12
2020-04-26,11
2020-04-27,10
2020-04-28,13
2020-04-29,14
2020-04-30,12
2020-05-01,11
2020-05-02,11
2020-05-03,10
2020-05-04,8
2020-05-05,8
2020-05-06,9
2020-05-07,10
2020-05-08,9
2020-05-09,9
2020-05-10,9
2020-05-11,8
2020-05-12,9
2020-05-13,7
2020-05-14,8
2020-05-15,8
2020-05-16,7
2020-05-17,9
2020-05-18,7
2020-05-19,7
2020-05-20,7
2020-05-21,7
2020-05-22,5
2020-05-23,5
2020-05-24,6
2020-05-25,6
2020-05-26,5
2020-05-27,5
2020-05-28,6
2020-05-29,4
2020-05-30,5
2020-05-31,5
2020-06-01,5
2020-06-02,4
2020-06-03,4
2020-06-04,4
2020-06-05,4
2020-06-06,4
2020-06-07,3
2020-06-08,4
2020-06-09,4
2020-06-10,3
2020-06-11,4
2020-06-12,4
2020-06-13,4
2020-06-14,4
2020-06-15,3
2020-06-16,3
2020-06-17,3
2020-06-18,3
2020-06-19,4
2020-06-20,4
2020-06-21,5
2020-06-22,4
2020-06-23,4
2020-06-24,5
2020-06-25,3
2020-06-26,4
2020-06-27,4
2020-06-28,4
2020-06-29,4
2020-06-30,4
2020-07-01,3
2020-07-02,3
2020-07-03,3
2020-07-04,4
2020-07-05,4
2020-07-06,4
2020-07-07,3
2020-07-08,4
2020-07-09,4
2020-07-10,6
2020-07-11,4
2020-07-12,5
2020-07-13,5
2020-07-14,6
2020-07-15,3
2020-07-16,5
2020-07-17,6
2020-07-18,6
2020-07-19,8
2020-07-20,6
2020-07-21,5
2020-07-22,5
2020-07-23,5
2020-07-24,6
2020-07-25,6
2020-07-26,6
2020-07-27,5
2020-07-28,4
2020-07-29,4
2020-07-30,4
2020-07-31,5
2020-08-01,4
2020-08-02,5
2020-08-03,5
2020-08-04,4
2020-08-05,4
2020-08-06,5
2020-08-07,6
2020-08-08,5
2020-08-09,4
2020-08-10,5
2020-08-11,5
2020-08-12,5
2020-08-13,5
2020-08-14,7
2020-08-15,6
2020-08-16,6
2020-08-17,5
2020-08-18,4
2020-08-19,5
2020-08-20,5
2020-08-21,4
2020-08-22,5
2020-08-23,5
2020-08-24,6
2020-08-25,6
2020-08-26,6
2020-08-27,6
2020-08-28,6
2020-08-29,5
2020-08-30,5
2020-08-31,5
2020-09-01,3
2020-09-02,4
2020-09-03,4
2020-09-04,4
2020-09-05,4
2020-09-06,4
2020-09-07,4
2020-09-08,4
2020-09-09,3
2020-09-10,4
2020-09-11,5
2020-09-12,4
2020-09-13,4
2020-09-14,4
2020-09-15,4
2020-09-16,4
2020-09-17,4
2020-09-18,3
2020-09-19,3
2020-09-20,3
2020-09-21,3
2020-09-22,3
2020-09-23,4
2020-09-24,5
2020-09-25,4
2020-09-26,3
2020-09-27,4
2020-09-28,3
2020-09-29,3
2020-09-30,3
2020-10-01,3
2020-10-02,3
2020-10-03,2
2020-10-04,3
2020-10-05,2
2020-10-06,3
2020-10-07,2
2020-10-08,2
2020-10-09,3
2020-10-10,3
2020-10-11,3
2020-10-12,4
2020-10-13,4
2020-10-14,4
2020-10-15,3
2020-10-16,3
2020-10-17,4
2020-10-18,4
2020-10-19,3
2020-10-20,3
2020-10-21,4
2020-10-22,4
2020-10-23,4
