date,/m/01cdt5,isPartial
2020-03-01,0,False
2020-03-02,31,False
2020-03-03,32,False
2020-03-04,0,False
2020-03-05,32,False
2020-03-06,34,False
2020-03-07,0,False
2020-03-08,36,False
2020-03-09,32,False
2020-03-10,0,False
2020-03-11,99,False
2020-03-12,32,False
2020-03-13,100,False
2020-03-14,36,False
2020-03-15,30,False
2020-03-16,42,False
2020-03-17,28,False
2020-03-18,61,False
2020-03-19,63,False
2020-03-20,59,False
2020-03-21,34,False
2020-03-22,33,False
2020-03-23,25,False
2020-03-24,28,False
2020-03-25,56,False
2020-03-26,57,False
2020-03-27,82,False
2020-03-28,33,False
2020-03-29,64,False
2020-03-30,69,False
2020-03-31,55,False
2020-04-01,41,False
2020-04-02,28,False
2020-04-03,29,False
2020-04-04,34,False
2020-04-05,0,False
2020-04-06,28,False
2020-04-07,59,False
2020-04-08,57,False
2020-04-09,30,False
2020-04-10,0,False
2020-04-11,32,False
2020-04-12,0,False
2020-04-13,59,False
2020-04-14,0,False
2020-04-15,0,False
2020-04-16,0,False
2020-04-17,0,False
2020-04-18,31,False
2020-04-19,59,False
2020-04-20,52,False
2020-04-21,0,False
2020-04-22,0,False
2020-04-23,0,False
2020-04-24,29,False
2020-04-25,33,False
2020-04-26,48,False
2020-04-27,0,False
2020-04-28,27,False
2020-04-29,70,False
2020-04-30,0,False
2020-05-01,0,False
2020-05-02,0,False
2020-05-03,32,False
2020-05-04,0,False
2020-05-05,0,False
2020-05-06,27,False
2020-05-07,0,False
2020-05-08,0,False
2020-05-09,30,False
2020-05-10,0,False
2020-05-11,0,False
2020-05-12,29,False
2020-05-13,28,False
2020-05-14,0,False
2020-05-15,30,False
2020-05-16,0,False
2020-05-17,36,False
2020-05-18,59,False
2020-05-19,0,False
2020-05-20,0,False
2020-05-21,35,False
2020-05-22,0,False
2020-05-23,34,False
2020-05-24,36,False
2020-05-25,0,False
2020-05-26,0,False
2020-05-27,30,False
2020-05-28,0,False
2020-05-29,0,False
2020-05-30,36,False
2020-05-31,71,False
2020-06-01,0,False
2020-06-02,29,False
2020-06-03,0,False
2020-06-04,0,False
2020-06-05,29,False
2020-06-06,0,False
2020-06-07,0,False
2020-06-08,27,False
2020-06-09,28,False
2020-06-10,0,False
2020-06-11,30,False
2020-06-12,44,False
2020-06-13,34,False
2020-06-14,0,False
2020-06-15,0,False
2020-06-16,0,False
2020-06-17,0,False
2020-06-18,30,False
2020-06-19,30,False
2020-06-20,34,False
2020-06-21,0,False
2020-06-22,0,False
2020-06-23,0,False
2020-06-24,29,False
2020-06-25,30,False
2020-06-26,0,False
2020-06-27,0,False
2020-06-28,0,False
2020-06-29,28,False
2020-06-30,29,False
2020-07-01,0,False
2020-07-02,28,False
2020-07-03,0,False
2020-07-04,0,False
2020-07-05,33,False
2020-07-06,27,False
2020-07-07,28,False
2020-07-08,0,False
2020-07-09,58,False
2020-07-10,29,False
2020-07-11,0,False
2020-07-12,0,False
2020-07-13,28,False
2020-07-14,29,False
2020-07-15,0,False
2020-07-16,0,False
2020-07-17,57,False
2020-07-18,0,False
2020-07-19,0,False
2020-07-20,0,False
2020-07-21,0,False
2020-07-22,0,False
2020-07-23,0,False
2020-07-24,0,False
2020-07-25,30,False
2020-07-26,0,False
2020-07-27,0,False
2020-07-28,0,False
2020-07-29,27,False
2020-07-30,28,False
2020-07-31,0,False
2020-08-01,0,False
2020-08-02,28,False
2020-08-03,25,False
2020-08-04,0,False
2020-08-05,26,False
2020-08-06,53,False
2020-08-07,0,False
2020-08-08,0,False
2020-08-09,0,False
2020-08-10,0,False
2020-08-11,0,False
2020-08-12,0,False
2020-08-13,0,False
2020-08-14,26,False
2020-08-15,27,False
2020-08-16,0,False
2020-08-17,25,False
2020-08-18,25,False
2020-08-19,0,False
2020-08-20,26,False
2020-08-21,27,False
2020-08-22,0,False
2020-08-23,28,False
2020-08-24,0,False
2020-08-25,0,False
2020-08-26,0,False
2020-08-27,26,False
2020-08-28,0,False
2020-08-29,0,False
2020-08-30,0,False
2020-08-31,41,False
2020-09-01,0,False
2020-09-02,0,False
2020-09-03,29,False
2020-09-04,0,False
2020-09-05,0,False
2020-09-06,30,False
2020-09-07,0,False
2020-09-08,63,False
2020-09-09,0,False
2020-09-10,31,False
2020-09-11,0,False
2020-09-12,0,False
2020-09-13,34,False
2020-09-14,0,False
2020-09-15,64,False
2020-09-16,31,False
2020-09-17,0,False
2020-09-18,0,False
2020-09-19,33,False
2020-09-20,0,False
2020-09-21,31,False
2020-09-22,31,False
2020-09-23,32,False
2020-09-24,32,False
2020-09-25,34,False
2020-09-26,0,False
2020-09-27,0,False
2020-09-28,0,False
2020-09-29,0,False
2020-09-30,0,False
2020-10-01,33,False
2020-10-02,0,False
2020-10-03,0,False
2020-10-04,31,False
2020-10-05,29,False
2020-10-06,28,False
2020-10-07,0,False
2020-10-08,0,False
2020-10-09,32,False
2020-10-10,35,False
2020-10-11,0,False
2020-10-12,30,False
2020-10-13,0,False
2020-10-14,31,False
