date,/m/0g9pc
2020-02-01,29.0
2020-02-02,20.0
2020-02-03,7.0
2020-02-04,7.0
2020-02-05,12.0
2020-02-06,5.0
2020-02-07,9.0
2020-02-08,9.0
2020-02-09,7.0
2020-02-10,4.0
2020-02-11,9.0
2020-02-12,8.0
2020-02-13,4.0
2020-02-14,4.0
2020-02-15,5.0
2020-02-16,5.0
2020-02-17,3.0
2020-02-18,5.0
2020-02-19,8.0
2020-02-20,4.0
2020-02-21,3.0
2020-02-22,5.0
2020-02-23,17.0
2020-02-24,19.0
2020-02-25,25.0
2020-02-26,31.0
2020-02-27,38.0
2020-02-28,29.0
2020-02-29,18.0
2020-03-01,28.0
2020-03-02,24.0
2020-03-03,25.0
2020-03-04,28.0
2020-03-05,27.0
2020-03-06,61.0
2020-03-07,36.0
2020-03-08,48.0
2020-03-09,89.0
2020-03-10,58.0
2020-03-11,70.0
2020-03-12,100.0
2020-03-13,90.0
2020-03-14,92.0
2020-03-15,80.0
2020-03-16,79.0
2020-03-17,77.0
2020-03-18,69.0
2020-03-19,53.0
2020-03-20,43.0
2020-03-21,55.0
2020-03-22,47.0
2020-03-23,32.0
2020-03-24,38.0
2020-03-25,29.0
2020-03-26,32.0
2020-03-27,35.0
2020-03-28,33.0
2020-03-29,22.0
2020-03-30,22.0
2020-03-31,24.0
2020-04-01,21.0
2020-04-02,27.0
2020-04-03,25.0
2020-04-04,18.0
2020-04-05,25.0
2020-04-06,14.0
2020-04-07,21.0
2020-04-08,17.0
2020-04-09,19.0
2020-04-10,15.0
2020-04-11,14.0
2020-04-12,15.0
2020-04-13,15.0
2020-04-14,13.0
2020-04-15,8.0
2020-04-16,7.0
2020-04-17,12.0
2020-04-18,13.0
2020-04-19,7.0
2020-04-20,7.0
2020-04-21,10.0
2020-04-22,10.0
2020-04-23,11.0
2020-04-24,6.0
2020-04-25,11.0
2020-04-26,8.0
2020-04-27,4.0
2020-04-28,11.0
2020-04-29,7.0
2020-04-30,7.0
2020-05-01,5.0
2020-05-02,8.0
2020-05-03,5.0
2020-05-04,8.0
2020-05-05,8.0
2020-05-06,6.0
2020-05-07,13.0
2020-05-08,8.0
2020-05-09,5.0
2020-05-10,4.0
2020-05-11,9.0
2020-05-12,5.0
2020-05-13,8.0
2020-05-14,1.0
2020-05-15,4.0
2020-05-16,5.0
2020-05-17,5.0
2020-05-18,5.0
2020-05-19,5.0
2020-05-20,3.0
2020-05-21,5.0
2020-05-22,1.0
2020-05-23,3.0
2020-05-24,5.0
2020-05-25,3.0
2020-05-26,2.0
2020-05-27,3.0
2020-05-28,4.0
2020-05-29,3.0
2020-05-30,2.0
2020-05-31,2.0
2020-06-01,5.0
2020-06-02,4.0
2020-06-03,1.0
2020-06-04,2.0
2020-06-05,1.0
2020-06-06,1.0
2020-06-07,3.0
2020-06-08,3.0
2020-06-09,6.0
2020-06-10,3.0
2020-06-11,1.0
2020-06-12,2.0
2020-06-13,1.0
2020-06-14,4.0
2020-06-15,5.0
2020-06-16,2.0
2020-06-17,3.0
2020-06-18,4.0
2020-06-19,1.0
2020-06-20,1.0
2020-06-21,3.0
2020-06-22,5.0
2020-06-23,1.0
2020-06-24,1.0
2020-06-25,4.0
2020-06-26,1.0
2020-06-27,5.0
2020-06-28,4.0
2020-06-29,3.0
2020-06-30,3.0
2020-07-01,5.0
2020-07-02,5.0
2020-07-03,5.0
2020-07-04,7.0
2020-07-05,3.0
2020-07-06,1.0
2020-07-07,4.0
2020-07-08,6.0
2020-07-09,4.0
2020-07-10,4.0
2020-07-11,2.0
2020-07-12,2.0
2020-07-13,3.0
2020-07-14,1.0
2020-07-15,3.0
2020-07-16,3.0
2020-07-17,6.0
2020-07-18,4.0
2020-07-19,4.0
2020-07-20,2.0
2020-07-21,2.0
2020-07-22,1.0
2020-07-23,2.0
2020-07-24,1.0
2020-07-25,8.0
2020-07-26,2.0
2020-07-27,1.0
2020-07-28,2.0
2020-07-29,2.0
2020-07-30,3.0
2020-07-31,2.0
2020-08-01,4.0
2020-08-02,4.0
2020-08-03,3.0
2020-08-04,2.0
2020-08-05,2.0
2020-08-06,5.0
2020-08-07,4.0
2020-08-08,1.0
2020-08-09,3.0
2020-08-10,4.0
2020-08-11,2.0
2020-08-12,4.0
2020-08-13,2.0
2020-08-14,1.0
2020-08-15,2.0
2020-08-16,2.0
2020-08-17,0.0
2020-08-18,3.0
2020-08-19,3.0
2020-08-20,5.0
2020-08-21,2.0
2020-08-22,5.0
2020-08-23,2.0
2020-08-24,4.0
2020-08-25,1.0
2020-08-26,4.0
2020-08-27,3.0
2020-08-28,2.0
2020-08-29,5.0
2020-08-30,5.0
2020-08-31,4.0
2020-09-01,1.0
2020-09-02,2.0
2020-09-03,2.0
2020-09-04,3.0
2020-09-05,2.0
2020-09-06,2.0
2020-09-07,3.0
2020-09-08,4.0
2020-09-09,6.0
2020-09-10,3.0
2020-09-11,2.0
2020-09-12,4.0
2020-09-13,2.0
2020-09-14,2.0
2020-09-15,6.0
2020-09-16,4.0
2020-09-17,2.0
2020-09-18,4.0
2020-09-19,1.0
2020-09-20,2.0
2020-09-21,4.0
2020-09-22,4.0
2020-09-23,3.0
2020-09-24,5.0
2020-09-25,2.0
2020-09-26,4.0
2020-09-27,3.0
2020-09-28,4.0
2020-09-29,2.0
2020-09-30,7.0
2020-10-01,6.0
2020-10-02,6.0
2020-10-03,5.0
2020-10-04,4.0
