date,/g/11j8_9sv06
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,1.3047866783698567
2020-02-23,0.0
2020-02-24,1.1896584420431047
2020-02-25,1.1896584420431047
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,1.2280345208186885
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,1.1129062844919366
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,1.2280345208186885
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,0.0
2020-03-19,1.0361541269407684
2020-03-20,0.0
2020-03-21,1.1512823632675204
2020-03-22,1.1129062844919366
2020-03-23,0.0
2020-03-24,0.0
2020-03-25,0.0
2020-03-26,1.0361541269407684
2020-03-27,1.8804278600036168
2020-03-28,1.0361541269407684
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.9594019693896004
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,0.0
2020-04-14,0.9594019693896004
2020-04-15,0.0
2020-04-16,0.0
2020-04-17,0.0
2020-04-18,0.0
2020-04-19,1.0745302057163526
2020-04-20,0.0
2020-04-21,0.9977780481651846
2020-04-22,0.0
2020-04-23,1.0361541269407684
2020-04-24,2.1106843326571214
2020-04-25,0.0
2020-04-26,0.0
2020-04-27,1.8804278600036168
2020-04-28,0.0
2020-04-29,0.8826498118384324
2020-04-30,0.8826498118384324
2020-05-01,0.0
2020-05-02,0.0
2020-05-03,1.0361541269407684
2020-05-04,0.9210258906140165
2020-05-05,0.0
2020-05-06,0.0
2020-05-07,1.9955560963303691
2020-05-08,0.0
2020-05-09,0.0
2020-05-10,0.0
2020-05-11,0.0
2020-05-12,0.0
2020-05-13,0.0
2020-05-14,0.0
2020-05-15,0.0
2020-05-16,1.2664105995942725
2020-05-17,1.3431627571454405
2020-05-18,1.0745302057163526
2020-05-19,2.1106843326571214
2020-05-20,0.0
2020-05-21,0.0
2020-05-22,0.0
2020-05-23,0.0
2020-05-24,0.0
2020-05-25,0.0
2020-05-26,1.0745302057163526
2020-05-27,0.0
2020-05-28,0.0
2020-05-29,0.0
2020-05-30,0.0
2020-05-31,0.0
2020-06-01,0.0
2020-06-02,0.0
2020-06-03,0.0
2020-06-04,0.0
2020-06-05,0.0
2020-06-06,0.0
2020-06-07,0.0
2020-06-08,0.0
2020-06-09,0.0
2020-06-10,0.0
2020-06-11,0.0
2020-06-12,0.0
2020-06-13,1.1512823632675204
2020-06-14,0.0
2020-06-15,0.0
2020-06-16,1.9955560963303691
2020-06-17,0.0
2020-06-18,0.0
2020-06-19,0.0
2020-06-20,0.0
2020-06-21,1.1896584420431047
2020-06-22,0.0
2020-06-23,0.0
2020-06-24,0.0
2020-06-25,0.0
2020-06-26,0.0
2020-06-27,1.1896584420431047
2020-06-28,0.0
2020-06-29,0.0
2020-06-30,0.0
2020-07-01,0.0
2020-07-02,1.1129062844919366
2020-07-03,0.0
2020-07-04,1.1896584420431047
2020-07-05,1.1512823632675204
2020-07-06,1.1129062844919366
2020-07-07,0.0
2020-07-08,0.0
2020-07-09,0.0
2020-07-10,0.0
2020-07-11,0.0
2020-07-12,0.0
2020-07-13,1.1512823632675204
2020-07-14,0.0
2020-07-15,0.0
2020-07-16,0.0
2020-07-17,0.0
2020-07-18,0.0
2020-07-19,1.3047866783698567
2020-07-20,1.1896584420431047
