date,/m/07mf1
2020-02-01,17.0
2020-02-02,36.0
2020-02-03,25.0
2020-02-04,9.0
2020-02-05,14.0
2020-02-06,24.0
2020-02-07,36.0
2020-02-08,34.0
2020-02-09,16.0
2020-02-10,40.0
2020-02-11,18.0
2020-02-12,23.0
2020-02-13,39.0
2020-02-14,20.0
2020-02-15,33.0
2020-02-16,36.0
2020-02-17,27.0
2020-02-18,14.0
2020-02-19,14.0
2020-02-20,14.0
2020-02-21,29.0
2020-02-22,6.0
2020-02-23,15.0
2020-02-24,14.0
2020-02-25,18.0
2020-02-26,23.0
2020-02-27,19.0
2020-02-28,34.0
2020-02-29,31.0
2020-03-01,20.0
2020-03-02,46.0
2020-03-03,26.0
2020-03-04,23.0
2020-03-05,43.0
2020-03-06,19.0
2020-03-07,20.0
2020-03-08,51.0
2020-03-09,44.0
2020-03-10,30.0
2020-03-11,72.0
2020-03-12,68.0
2020-03-13,98.0
2020-03-14,100.0
2020-03-15,56.0
2020-03-16,74.0
2020-03-17,82.0
2020-03-18,77.0
2020-03-19,73.0
2020-03-20,44.0
2020-03-21,60.0
2020-03-22,32.0
2020-03-23,39.0
2020-03-24,47.0
2020-03-25,56.0
2020-03-26,47.0
2020-03-27,42.0
2020-03-28,77.0
2020-03-29,82.0
2020-03-30,89.0
2020-03-31,68.0
2020-04-01,72.0
2020-04-02,55.0
2020-04-03,34.0
2020-04-04,66.0
2020-04-05,40.0
2020-04-06,38.0
2020-04-07,26.0
2020-04-08,45.0
2020-04-09,19.0
2020-04-10,51.0
2020-04-11,11.0
2020-04-12,27.0
2020-04-13,32.0
2020-04-14,23.0
2020-04-15,63.0
2020-04-16,30.0
2020-04-17,14.0
2020-04-18,27.0
2020-04-19,28.0
2020-04-20,41.0
2020-04-21,17.0
2020-04-22,35.0
2020-04-23,26.0
2020-04-24,23.0
2020-04-25,41.0
2020-04-26,20.0
2020-04-27,30.0
2020-04-28,17.0
2020-04-29,33.0
2020-04-30,22.0
2020-05-01,10.0
2020-05-02,35.0
2020-05-03,37.0
2020-05-04,37.0
2020-05-05,31.0
2020-05-06,54.0
2020-05-07,52.0
2020-05-08,6.0
2020-05-09,12.0
2020-05-10,25.0
2020-05-11,28.0
2020-05-12,46.0
2020-05-13,33.0
2020-05-14,26.0
2020-05-15,27.0
2020-05-16,12.0
2020-05-17,32.0
2020-05-18,36.0
2020-05-19,22.0
2020-05-20,26.0
2020-05-21,27.0
2020-05-22,19.0
2020-05-23,15.0
2020-05-24,33.0
2020-05-25,20.0
2020-05-26,29.0
2020-05-27,36.0
2020-05-28,17.0
2020-05-29,23.0
2020-05-30,22.0
2020-05-31,23.0
2020-06-01,26.0
2020-06-02,26.0
2020-06-03,29.0
2020-06-04,20.0
2020-06-05,21.0
2020-06-06,37.0
2020-06-07,28.0
2020-06-08,11.0
2020-06-09,20.0
2020-06-10,24.0
2020-06-11,9.0
2020-06-12,20.0
2020-06-13,29.0
2020-06-14,29.0
2020-06-15,30.0
2020-06-16,25.0
2020-06-17,18.0
2020-06-18,42.0
2020-06-19,23.0
2020-06-20,19.0
2020-06-21,15.0
2020-06-22,18.0
2020-06-23,23.0
2020-06-24,32.0
2020-06-25,24.0
2020-06-26,15.0
2020-06-27,12.0
2020-06-28,16.0
2020-06-29,13.0
2020-06-30,14.0
2020-07-01,29.0
2020-07-02,28.0
2020-07-03,5.0
2020-07-04,26.0
2020-07-05,24.0
2020-07-06,26.0
2020-07-07,9.0
2020-07-08,23.0
2020-07-09,44.0
2020-07-10,11.0
2020-07-11,16.0
2020-07-12,11.0
2020-07-13,24.0
2020-07-14,25.0
2020-07-15,24.0
2020-07-16,14.0
2020-07-17,15.0
2020-07-18,6.0
2020-07-19,11.0
2020-07-20,29.0
2020-07-21,24.0
2020-07-22,0.0
2020-07-23,16.0
2020-07-24,26.0
2020-07-25,12.0
2020-07-26,17.0
2020-07-27,35.0
2020-07-28,5.0
2020-07-29,26.0
2020-07-30,42.0
2020-07-31,33.0
2020-08-01,38.0
2020-08-02,22.0
2020-08-03,9.0
2020-08-04,18.0
2020-08-05,25.0
2020-08-06,31.0
2020-08-07,33.0
2020-08-08,13.0
2020-08-09,12.0
2020-08-10,14.0
2020-08-11,14.0
2020-08-12,10.0
2020-08-13,10.0
2020-08-14,15.0
2020-08-15,11.0
2020-08-16,17.0
2020-08-17,14.0
2020-08-18,18.0
2020-08-19,19.0
2020-08-20,16.0
2020-08-21,32.0
2020-08-22,40.0
2020-08-23,22.0
2020-08-24,14.0
2020-08-25,24.0
2020-08-26,25.0
2020-08-27,20.0
2020-08-28,25.0
2020-08-29,11.0
2020-08-30,20.0
2020-08-31,4.0
2020-09-01,13.0
2020-09-02,34.0
2020-09-03,35.0
2020-09-04,31.0
2020-09-05,46.0
2020-09-06,53.0
2020-09-07,18.0
2020-09-08,28.0
2020-09-09,29.0
2020-09-10,53.0
2020-09-11,41.0
2020-09-12,24.0
2020-09-13,38.0
2020-09-14,50.0
2020-09-15,28.0
2020-09-16,47.0
2020-09-17,42.0
2020-09-18,54.0
2020-09-19,35.0
2020-09-20,54.0
2020-09-21,35.0
2020-09-22,63.0
2020-09-23,54.0
2020-09-24,28.0
2020-09-25,19.0
2020-09-26,15.0
2020-09-27,21.0
2020-09-28,33.0
2020-09-29,45.0
2020-09-30,33.0
2020-10-01,34.0
2020-10-02,20.0
2020-10-03,22.0
2020-10-04,16.0
2020-10-05,22.0
2020-10-06,32.0
2020-10-07,41.0
2020-10-08,28.0
2020-10-09,16.0
2020-10-10,28.0
2020-10-11,26.0
2020-10-12,50.0
2020-10-13,32.0
2020-10-14,4.0
2020-10-15,14.0
2020-10-16,56.0
2020-10-17,53.0
2020-10-18,21.0
2020-10-19,36.0
2020-10-20,37.0
2020-10-21,51.0
2020-10-22,38.0
2020-10-23,24.0
2020-10-24,22.0
2020-10-25,21.0
2020-10-26,65.0
2020-10-27,62.0
2020-10-28,50.23195575377544
2020-10-29,25.81364392902349
2020-10-30,46.045959440960814
2020-10-31,11.860322886308088
2020-11-01,46.74362549309659
2020-11-02,28.604308137566566
2020-11-03,38.37163286746735
2020-11-04,32.09263839824542
2020-11-05,46.74362549309659
2020-11-06,49.534289701639665
2020-11-07,34.8833026067885
2020-11-08,48.138957597368126
2020-11-09,41.8599631281462
2020-11-10,56.510950222997366
2020-11-11,43.25529523241774
2020-11-12,19.534649459801557
2020-11-13,25.81364392902349
2020-11-14,35.58096865892426
2020-11-15,5.5813284170861595
2020-11-16,18.836983407665787
2020-11-17,26.511309981159258
2020-11-18,24.418311824751946
2020-11-19,38.37163286746735
2020-11-20,20.23231551193733
2020-11-21,63.48761074435507
2020-11-22,53.022619962318515
2020-11-23,23.022979720480407
2020-11-24,32.790304450381186
2020-11-25,43.25529523241774
2020-11-26,9.767324729900778
2020-11-27,40.46463102387466
2020-11-28,41.162297076010425
2020-11-29,21.62764761620887
2020-11-30,34.185636554652724
2020-12-01,45.34829338882505
2020-12-02,45.34829338882505
2020-12-03,31.394972346109647
2020-12-04,16.04631919912271
2020-12-05,42.557629180281964
2020-12-06,28.604308137566566
2020-12-07,39.76696497173889
2020-12-08,56.510950222997366
2020-12-09,25.81364392902349
2020-12-10,30.697306293973877
2020-12-11,38.37163286746735
2020-12-12,24.418311824751946
2020-12-13,34.185636554652724
2020-12-14,30.697306293973877
2020-12-15,41.8599631281462
2020-12-16,32.790304450381186
2020-12-17,43.9529612845535
2020-12-18,29.30197418970234
2020-12-19,32.09263839824542
2020-12-20,18.836983407665787
2020-12-21,40.46463102387466
2020-12-22,18.139317355530018
2020-12-23,6.27899446922193
2020-12-24,14.65098709485117
2020-12-25,0.0
2020-12-26,18.836983407665787
2020-12-27,41.162297076010425
2020-12-28,21.62764761620887
2020-12-29,40.46463102387466
2020-12-30,40.46463102387466
2020-12-31,13.255654990579629
