date,/m/0g9pc_0,/m/0g9pc,batch_id
2020-02-01,16.0,16.0,1
2020-02-02,12.0,12.0,1
2020-02-03,11.0,11.0,1
2020-02-04,10.0,10.0,1
2020-02-05,7.0,7.0,1
2020-02-06,15.0,15.0,1
2020-02-07,11.0,11.0,1
2020-02-08,9.0,9.0,1
2020-02-09,10.0,10.0,1
2020-02-10,11.0,11.0,1
2020-02-11,11.0,11.0,1
2020-02-12,12.0,12.0,1
2020-02-13,12.0,12.0,1
2020-02-14,11.0,11.0,1
2020-02-15,6.0,6.0,1
2020-02-16,5.0,5.0,1
2020-02-17,6.0,6.0,1
2020-02-18,9.0,9.0,1
2020-02-19,5.0,5.0,1
2020-02-20,4.0,4.0,1
2020-02-21,4.0,4.0,1
2020-02-22,10.0,10.0,1
2020-02-23,14.0,14.0,1
2020-02-24,20.0,20.0,1
2020-02-25,36.0,36.0,1
2020-02-26,41.0,41.0,1
2020-02-27,53.0,53.0,1
2020-02-28,46.0,46.0,1
2020-02-29,36.0,36.0,1
2020-03-01,51.0,51.0,1
2020-03-02,40.0,40.0,1
2020-03-03,35.0,35.0,1
2020-03-04,49.0,49.0,1
2020-03-05,54.0,54.0,1
2020-03-06,64.0,64.0,1
2020-03-07,46.0,46.0,1
2020-03-08,46.0,46.0,1
2020-03-09,67.0,67.0,1
2020-03-10,80.0,80.0,1
2020-03-11,91.0,91.0,1
2020-03-12,100.0,100.0,1
2020-03-13,92.0,92.0,1
2020-03-14,85.0,85.0,1
2020-03-15,91.0,91.0,1
2020-03-16,78.0,78.0,1
2020-03-17,66.0,66.0,1
2020-03-18,75.0,75.0,1
2020-03-19,63.0,63.0,1
2020-03-20,57.0,57.0,1
2020-03-21,64.0,64.0,1
2020-03-22,49.0,49.0,1
2020-03-23,45.0,45.0,1
2020-03-24,54.0,54.0,1
2020-03-25,47.0,47.0,1
2020-03-26,41.0,41.0,1
2020-03-27,36.0,36.0,1
2020-03-28,42.0,42.0,1
2020-03-29,40.0,40.0,1
2020-03-30,35.0,35.0,1
2020-03-31,31.0,31.0,1
2020-04-01,30.0,30.0,1
2020-04-02,29.0,29.0,1
2020-04-03,25.0,25.0,1
2020-04-04,28.0,28.0,1
2020-04-05,32.0,32.0,1
2020-04-06,24.0,24.0,1
2020-04-07,17.0,17.0,1
2020-04-08,18.0,18.0,1
2020-04-09,20.0,20.0,1
2020-04-10,22.0,22.0,1
2020-04-11,19.0,19.0,1
2020-04-12,16.0,16.0,1
2020-04-13,24.0,24.0,1
2020-04-14,15.0,15.0,1
2020-04-15,14.0,14.0,1
2020-04-16,17.0,17.0,1
2020-04-17,14.0,14.0,1
2020-04-18,17.0,17.0,1
2020-04-19,17.0,17.0,1
2020-04-20,12.0,12.0,1
2020-04-21,14.0,14.0,1
2020-04-22,11.0,11.0,1
2020-04-23,11.0,11.0,1
2020-04-24,9.0,9.0,1
2020-04-25,15.0,15.0,1
2020-04-26,12.0,12.0,1
2020-04-27,9.0,9.0,1
2020-04-28,10.0,10.0,1
2020-04-29,14.0,14.0,1
2020-04-30,10.0,10.0,1
2020-05-01,13.0,13.0,1
2020-05-02,10.0,10.0,1
2020-05-03,15.0,15.0,1
2020-05-04,10.0,10.0,1
2020-05-05,11.0,11.0,1
2020-05-06,8.0,8.0,1
2020-05-07,12.0,12.0,1
2020-05-08,8.0,8.0,1
2020-05-09,7.0,7.0,1
2020-05-10,11.0,11.0,1
2020-05-11,10.0,10.0,1
2020-05-12,8.0,8.0,1
2020-05-13,9.0,9.0,1
2020-05-14,10.0,10.0,1
2020-05-15,8.0,8.0,1
2020-05-16,9.0,9.0,1
2020-05-17,6.0,6.0,1
2020-05-18,5.0,5.0,1
2020-05-19,9.0,9.0,1
2020-05-20,8.0,8.0,1
2020-05-21,5.0,5.0,1
2020-05-22,4.0,4.0,1
2020-05-23,5.0,5.0,1
2020-05-24,5.0,5.0,1
2020-05-25,7.0,7.0,1
2020-05-26,5.0,5.0,1
2020-05-27,6.0,6.0,1
2020-05-28,7.0,7.0,1
2020-05-29,4.0,4.0,1
2020-05-30,5.0,5.0,1
2020-05-31,7.0,7.0,1
2020-06-01,5.0,5.0,1
2020-06-02,6.0,6.0,1
2020-06-03,4.0,4.0,1
2020-06-04,5.0,5.0,1
2020-06-05,5.0,5.0,1
2020-06-06,3.0,3.0,1
2020-06-07,4.0,4.0,1
2020-06-08,4.0,4.0,1
2020-06-09,4.0,4.0,1
2020-06-10,5.0,5.0,1
2020-06-11,5.0,5.0,1
2020-06-12,7.0,7.0,1
2020-06-13,5.0,5.0,1
2020-06-14,4.0,4.0,1
2020-06-15,4.0,4.0,1
2020-06-16,5.0,5.0,1
2020-06-17,4.0,4.0,1
2020-06-18,4.0,4.0,1
2020-06-19,3.0,3.0,1
2020-06-20,6.0,6.0,1
2020-06-21,4.0,4.0,1
2020-06-22,4.0,4.0,1
2020-06-23,3.0,3.0,1
2020-06-24,4.0,4.0,1
2020-06-25,7.0,7.0,1
2020-06-26,4.0,4.0,1
2020-06-27,3.0,3.0,1
2020-06-28,6.0,6.0,1
2020-06-29,6.0,6.0,1
2020-06-30,5.0,5.0,1
2020-07-01,6.0,6.0,1
2020-07-02,5.0,5.0,1
