date,/g/121j1nlf_0,/g/121j1nlf,batch_id
2020-02-01,23.0,23.0,1
2020-02-02,0.0,0.0,1
2020-02-03,39.0,39.0,1
2020-02-04,43.0,43.0,1
2020-02-05,21.0,21.0,1
2020-02-06,11.0,11.0,1
2020-02-07,45.0,45.0,1
2020-02-08,12.0,12.0,1
2020-02-09,11.0,11.0,1
2020-02-10,32.0,32.0,1
2020-02-11,11.0,11.0,1
2020-02-12,11.0,11.0,1
2020-02-13,44.0,44.0,1
2020-02-14,0.0,0.0,1
2020-02-15,12.0,12.0,1
2020-02-16,43.0,43.0,1
2020-02-17,42.0,42.0,1
2020-02-18,31.0,31.0,1
2020-02-19,10.0,10.0,1
2020-02-20,11.0,11.0,1
2020-02-21,44.0,44.0,1
2020-02-22,12.0,12.0,1
2020-02-23,22.0,22.0,1
2020-02-24,0.0,0.0,1
2020-02-25,0.0,0.0,1
2020-02-26,37.0,37.0,1
2020-02-27,38.0,38.0,1
2020-02-28,0.0,0.0,1
2020-02-29,10.0,10.0,1
2020-03-01,41.0,41.0,1
2020-03-02,38.0,38.0,1
2020-03-03,10.0,10.0,1
2020-03-04,19.0,19.0,1
2020-03-05,10.0,10.0,1
2020-03-06,10.0,10.0,1
2020-03-07,22.0,22.0,1
2020-03-08,32.0,32.0,1
2020-03-09,38.0,38.0,1
2020-03-10,20.0,20.0,1
2020-03-11,20.0,20.0,1
2020-03-12,19.0,19.0,1
2020-03-13,31.0,31.0,1
2020-03-14,44.0,44.0,1
2020-03-15,27.0,27.0,1
2020-03-16,41.0,41.0,1
2020-03-17,34.0,34.0,1
2020-03-18,82.0,82.0,1
2020-03-19,56.0,56.0,1
2020-03-20,54.0,54.0,1
2020-03-21,0.0,0.0,1
2020-03-22,10.0,10.0,1
2020-03-23,0.0,0.0,1
2020-03-24,17.0,17.0,1
2020-03-25,34.0,34.0,1
2020-03-26,0.0,0.0,1
2020-03-27,33.0,33.0,1
2020-03-28,19.0,19.0,1
2020-03-29,58.0,58.0,1
2020-03-30,33.0,33.0,1
2020-03-31,25.0,25.0,1
2020-04-01,48.0,48.0,1
2020-04-02,51.0,51.0,1
2020-04-03,0.0,0.0,1
2020-04-04,30.0,30.0,1
2020-04-05,10.0,10.0,1
2020-04-06,34.0,34.0,1
2020-04-07,44.0,44.0,1
2020-04-08,0.0,0.0,1
2020-04-09,36.0,36.0,1
2020-04-10,9.0,9.0,1
2020-04-11,19.0,19.0,1
2020-04-12,29.0,29.0,1
2020-04-13,36.0,36.0,1
2020-04-14,9.0,9.0,1
2020-04-15,51.0,51.0,1
2020-04-16,17.0,17.0,1
2020-04-17,43.0,43.0,1
2020-04-18,9.0,9.0,1
2020-04-19,9.0,9.0,1
2020-04-20,31.0,31.0,1
2020-04-21,16.0,16.0,1
2020-04-22,33.0,33.0,1
2020-04-23,42.0,42.0,1
2020-04-24,26.0,26.0,1
2020-04-25,10.0,10.0,1
2020-04-26,39.0,39.0,1
2020-04-27,16.0,16.0,1
2020-04-28,16.0,16.0,1
2020-04-29,25.0,25.0,1
2020-04-30,16.0,16.0,1
2020-05-01,35.0,35.0,1
2020-05-02,18.0,18.0,1
2020-05-03,19.0,19.0,1
2020-05-04,8.0,8.0,1
2020-05-05,30.0,30.0,1
2020-05-06,33.0,33.0,1
2020-05-07,57.0,57.0,1
2020-05-08,27.0,27.0,1
2020-05-09,18.0,18.0,1
2020-05-10,17.0,17.0,1
2020-05-11,31.0,31.0,1
2020-05-12,27.0,27.0,1
2020-05-13,26.0,26.0,1
2020-05-14,26.0,26.0,1
2020-05-15,9.0,9.0,1
2020-05-16,21.0,21.0,1
2020-05-17,21.0,21.0,1
2020-05-18,37.0,37.0,1
2020-05-19,44.0,44.0,1
2020-05-20,38.0,38.0,1
2020-05-21,32.0,32.0,1
2020-05-22,20.0,20.0,1
2020-05-23,21.0,21.0,1
2020-05-24,21.0,21.0,1
2020-05-25,45.0,45.0,1
2020-05-26,28.0,28.0,1
2020-05-27,19.0,19.0,1
2020-05-28,18.0,18.0,1
2020-05-29,28.0,28.0,1
2020-05-30,32.0,32.0,1
2020-05-31,10.0,10.0,1
2020-06-01,9.0,9.0,1
2020-06-02,26.0,26.0,1
2020-06-03,24.0,24.0,1
2020-06-04,16.0,16.0,1
2020-06-05,18.0,18.0,1
2020-06-06,31.0,31.0,1
2020-06-07,60.0,60.0,1
2020-06-08,0.0,0.0,1
2020-06-09,17.0,17.0,1
2020-06-10,18.0,18.0,1
2020-06-11,36.0,36.0,1
2020-06-12,44.0,44.0,1
2020-06-13,0.0,0.0,1
2020-06-14,11.0,11.0,1
2020-06-15,9.0,9.0,1
2020-06-16,26.0,26.0,1
2020-06-17,28.0,28.0,1
2020-06-18,27.0,27.0,1
2020-06-19,18.0,18.0,1
2020-06-20,20.0,20.0,1
2020-06-21,10.0,10.0,1
2020-06-22,43.0,43.0,1
2020-06-23,0.0,0.0,1
2020-06-24,26.0,26.0,1
2020-06-25,18.0,18.0,1
2020-06-26,9.0,9.0,1
2020-06-27,10.0,10.0,1
2020-06-28,17.0,17.0,1
2020-06-29,8.0,8.0,1
2020-06-30,17.0,17.0,1
2020-07-01,42.0,42.0,1
2020-07-02,67.0,67.0,1
2020-07-03,27.0,27.0,1
2020-07-04,10.0,10.0,1
2020-07-05,20.0,20.0,1
2020-07-06,25.0,25.0,1
2020-07-07,17.0,17.0,1
2020-07-08,9.0,9.0,1
2020-07-09,18.0,18.0,1
2020-07-10,26.0,26.0,1
2020-07-11,19.0,19.0,1
2020-07-12,9.0,9.0,1
2020-07-13,17.0,17.0,1
2020-07-14,9.0,9.0,1
2020-07-15,32.0,32.0,1
2020-07-16,17.0,17.0,1
2020-07-17,17.0,17.0,1
2020-07-18,19.0,19.0,1
2020-07-19,9.0,9.0,1
2020-07-20,40.0,40.0,1
2020-07-21,57.0,57.0,1
2020-07-22,8.0,8.0,1
2020-07-23,24.0,24.0,1
2020-07-24,25.0,25.0,1
2020-07-25,9.0,9.0,1
2020-07-26,18.0,18.0,1
2020-07-27,33.0,33.0,1
2020-07-28,8.0,8.0,1
2020-07-29,8.0,8.0,1
2020-07-30,42.0,42.0,1
2020-07-31,17.0,17.0,1
2020-08-01,9.0,9.0,1
2020-08-02,51.0,51.0,1
2020-08-03,37.0,37.0,1
2020-08-04,37.0,37.0,1
2020-08-05,8.0,8.0,1
2020-08-06,8.0,8.0,1
2020-08-07,8.0,8.0,1
2020-08-08,26.0,26.0,1
2020-08-09,17.0,17.0,1
2020-08-10,0.0,0.0,1
2020-08-11,22.0,22.0,1
2020-08-12,36.0,36.0,1
2020-08-13,30.0,30.0,1
2020-08-14,8.0,8.0,1
2020-08-15,8.0,8.0,1
2020-08-16,16.0,16.0,1
2020-08-17,22.0,22.0,1
2020-08-18,30.0,30.0,1
2020-08-19,15.0,15.0,1
2020-08-20,62.0,62.0,1
2020-08-21,39.0,39.0,1
2020-08-22,9.0,9.0,1
2020-08-23,17.0,17.0,1
2020-08-24,39.0,39.0,1
2020-08-25,8.0,8.0,1
2020-08-26,24.0,24.0,1
2020-08-27,32.0,32.0,1
2020-08-28,39.0,39.0,1
2020-08-29,26.0,26.0,1
2020-08-30,62.0,62.0,1
2020-08-31,25.0,25.0,1
2020-09-01,51.0,51.0,1
2020-09-02,59.0,59.0,1
2020-09-03,17.0,17.0,1
2020-09-04,43.0,43.0,1
2020-09-05,18.0,18.0,1
2020-09-06,9.0,9.0,1
2020-09-07,25.0,25.0,1
2020-09-08,38.0,38.0,1
2020-09-09,27.0,27.0,1
2020-09-10,28.0,28.0,1
2020-09-11,29.0,29.0,1
2020-09-12,54.0,54.0,1
2020-09-13,20.0,20.0,1
2020-09-14,19.0,19.0,1
2020-09-15,39.0,39.0,1
2020-09-16,10.0,10.0,1
2020-09-17,29.0,29.0,1
2020-09-18,39.0,39.0,1
2020-09-19,19.0,19.0,1
2020-09-20,40.0,40.0,1
2020-09-21,66.0,66.0,1
2020-09-22,37.0,37.0,1
2020-09-23,38.0,38.0,1
2020-09-24,10.0,10.0,1
2020-09-25,31.0,31.0,1
2020-09-26,22.0,22.0,1
2020-09-27,21.0,21.0,1
2020-09-28,61.0,61.0,1
2020-09-29,53.0,53.0,1
2020-09-30,40.0,40.0,1
2020-10-01,20.0,20.0,1
2020-10-02,61.0,61.0,1
2020-10-03,29.0,29.0,1
2020-10-04,0.0,0.0,1
2020-10-05,25.0,25.0,1
2020-10-06,25.0,25.0,1
2020-10-07,42.0,42.0,1
2020-10-08,46.0,46.0,1
2020-10-09,68.0,68.0,1
2020-10-10,21.0,21.0,1
2020-10-11,39.0,39.0,1
2020-10-12,83.0,83.0,1
2020-10-13,100.0,100.0,1
2020-10-14,81.0,81.0,1
2020-10-15,76.0,76.0,1
2020-10-16,39.0,39.0,1
2020-10-17,11.0,11.0,1
2020-10-18,43.0,43.0,1
2020-10-19,56.0,56.0,1
2020-10-20,63.0,63.0,1
2020-10-21,26.0,26.0,1
2020-10-22,97.0,97.0,1
2020-10-23,29.0,29.0,1
2020-10-24,45.0,45.0,1
2020-10-25,30.0,30.0,1
2020-10-26,75.0,75.0,1
2020-10-27,48.0,48.0,1
2020-09-28,4.0,4.0,2
2020-09-29,5.0,5.0,2
2020-09-30,4.0,4.0,2
2020-10-01,1.0,1.0,2
2020-10-02,3.0,3.0,2
2020-10-03,4.0,4.0,2
2020-10-04,0.0,0.0,2
2020-10-05,2.0,2.0,2
2020-10-06,4.0,4.0,2
2020-10-07,9.0,9.0,2
2020-10-08,5.0,5.0,2
2020-10-09,5.0,5.0,2
2020-10-10,1.0,1.0,2
2020-10-11,4.0,4.0,2
2020-10-12,9.0,9.0,2
2020-10-13,11.0,11.0,2
2020-10-14,11.0,11.0,2
2020-10-15,14.0,14.0,2
2020-10-16,8.0,8.0,2
2020-10-17,13.0,13.0,2
2020-10-18,3.0,3.0,2
2020-10-19,6.0,6.0,2
2020-10-20,6.0,6.0,2
2020-10-21,10.0,10.0,2
2020-10-22,7.0,7.0,2
2020-10-23,8.0,8.0,2
2020-10-24,6.0,6.0,2
2020-10-25,1.0,1.0,2
2020-10-26,11.0,11.0,2
2020-10-27,7.0,7.0,2
2020-10-28,4.0,4.0,2
2020-10-29,4.0,4.0,2
2020-10-30,2.0,2.0,2
2020-10-31,8.0,8.0,2
2020-11-01,2.0,2.0,2
2020-11-02,5.0,5.0,2
2020-11-03,8.0,8.0,2
2020-11-04,4.0,4.0,2
2020-11-05,8.0,8.0,2
2020-11-06,3.0,3.0,2
2020-11-07,2.0,2.0,2
2020-11-08,6.0,6.0,2
2020-11-09,14.0,14.0,2
2020-11-10,13.0,13.0,2
2020-11-11,7.0,7.0,2
2020-11-12,6.0,6.0,2
2020-11-13,7.0,7.0,2
2020-11-14,10.0,10.0,2
2020-11-15,5.0,5.0,2
2020-11-16,11.0,11.0,2
2020-11-17,11.0,11.0,2
2020-11-18,6.0,6.0,2
2020-11-19,6.0,6.0,2
2020-11-20,9.0,9.0,2
2020-11-21,4.0,4.0,2
2020-11-22,9.0,9.0,2
2020-11-23,6.0,6.0,2
2020-11-24,12.0,12.0,2
2020-11-25,5.0,5.0,2
2020-11-26,8.0,8.0,2
2020-11-27,2.0,2.0,2
2020-11-28,8.0,8.0,2
2020-11-29,2.0,2.0,2
2020-11-30,8.0,8.0,2
2020-12-01,11.0,11.0,2
2020-12-02,11.0,11.0,2
2020-12-03,12.0,12.0,2
2020-12-04,11.0,11.0,2
2020-12-05,4.0,4.0,2
2020-12-06,10.0,10.0,2
2020-12-07,3.0,3.0,2
2020-12-08,10.0,10.0,2
2020-12-09,3.0,3.0,2
2020-12-10,14.0,14.0,2
2020-12-11,6.0,6.0,2
2020-12-12,7.0,7.0,2
2020-12-13,10.0,10.0,2
2020-12-14,9.0,9.0,2
2020-12-15,9.0,9.0,2
2020-12-16,12.0,12.0,2
2020-12-17,6.0,6.0,2
2020-12-18,5.0,5.0,2
2020-12-19,7.0,7.0,2
2020-12-20,7.0,7.0,2
2020-12-21,4.0,4.0,2
2020-12-22,8.0,8.0,2
2020-12-23,8.0,8.0,2
2020-12-24,11.0,11.0,2
2020-12-25,2.0,2.0,2
2020-12-26,6.0,6.0,2
2020-12-27,14.0,14.0,2
2020-12-28,9.0,9.0,2
2020-12-29,18.0,18.0,2
2020-12-30,13.0,13.0,2
2020-12-31,19.0,19.0,2
2021-01-01,12.0,12.0,2
2021-01-02,15.0,15.0,2
2021-01-03,16.0,16.0,2
2021-01-04,24.0,24.0,2
2021-01-05,30.0,30.0,2
2021-01-06,23.0,23.0,2
2021-01-07,27.0,27.0,2
2021-01-08,30.0,30.0,2
2021-01-09,28.0,28.0,2
2021-01-10,22.0,22.0,2
2021-01-11,34.0,34.0,2
2021-01-12,35.0,35.0,2
2021-01-13,42.0,42.0,2
2021-01-14,90.0,90.0,2
2021-01-15,100.0,100.0,2
2021-01-16,42.0,42.0,2
2021-01-17,34.0,34.0,2
2021-01-18,63.0,63.0,2
2021-01-19,51.0,51.0,2
2021-01-20,29.0,29.0,2
2021-01-21,49.0,49.0,2
2021-01-22,47.0,47.0,2
2021-01-23,25.0,25.0,2
2021-01-24,16.0,16.0,2
2021-01-25,42.0,42.0,2
2021-01-26,37.0,37.0,2
2021-01-27,36.0,36.0,2
2021-01-28,39.0,39.0,2
2021-01-29,30.0,30.0,2
2021-01-30,38.0,38.0,2
2021-01-31,30.0,30.0,2
2021-02-01,24.0,24.0,2
2021-02-02,35.0,35.0,2
2021-02-03,20.0,20.0,2
2021-02-04,36.0,36.0,2
2021-02-05,33.0,33.0,2
2021-02-06,24.0,24.0,2
2021-02-07,30.0,30.0,2
2021-02-08,27.0,27.0,2
2021-02-09,23.0,23.0,2
2021-02-10,29.0,29.0,2
2021-02-11,27.0,27.0,2
2021-02-12,26.0,26.0,2
2021-02-13,20.0,20.0,2
2021-02-14,28.0,28.0,2
2021-02-15,33.0,33.0,2
2021-02-16,29.0,29.0,2
2021-02-17,22.0,22.0,2
2021-02-18,23.0,23.0,2
2021-02-19,30.0,30.0,2
2021-02-20,21.0,21.0,2
2021-02-21,16.0,16.0,2
2021-02-22,28.0,28.0,2
2021-02-23,31.0,31.0,2
2021-02-24,23.0,23.0,2
2021-02-25,38.0,38.0,2
2021-02-26,37.0,37.0,2
2021-02-27,17.0,17.0,2
2021-02-28,19.0,19.0,2
2021-03-01,27.0,27.0,2
2021-03-02,25.0,25.0,2
2021-03-03,30.0,30.0,2
2021-03-04,43.0,43.0,2
2021-03-05,54.0,54.0,2
2021-03-06,46.0,46.0,2
2021-03-07,45.0,45.0,2
2021-03-08,49.0,49.0,2
2021-03-09,29.0,29.0,2
2021-03-10,46.0,46.0,2
2021-03-11,51.0,51.0,2
2021-03-12,25.0,25.0,2
2021-03-13,16.0,16.0,2
2021-03-14,33.0,33.0,2
2021-03-15,55.0,55.0,2
2021-03-16,46.0,46.0,2
2021-03-17,47.0,47.0,2
2021-03-18,46.0,46.0,2
2021-03-19,52.0,52.0,2
2021-03-20,40.0,40.0,2
2021-03-21,52.0,52.0,2
2021-03-22,42.0,42.0,2
2021-03-23,63.0,63.0,2
2021-03-24,67.0,67.0,2
2021-03-25,72.0,72.0,2
2021-03-26,75.0,75.0,2
2021-03-27,50.0,50.0,2
2021-03-28,49.0,49.0,2
2021-03-29,59.0,59.0,2
2021-03-30,64.0,64.0,2
2021-03-31,59.0,59.0,2
2021-04-01,68.0,68.0,2
2021-04-02,76.0,76.0,2
2021-04-03,45.0,45.0,2
2021-04-04,51.0,51.0,2
2021-04-05,58.0,58.0,2
2021-04-06,57.0,57.0,2
2021-04-07,65.0,65.0,2
2021-04-08,61.0,61.0,2
2021-04-09,73.0,73.0,2
2021-04-10,47.0,47.0,2
2021-04-11,88.0,88.0,2
2021-04-12,98.0,98.0,2
2021-04-13,88.0,88.0,2
2021-04-14,98.0,98.0,2
2021-04-15,86.0,86.0,2
2021-04-16,67.0,67.0,2
2021-04-17,67.0,67.0,2
2021-04-18,41.0,41.0,2
2021-04-19,79.0,79.0,2
2021-04-20,61.0,61.0,2
2021-04-21,75.0,75.0,2
2021-04-22,71.0,71.0,2
2021-04-23,49.0,49.0,2
2021-04-24,47.0,47.0,2
2021-04-25,40.0,40.0,2
2021-04-26,37.0,37.0,2
2021-04-27,50.0,50.0,2
2021-04-28,54.0,54.0,2
2021-04-29,73.0,73.0,2
2021-04-30,76.0,76.0,2
2021-05-01,54.0,54.0,2
2021-05-02,36.0,36.0,2
2021-05-03,65.0,65.0,2
2021-05-04,45.0,45.0,2
2021-05-05,43.0,43.0,2
2021-05-06,76.0,76.0,2
2021-05-07,66.0,66.0,2
2021-05-08,46.0,46.0,2
2021-05-09,65.0,65.0,2
2021-05-10,62.0,62.0,2
2021-05-11,87.0,87.0,2
2021-05-12,74.0,74.0,2
2021-05-13,73.0,73.0,2
2021-05-14,75.0,75.0,2
2021-05-15,52.0,52.0,2
2021-05-16,47.0,47.0,2
2021-05-17,98.0,98.0,2
2021-05-18,56.0,56.0,2
2021-05-19,76.0,76.0,2
2021-05-20,59.0,59.0,2
2021-05-21,55.0,55.0,2
2021-05-22,37.0,37.0,2
2021-05-23,35.0,35.0,2
2021-05-24,57.0,57.0,2
2021-05-25,52.0,52.0,2
2021-05-26,58.0,58.0,2
2021-05-27,67.0,67.0,2
2021-05-28,63.0,63.0,2
2021-05-29,52.0,52.0,2
