date,/m/0g9pc_0,/m/0g9pc,batch_id
2020-02-01,16.0,16.0,1
2020-02-02,18.0,18.0,1
2020-02-03,13.0,13.0,1
2020-02-04,14.0,14.0,1
2020-02-05,12.0,12.0,1
2020-02-06,11.0,11.0,1
2020-02-07,12.0,12.0,1
2020-02-08,14.0,14.0,1
2020-02-09,11.0,11.0,1
2020-02-10,12.0,12.0,1
2020-02-11,11.0,11.0,1
2020-02-12,11.0,11.0,1
2020-02-13,9.0,9.0,1
2020-02-14,8.0,8.0,1
2020-02-15,9.0,9.0,1
2020-02-16,8.0,8.0,1
2020-02-17,8.0,8.0,1
2020-02-18,10.0,10.0,1
2020-02-19,9.0,9.0,1
2020-02-20,7.0,7.0,1
2020-02-21,7.0,7.0,1
2020-02-22,10.0,10.0,1
2020-02-23,19.0,19.0,1
2020-02-24,27.0,27.0,1
2020-02-25,31.0,31.0,1
2020-02-26,35.0,35.0,1
2020-02-27,37.0,37.0,1
2020-02-28,50.0,50.0,1
2020-02-29,43.0,43.0,1
2020-03-01,43.0,43.0,1
2020-03-02,53.0,53.0,1
2020-03-03,46.0,46.0,1
2020-03-04,40.0,40.0,1
2020-03-05,45.0,45.0,1
2020-03-06,46.0,46.0,1
2020-03-07,42.0,42.0,1
2020-03-08,43.0,43.0,1
2020-03-09,48.0,48.0,1
2020-03-10,48.0,48.0,1
2020-03-11,45.0,45.0,1
2020-03-12,80.0,80.0,1
2020-03-13,90.0,90.0,1
2020-03-14,97.0,97.0,1
2020-03-15,100.0,100.0,1
2020-03-16,95.0,95.0,1
2020-03-17,81.0,81.0,1
2020-03-18,78.0,78.0,1
2020-03-19,68.0,68.0,1
2020-03-20,61.0,61.0,1
2020-03-21,67.0,67.0,1
2020-03-22,62.0,62.0,1
2020-03-23,47.0,47.0,1
2020-03-24,55.0,55.0,1
2020-03-25,48.0,48.0,1
2020-03-26,45.0,45.0,1
2020-03-27,42.0,42.0,1
2020-03-28,41.0,41.0,1
2020-03-29,39.0,39.0,1
2020-03-30,28.0,28.0,1
2020-03-31,29.0,29.0,1
2020-04-01,25.0,25.0,1
2020-04-02,25.0,25.0,1
2020-04-03,26.0,26.0,1
2020-04-04,27.0,27.0,1
2020-04-05,23.0,23.0,1
2020-04-06,23.0,23.0,1
2020-04-07,23.0,23.0,1
2020-04-08,19.0,19.0,1
2020-04-09,20.0,20.0,1
2020-04-10,17.0,17.0,1
2020-04-11,19.0,19.0,1
2020-04-12,18.0,18.0,1
2020-04-13,19.0,19.0,1
2020-04-14,16.0,16.0,1
2020-04-15,16.0,16.0,1
2020-04-16,18.0,18.0,1
2020-04-17,19.0,19.0,1
2020-04-18,17.0,17.0,1
2020-04-19,17.0,17.0,1
2020-04-20,14.0,14.0,1
2020-04-21,13.0,13.0,1
2020-04-22,13.0,13.0,1
2020-04-23,13.0,13.0,1
2020-04-24,13.0,13.0,1
2020-04-25,13.0,13.0,1
2020-04-26,13.0,13.0,1
2020-04-27,11.0,11.0,1
2020-04-28,14.0,14.0,1
2020-04-29,15.0,15.0,1
2020-04-30,17.0,17.0,1
2020-05-01,15.0,15.0,1
2020-05-02,14.0,14.0,1
2020-05-03,13.0,13.0,1
2020-05-04,11.0,11.0,1
2020-05-05,11.0,11.0,1
2020-05-06,10.0,10.0,1
2020-05-07,10.0,10.0,1
2020-05-08,9.0,9.0,1
2020-05-09,10.0,10.0,1
2020-05-10,12.0,12.0,1
2020-05-11,9.0,9.0,1
2020-05-12,10.0,10.0,1
2020-05-13,10.0,10.0,1
2020-05-14,10.0,10.0,1
2020-05-15,10.0,10.0,1
2020-05-16,9.0,9.0,1
2020-05-17,9.0,9.0,1
2020-05-18,9.0,9.0,1
2020-05-19,8.0,8.0,1
2020-05-20,7.0,7.0,1
2020-05-21,7.0,7.0,1
2020-05-22,7.0,7.0,1
2020-05-23,5.0,5.0,1
2020-05-24,5.0,5.0,1
2020-05-25,6.0,6.0,1
2020-05-26,6.0,6.0,1
2020-05-27,5.0,5.0,1
2020-05-28,6.0,6.0,1
2020-05-29,5.0,5.0,1
2020-05-30,5.0,5.0,1
2020-05-31,4.0,4.0,1
2020-06-01,5.0,5.0,1
2020-06-02,5.0,5.0,1
2020-06-03,4.0,4.0,1
2020-06-04,5.0,5.0,1
2020-06-05,5.0,5.0,1
2020-06-06,5.0,5.0,1
2020-06-07,5.0,5.0,1
2020-06-08,4.0,4.0,1
2020-06-09,3.0,3.0,1
2020-06-10,4.0,4.0,1
2020-06-11,4.0,4.0,1
2020-06-12,3.0,3.0,1
2020-06-13,4.0,4.0,1
2020-06-14,5.0,5.0,1
2020-06-15,5.0,5.0,1
2020-06-16,6.0,6.0,1
2020-06-17,5.0,5.0,1
2020-06-18,5.0,5.0,1
2020-06-19,4.0,4.0,1
2020-06-20,4.0,4.0,1
2020-06-21,4.0,4.0,1
2020-06-22,5.0,5.0,1
2020-06-23,4.0,4.0,1
2020-06-24,5.0,5.0,1
2020-06-25,3.0,3.0,1
2020-06-26,4.0,4.0,1
2020-06-27,4.0,4.0,1
2020-06-28,4.0,4.0,1
2020-06-29,4.0,4.0,1
2020-06-30,6.0,6.0,1
2020-07-01,5.0,5.0,1
2020-07-02,5.0,5.0,1
2020-07-03,4.0,4.0,1
2020-07-04,4.0,4.0,1
2020-07-05,4.0,4.0,1
2020-07-06,3.0,3.0,1
2020-07-07,3.0,3.0,1
2020-07-08,4.0,4.0,1
2020-07-09,5.0,5.0,1
2020-07-10,4.0,4.0,1
2020-07-11,4.0,4.0,1
2020-07-12,4.0,4.0,1
2020-07-13,4.0,4.0,1
2020-07-14,3.0,3.0,1
2020-07-15,4.0,4.0,1
2020-07-16,5.0,5.0,1
2020-07-17,7.0,7.0,1
2020-07-18,6.0,6.0,1
2020-07-19,4.0,4.0,1
2020-07-20,5.0,5.0,1
2020-07-21,4.0,4.0,1
2020-07-22,4.0,4.0,1
2020-07-23,4.0,4.0,1
2020-07-24,5.0,5.0,1
2020-07-25,5.0,5.0,1
2020-07-26,4.0,4.0,1
2020-07-27,4.0,4.0,1
2020-07-28,5.0,5.0,1
2020-07-29,4.0,4.0,1
2020-07-30,4.0,4.0,1
2020-07-31,4.0,4.0,1
2020-08-01,3.0,3.0,1
2020-08-02,3.0,3.0,1
2020-08-03,4.0,4.0,1
2020-08-04,2.0,2.0,1
2020-08-05,3.0,3.0,1
2020-08-06,3.0,3.0,1
2020-08-07,4.0,4.0,1
2020-08-08,3.0,3.0,1
2020-08-09,4.0,4.0,1
2020-08-10,3.0,3.0,1
2020-08-11,3.0,3.0,1
2020-08-12,3.0,3.0,1
2020-08-13,3.0,3.0,1
2020-08-14,5.0,5.0,1
2020-08-15,4.0,4.0,1
2020-08-16,4.0,4.0,1
2020-08-17,3.0,3.0,1
2020-08-18,4.0,4.0,1
2020-08-19,4.0,4.0,1
2020-08-20,5.0,5.0,1
2020-08-21,5.0,5.0,1
2020-08-22,4.0,4.0,1
2020-08-23,4.0,4.0,1
2020-08-24,4.0,4.0,1
2020-08-25,4.0,4.0,1
2020-08-26,4.0,4.0,1
2020-08-27,4.0,4.0,1
2020-08-28,4.0,4.0,1
2020-08-29,3.0,3.0,1
2020-08-30,4.0,4.0,1
2020-08-31,4.0,4.0,1
2020-09-01,4.0,4.0,1
2020-09-02,4.0,4.0,1
2020-09-03,3.0,3.0,1
2020-09-04,4.0,4.0,1
2020-09-05,3.0,3.0,1
2020-09-06,3.0,3.0,1
2020-09-07,3.0,3.0,1
2020-09-08,4.0,4.0,1
2020-09-09,3.0,3.0,1
2020-09-10,4.0,4.0,1
2020-09-11,5.0,5.0,1
2020-09-12,4.0,4.0,1
2020-09-13,4.0,4.0,1
2020-09-14,4.0,4.0,1
2020-09-15,4.0,4.0,1
2020-09-16,3.0,3.0,1
2020-09-17,4.0,4.0,1
2020-09-18,4.0,4.0,1
2020-09-19,5.0,5.0,1
2020-09-20,5.0,5.0,1
2020-09-21,3.0,3.0,1
2020-09-22,4.0,4.0,1
2020-09-23,5.0,5.0,1
2020-09-24,5.0,5.0,1
2020-09-25,4.0,4.0,1
2020-09-26,4.0,4.0,1
2020-09-27,3.0,3.0,1
2020-09-28,3.0,3.0,1
2020-09-29,3.0,3.0,1
2020-09-30,3.0,3.0,1
2020-10-01,3.0,3.0,1
2020-10-02,4.0,4.0,1
2020-10-03,3.0,3.0,1
2020-10-04,3.0,3.0,1
2020-10-05,3.0,3.0,1
2020-10-06,3.0,3.0,1
2020-10-07,4.0,4.0,1
2020-10-08,5.0,5.0,1
2020-10-09,3.0,3.0,1
2020-10-10,4.0,4.0,1
2020-10-11,3.0,3.0,1
2020-10-12,3.0,3.0,1
2020-10-13,4.0,4.0,1
2020-10-14,5.0,5.0,1
2020-10-15,5.0,5.0,1
2020-10-16,3.0,3.0,1
2020-10-17,2.0,2.0,1
2020-10-18,4.0,4.0,1
2020-10-19,3.0,3.0,1
2020-10-20,3.0,3.0,1
2020-10-21,4.0,4.0,1
2020-10-22,5.0,5.0,1
2020-10-23,5.0,5.0,1
2020-10-24,6.0,6.0,1
2020-10-25,4.0,4.0,1
2020-10-26,5.0,5.0,1
2020-10-27,6.0,6.0,1
2020-09-28,37.0,37.0,2
2020-09-29,32.0,32.0,2
2020-09-30,31.0,31.0,2
2020-10-01,35.0,35.0,2
2020-10-02,38.0,38.0,2
2020-10-03,35.0,35.0,2
2020-10-04,29.0,29.0,2
2020-10-05,32.0,32.0,2
2020-10-06,27.0,27.0,2
2020-10-07,33.0,33.0,2
2020-10-08,36.0,36.0,2
2020-10-09,32.0,32.0,2
2020-10-10,41.0,41.0,2
2020-10-11,28.0,28.0,2
2020-10-12,35.0,35.0,2
2020-10-13,36.0,36.0,2
2020-10-14,39.0,39.0,2
2020-10-15,41.0,41.0,2
2020-10-16,38.0,38.0,2
2020-10-17,30.0,30.0,2
2020-10-18,31.0,31.0,2
2020-10-19,28.0,28.0,2
2020-10-20,29.0,29.0,2
2020-10-21,39.0,39.0,2
2020-10-22,54.0,54.0,2
2020-10-23,42.0,42.0,2
2020-10-24,52.0,52.0,2
2020-10-25,53.0,53.0,2
2020-10-26,46.0,46.0,2
2020-10-27,59.0,59.0,2
2020-10-28,62.0,62.0,2
2020-10-29,45.0,45.0,2
2020-10-30,48.0,48.0,2
2020-10-31,41.0,41.0,2
2020-11-01,36.0,36.0,2
2020-11-02,39.0,39.0,2
2020-11-03,45.0,45.0,2
2020-11-04,40.0,40.0,2
2020-11-05,46.0,46.0,2
2020-11-06,37.0,37.0,2
2020-11-07,39.0,39.0,2
2020-11-08,41.0,41.0,2
2020-11-09,44.0,44.0,2
2020-11-10,46.0,46.0,2
2020-11-11,37.0,37.0,2
2020-11-12,43.0,43.0,2
2020-11-13,44.0,44.0,2
2020-11-14,38.0,38.0,2
2020-11-15,39.0,39.0,2
2020-11-16,32.0,32.0,2
2020-11-17,32.0,32.0,2
2020-11-18,29.0,29.0,2
2020-11-19,26.0,26.0,2
2020-11-20,27.0,27.0,2
2020-11-21,30.0,30.0,2
2020-11-22,32.0,32.0,2
2020-11-23,37.0,37.0,2
2020-11-24,43.0,43.0,2
2020-11-25,38.0,38.0,2
2020-11-26,35.0,35.0,2
2020-11-27,26.0,26.0,2
2020-11-28,26.0,26.0,2
2020-11-29,29.0,29.0,2
2020-11-30,29.0,29.0,2
2020-12-01,15.0,15.0,2
2020-12-02,31.0,31.0,2
2020-12-03,25.0,25.0,2
2020-12-04,25.0,25.0,2
2020-12-05,25.0,25.0,2
2020-12-06,21.0,21.0,2
2020-12-07,32.0,32.0,2
2020-12-08,28.0,28.0,2
2020-12-09,30.0,30.0,2
2020-12-10,38.0,38.0,2
2020-12-11,33.0,33.0,2
2020-12-12,18.0,18.0,2
2020-12-13,31.0,31.0,2
2020-12-14,29.0,29.0,2
2020-12-15,43.0,43.0,2
2020-12-16,33.0,33.0,2
2020-12-17,32.0,32.0,2
2020-12-18,29.0,29.0,2
2020-12-19,33.0,33.0,2
2020-12-20,94.0,94.0,2
2020-12-21,100.0,100.0,2
2020-12-22,53.0,53.0,2
2020-12-23,38.0,38.0,2
2020-12-24,38.0,38.0,2
2020-12-25,38.0,38.0,2
2020-12-26,68.0,68.0,2
2020-12-27,41.0,41.0,2
2020-12-28,35.0,35.0,2
2020-12-29,32.0,32.0,2
2020-12-30,35.0,35.0,2
2020-12-31,31.0,31.0,2
2021-01-01,37.0,37.0,2
2021-01-02,34.0,34.0,2
2021-01-03,43.0,43.0,2
2021-01-04,41.0,41.0,2
2021-01-05,45.0,45.0,2
2021-01-06,46.0,46.0,2
2021-01-07,39.0,39.0,2
2021-01-08,30.0,30.0,2
2021-01-09,41.0,41.0,2
2021-01-10,43.0,43.0,2
2021-01-11,46.0,46.0,2
2021-01-12,47.0,47.0,2
2021-01-13,51.0,51.0,2
2021-01-14,42.0,42.0,2
2021-01-15,44.0,44.0,2
2021-01-16,36.0,36.0,2
2021-01-17,40.0,40.0,2
2021-01-18,42.0,42.0,2
2021-01-19,41.0,41.0,2
2021-01-20,27.0,27.0,2
2021-01-21,43.0,43.0,2
2021-01-22,36.0,36.0,2
2021-01-23,39.0,39.0,2
2021-01-24,47.0,47.0,2
2021-01-25,44.0,44.0,2
2021-01-26,38.0,38.0,2
2021-01-27,38.0,38.0,2
2021-01-28,35.0,35.0,2
2021-01-29,43.0,43.0,2
2021-01-30,42.0,42.0,2
2021-01-31,35.0,35.0,2
2021-02-01,39.0,39.0,2
2021-02-02,33.0,33.0,2
2021-02-03,32.0,32.0,2
2021-02-04,30.0,30.0,2
2021-02-05,31.0,31.0,2
2021-02-06,33.0,33.0,2
2021-02-07,22.0,22.0,2
2021-02-08,44.0,44.0,2
2021-02-09,38.0,38.0,2
2021-02-10,29.0,29.0,2
2021-02-11,25.0,25.0,2
2021-02-12,31.0,31.0,2
2021-02-13,28.0,28.0,2
2021-02-14,40.0,40.0,2
2021-02-15,31.0,31.0,2
2021-02-16,32.0,32.0,2
2021-02-17,32.0,32.0,2
2021-02-18,31.0,31.0,2
2021-02-19,37.0,37.0,2
2021-02-20,36.0,36.0,2
2021-02-21,36.0,36.0,2
2021-02-22,33.0,33.0,2
2021-02-23,35.0,35.0,2
2021-02-24,33.0,33.0,2
2021-02-25,25.0,25.0,2
2021-02-26,29.0,29.0,2
2021-02-27,22.0,22.0,2
2021-02-28,24.0,24.0,2
2021-03-01,32.0,32.0,2
2021-03-02,24.0,24.0,2
2021-03-03,38.0,38.0,2
2021-03-04,31.0,31.0,2
2021-03-05,24.0,24.0,2
2021-03-06,30.0,30.0,2
2021-03-07,29.0,29.0,2
2021-03-08,25.0,25.0,2
2021-03-09,32.0,32.0,2
2021-03-10,27.0,27.0,2
2021-03-11,29.0,29.0,2
2021-03-12,38.0,38.0,2
2021-03-13,31.0,31.0,2
2021-03-14,23.0,23.0,2
2021-03-15,27.0,27.0,2
2021-03-16,33.0,33.0,2
2021-03-17,35.0,35.0,2
2021-03-18,38.0,38.0,2
2021-03-19,23.0,23.0,2
2021-03-20,24.0,24.0,2
2021-03-21,25.0,25.0,2
2021-03-22,32.0,32.0,2
2021-03-23,36.0,36.0,2
2021-03-24,32.0,32.0,2
2021-03-25,42.0,42.0,2
2021-03-26,32.0,32.0,2
2021-03-27,33.0,33.0,2
2021-03-28,37.0,37.0,2
2021-03-29,42.0,42.0,2
2021-03-30,47.0,47.0,2
2021-03-31,32.0,32.0,2
2021-04-01,38.0,38.0,2
2021-04-02,23.0,23.0,2
2021-04-03,28.0,28.0,2
2021-04-04,26.0,26.0,2
2021-04-05,26.0,26.0,2
2021-04-06,18.0,18.0,2
2021-04-07,25.0,25.0,2
2021-04-08,24.0,24.0,2
2021-04-09,26.0,26.0,2
2021-04-10,23.0,23.0,2
2021-04-11,28.0,28.0,2
2021-04-12,27.0,27.0,2
2021-04-13,32.0,32.0,2
2021-04-14,35.0,35.0,2
2021-04-15,34.0,34.0,2
2021-04-16,19.0,19.0,2
2021-04-17,31.0,31.0,2
2021-04-18,34.0,34.0,2
2021-04-19,25.0,25.0,2
2021-04-20,30.0,30.0,2
2021-04-21,27.0,27.0,2
2021-04-22,26.0,26.0,2
2021-04-23,22.0,22.0,2
2021-04-24,24.0,24.0,2
2021-04-25,29.0,29.0,2
2021-04-26,31.0,31.0,2
2021-04-27,24.0,24.0,2
2021-04-28,26.0,26.0,2
2021-04-29,25.0,25.0,2
2021-04-30,28.0,28.0,2
2021-05-01,24.0,24.0,2
2021-05-02,24.0,24.0,2
2021-05-03,22.0,22.0,2
2021-05-04,21.0,21.0,2
2021-05-05,25.0,25.0,2
2021-05-06,22.0,22.0,2
2021-05-07,18.0,18.0,2
2021-05-08,21.0,21.0,2
2021-05-09,16.0,16.0,2
2021-05-10,27.0,27.0,2
2021-05-11,16.0,16.0,2
2021-05-12,22.0,22.0,2
2021-05-13,21.0,21.0,2
2021-05-14,19.0,19.0,2
2021-05-15,26.0,26.0,2
2021-05-16,18.0,18.0,2
2021-05-17,24.0,24.0,2
2021-05-18,23.0,23.0,2
2021-05-19,26.0,26.0,2
2021-05-20,18.0,18.0,2
2021-05-21,22.0,22.0,2
2021-05-22,22.0,22.0,2
2021-05-23,19.0,19.0,2
2021-05-24,19.0,19.0,2
2021-05-25,13.0,13.0,2
2021-05-26,18.0,18.0,2
2021-05-27,25.0,25.0,2
2021-05-28,16.0,16.0,2
2021-05-29,18.0,18.0,2
