date,/m/0lbt3_0,/m/0lbt3,batch_id
2020-02-01,80.0,80.0,1
2020-02-02,50.0,50.0,1
2020-02-03,22.0,22.0,1
2020-02-04,100.0,100.0,1
2020-02-05,74.0,74.0,1
2020-02-06,51.0,51.0,1
2020-02-07,27.0,27.0,1
2020-02-08,27.0,27.0,1
2020-02-09,50.0,50.0,1
2020-02-10,0.0,0.0,1
2020-02-11,48.0,48.0,1
2020-02-12,0.0,0.0,1
2020-02-13,48.0,48.0,1
2020-02-14,0.0,0.0,1
2020-02-15,27.0,27.0,1
2020-02-16,50.0,50.0,1
2020-02-17,0.0,0.0,1
2020-02-18,48.0,48.0,1
2020-02-19,47.0,47.0,1
2020-02-20,0.0,0.0,1
2020-02-21,0.0,0.0,1
2020-02-22,28.0,28.0,1
2020-02-23,0.0,0.0,1
2020-02-24,0.0,0.0,1
2020-02-25,0.0,0.0,1
2020-02-26,0.0,0.0,1
2020-02-27,24.0,24.0,1
2020-02-28,0.0,0.0,1
2020-02-29,0.0,0.0,1
2020-03-01,25.0,25.0,1
2020-03-02,48.0,48.0,1
2020-03-03,0.0,0.0,1
2020-03-04,24.0,24.0,1
2020-03-05,48.0,48.0,1
2020-03-06,72.0,72.0,1
2020-03-07,27.0,27.0,1
2020-03-08,24.0,24.0,1
2020-03-09,23.0,23.0,1
2020-03-10,48.0,48.0,1
2020-03-11,23.0,23.0,1
2020-03-12,0.0,0.0,1
2020-03-13,0.0,0.0,1
2020-03-14,50.0,50.0,1
2020-03-15,69.0,69.0,1
2020-03-16,59.0,59.0,1
2020-03-17,78.0,78.0,1
2020-03-18,86.0,86.0,1
2020-03-19,89.0,89.0,1
2020-03-20,86.0,86.0,1
2020-03-21,24.0,24.0,1
2020-03-22,0.0,0.0,1
2020-03-23,37.0,37.0,1
2020-03-24,40.0,40.0,1
2020-03-25,20.0,20.0,1
2020-03-26,0.0,0.0,1
2020-03-27,19.0,19.0,1
2020-03-28,0.0,0.0,1
2020-03-29,22.0,22.0,1
2020-03-30,19.0,19.0,1
2020-03-31,20.0,20.0,1
2020-04-01,41.0,41.0,1
2020-04-02,0.0,0.0,1
2020-04-03,61.0,61.0,1
2020-04-04,24.0,24.0,1
2020-04-05,24.0,24.0,1
2020-04-06,18.0,18.0,1
2020-04-07,0.0,0.0,1
2020-04-08,20.0,20.0,1
2020-04-09,0.0,0.0,1
2020-04-10,21.0,21.0,1
2020-04-11,69.0,69.0,1
2020-04-12,23.0,23.0,1
2020-04-13,21.0,21.0,1
2020-04-14,0.0,0.0,1
2020-04-15,21.0,21.0,1
2020-04-16,20.0,20.0,1
2020-04-17,0.0,0.0,1
2020-04-18,0.0,0.0,1
2020-04-19,21.0,21.0,1
