date,/m/0405g08_0,/m/0405g08,batch_id
2020-02-01,33.0,33.0,1
2020-02-02,52.0,52.0,1
2020-02-03,26.0,26.0,1
2020-02-04,38.0,38.0,1
2020-02-05,68.0,68.0,1
2020-02-06,60.0,60.0,1
2020-02-07,20.0,20.0,1
2020-02-08,22.0,22.0,1
2020-02-09,49.0,49.0,1
2020-02-10,36.0,36.0,1
2020-02-11,28.0,28.0,1
2020-02-12,28.0,28.0,1
2020-02-13,9.0,9.0,1
2020-02-14,41.0,41.0,1
2020-02-15,87.0,87.0,1
2020-02-16,20.0,20.0,1
2020-02-17,28.0,28.0,1
2020-02-18,9.0,9.0,1
2020-02-19,28.0,28.0,1
2020-02-20,67.0,67.0,1
2020-02-21,51.0,51.0,1
2020-02-22,44.0,44.0,1
2020-02-23,21.0,21.0,1
2020-02-24,57.0,57.0,1
2020-02-25,28.0,28.0,1
2020-02-26,46.0,46.0,1
2020-02-27,73.0,73.0,1
2020-02-28,60.0,60.0,1
2020-02-29,74.0,74.0,1
2020-03-01,20.0,20.0,1
2020-03-02,18.0,18.0,1
2020-03-03,37.0,37.0,1
2020-03-04,55.0,55.0,1
2020-03-05,28.0,28.0,1
2020-03-06,29.0,29.0,1
2020-03-07,77.0,77.0,1
2020-03-08,30.0,30.0,1
2020-03-09,45.0,45.0,1
2020-03-10,27.0,27.0,1
2020-03-11,53.0,53.0,1
2020-03-12,86.0,86.0,1
2020-03-13,19.0,19.0,1
2020-03-14,64.0,64.0,1
2020-03-15,83.0,83.0,1
2020-03-16,79.0,79.0,1
2020-03-17,70.0,70.0,1
2020-03-18,66.0,66.0,1
2020-03-19,91.0,91.0,1
2020-03-20,26.0,26.0,1
2020-03-21,72.0,72.0,1
2020-03-22,61.0,61.0,1
2020-03-23,100.0,100.0,1
2020-03-24,73.0,73.0,1
2020-03-25,65.0,65.0,1
2020-03-26,36.0,36.0,1
2020-03-27,34.0,34.0,1
2020-03-28,100.0,100.0,1
2020-03-29,48.0,48.0,1
2020-03-30,67.0,67.0,1
2020-03-31,26.0,26.0,1
2020-04-01,44.0,44.0,1
2020-04-02,34.0,34.0,1
2020-04-03,35.0,35.0,1
2020-04-04,31.0,31.0,1
2020-04-05,65.0,65.0,1
2020-04-06,43.0,43.0,1
2020-04-07,36.0,36.0,1
2020-04-08,27.0,27.0,1
2020-04-09,92.0,92.0,1
2020-04-10,28.0,28.0,1
2020-04-11,31.0,31.0,1
2020-04-12,40.0,40.0,1
2020-04-13,18.0,18.0,1
2020-04-14,34.0,34.0,1
2020-04-15,18.0,18.0,1
2020-04-16,73.0,73.0,1
2020-04-17,45.0,45.0,1
2020-04-18,45.0,45.0,1
2020-04-19,9.0,9.0,1
2020-04-20,17.0,17.0,1
2020-04-21,17.0,17.0,1
2020-04-22,69.0,69.0,1
2020-04-23,17.0,17.0,1
2020-04-24,34.0,34.0,1
2020-04-25,40.0,40.0,1
2020-04-26,60.0,60.0,1
2020-04-27,9.0,9.0,1
2020-04-28,32.0,32.0,1
2020-04-29,8.0,8.0,1
2020-04-30,55.0,55.0,1
2020-05-01,17.0,17.0,1
2020-05-02,27.0,27.0,1
2020-05-03,58.0,58.0,1
2020-05-04,24.0,24.0,1
2020-05-05,40.0,40.0,1
2020-05-06,17.0,17.0,1
2020-05-07,35.0,35.0,1
2020-05-08,18.0,18.0,1
2020-05-09,41.0,41.0,1
2020-05-10,57.0,57.0,1
2020-05-11,40.0,40.0,1
2020-05-12,16.0,16.0,1
2020-05-13,33.0,33.0,1
2020-05-14,17.0,17.0,1
2020-05-15,27.0,27.0,1
2020-05-16,10.0,10.0,1
2020-05-17,62.0,62.0,1
2020-05-18,69.0,69.0,1
2020-05-19,43.0,43.0,1
2020-05-20,53.0,53.0,1
2020-05-21,30.0,30.0,1
2020-05-22,35.0,35.0,1
2020-05-23,47.0,47.0,1
2020-05-24,65.0,65.0,1
2020-05-25,8.0,8.0,1
2020-05-26,26.0,26.0,1
2020-05-27,43.0,43.0,1
2020-05-28,43.0,43.0,1
2020-05-29,9.0,9.0,1
2020-05-30,52.0,52.0,1
2020-05-31,61.0,61.0,1
2020-06-01,19.0,19.0,1
2020-06-02,50.0,50.0,1
2020-06-03,23.0,23.0,1
2020-06-04,37.0,37.0,1
2020-06-05,15.0,15.0,1
2020-06-06,9.0,9.0,1
2020-06-07,27.0,27.0,1
2020-06-08,37.0,37.0,1
2020-06-09,39.0,39.0,1
2020-06-10,25.0,25.0,1
2020-06-11,41.0,41.0,1
2020-06-12,17.0,17.0,1
2020-06-13,10.0,10.0,1
2020-06-14,49.0,49.0,1
2020-06-15,24.0,24.0,1
2020-06-16,31.0,31.0,1
2020-06-17,16.0,16.0,1
2020-06-18,33.0,33.0,1
2020-06-19,9.0,9.0,1
2020-06-20,10.0,10.0,1
2020-06-21,19.0,19.0,1
2020-06-22,17.0,17.0,1
2020-06-23,27.0,27.0,1
2020-06-24,9.0,9.0,1
2020-06-25,55.0,55.0,1
2020-06-26,54.0,54.0,1
2020-06-27,69.0,69.0,1
2020-06-28,48.0,48.0,1
2020-06-29,17.0,17.0,1
2020-06-30,26.0,26.0,1
2020-07-01,8.0,8.0,1
2020-07-02,18.0,18.0,1
2020-07-03,75.0,75.0,1
2020-07-04,30.0,30.0,1
2020-07-05,29.0,29.0,1
2020-07-06,9.0,9.0,1
2020-07-07,74.0,74.0,1
2020-07-08,27.0,27.0,1
2020-07-09,56.0,56.0,1
2020-07-10,20.0,20.0,1
2020-07-11,57.0,57.0,1
2020-07-12,34.0,34.0,1
2020-07-13,19.0,19.0,1
2020-07-14,18.0,18.0,1
2020-07-15,0.0,0.0,1
2020-07-16,19.0,19.0,1
2020-07-17,42.0,42.0,1
2020-07-18,0.0,0.0,1
2020-07-19,35.0,35.0,1
2020-07-20,41.0,41.0,1
2020-07-21,57.0,57.0,1
2020-07-22,30.0,30.0,1
2020-07-23,31.0,31.0,1
2020-07-24,10.0,10.0,1
2020-07-25,11.0,11.0,1
2020-07-26,11.0,11.0,1
2020-07-27,28.0,28.0,1
2020-07-28,39.0,39.0,1
2020-07-29,40.0,40.0,1
2020-07-30,51.0,51.0,1
2020-07-31,31.0,31.0,1
2020-08-01,11.0,11.0,1
2020-08-02,21.0,21.0,1
2020-08-03,36.0,36.0,1
2020-08-04,19.0,19.0,1
2020-08-05,19.0,19.0,1
2020-08-06,48.0,48.0,1
2020-08-07,0.0,0.0,1
2020-08-08,11.0,11.0,1
2020-08-09,62.0,62.0,1
2020-08-10,27.0,27.0,1
2020-08-11,81.0,81.0,1
2020-08-12,45.0,45.0,1
2020-08-13,9.0,9.0,1
2020-08-14,18.0,18.0,1
2020-08-15,10.0,10.0,1
2020-08-16,59.0,59.0,1
2020-08-17,35.0,35.0,1
2020-08-18,45.0,45.0,1
2020-08-19,46.0,46.0,1
