date,/m/05w_j_0,/m/05w_j,batch_id
2020-02-01,0.0,0.0,1
2020-02-02,1.0,1.0,1
2020-02-03,2.0,2.0,1
2020-02-04,1.0,1.0,1
2020-02-05,2.0,2.0,1
2020-02-06,3.0,3.0,1
2020-02-07,1.0,1.0,1
2020-02-08,1.0,1.0,1
2020-02-09,1.0,1.0,1
2020-02-10,1.0,1.0,1
2020-02-11,3.0,3.0,1
2020-02-12,2.0,2.0,1
2020-02-13,1.0,1.0,1
2020-02-14,1.0,1.0,1
2020-02-15,1.0,1.0,1
2020-02-16,2.0,2.0,1
2020-02-17,1.0,1.0,1
2020-02-18,0.0,0.0,1
2020-02-19,3.0,3.0,1
2020-02-20,2.0,2.0,1
2020-02-21,1.0,1.0,1
2020-02-22,1.0,1.0,1
2020-02-23,0.0,0.0,1
2020-02-24,2.0,2.0,1
2020-02-25,3.0,3.0,1
2020-02-26,2.0,2.0,1
2020-02-27,3.0,3.0,1
2020-02-28,1.0,1.0,1
2020-02-29,1.0,1.0,1
2020-03-01,3.0,3.0,1
2020-03-02,4.0,4.0,1
2020-03-03,4.0,4.0,1
2020-03-04,4.0,4.0,1
2020-03-05,4.0,4.0,1
2020-03-06,4.0,4.0,1
2020-03-07,1.0,1.0,1
2020-03-08,2.0,2.0,1
2020-03-09,6.0,6.0,1
2020-03-10,5.0,5.0,1
2020-03-11,5.0,5.0,1
2020-03-12,4.0,4.0,1
2020-03-13,6.0,6.0,1
2020-03-14,3.0,3.0,1
2020-03-15,10.0,10.0,1
2020-03-16,3.0,3.0,1
2020-03-17,6.0,6.0,1
2020-03-18,6.0,6.0,1
2020-03-19,6.0,6.0,1
2020-03-20,10.0,10.0,1
2020-03-21,52.0,52.0,1
2020-03-22,18.0,18.0,1
2020-03-23,10.0,10.0,1
2020-03-24,7.0,7.0,1
2020-03-25,5.0,5.0,1
2020-03-26,11.0,11.0,1
2020-03-27,7.0,7.0,1
2020-03-28,7.0,7.0,1
2020-03-29,5.0,5.0,1
2020-03-30,6.0,6.0,1
2020-03-31,8.0,8.0,1
2020-04-01,7.0,7.0,1
2020-04-02,9.0,9.0,1
2020-04-03,13.0,13.0,1
2020-04-04,7.0,7.0,1
2020-04-05,8.0,8.0,1
2020-04-06,18.0,18.0,1
2020-04-07,25.0,25.0,1
2020-04-08,25.0,25.0,1
2020-04-09,18.0,18.0,1
2020-04-10,14.0,14.0,1
2020-04-11,15.0,15.0,1
2020-04-12,13.0,13.0,1
2020-04-13,18.0,18.0,1
2020-04-14,23.0,23.0,1
2020-04-15,22.0,22.0,1
2020-04-16,28.0,28.0,1
2020-04-17,17.0,17.0,1
2020-04-18,17.0,17.0,1
2020-04-19,18.0,18.0,1
2020-04-20,19.0,19.0,1
2020-04-21,19.0,19.0,1
2020-04-22,25.0,25.0,1
2020-04-23,17.0,17.0,1
2020-04-24,29.0,29.0,1
2020-04-25,27.0,27.0,1
2020-04-26,21.0,21.0,1
2020-04-27,34.0,34.0,1
2020-04-28,33.0,33.0,1
2020-04-29,25.0,25.0,1
2020-04-30,35.0,35.0,1
2020-05-01,17.0,17.0,1
2020-05-02,20.0,20.0,1
2020-05-03,21.0,21.0,1
2020-05-04,28.0,28.0,1
2020-05-05,33.0,33.0,1
2020-05-06,20.0,20.0,1
2020-05-07,28.0,28.0,1
2020-05-08,28.0,28.0,1
2020-05-09,27.0,27.0,1
2020-05-10,28.0,28.0,1
2020-05-11,37.0,37.0,1
2020-05-12,32.0,32.0,1
2020-05-13,33.0,33.0,1
2020-05-14,30.0,30.0,1
2020-05-15,26.0,26.0,1
2020-05-16,32.0,32.0,1
2020-05-17,23.0,23.0,1
2020-05-18,23.0,23.0,1
2020-05-19,25.0,25.0,1
2020-05-20,26.0,26.0,1
2020-05-21,30.0,30.0,1
2020-05-22,20.0,20.0,1
2020-05-23,23.0,23.0,1
2020-05-24,19.0,19.0,1
2020-05-25,16.0,16.0,1
2020-05-26,23.0,23.0,1
2020-05-27,20.0,20.0,1
2020-05-28,18.0,18.0,1
2020-05-29,18.0,18.0,1
2020-05-30,22.0,22.0,1
2020-05-31,14.0,14.0,1
2020-06-01,17.0,17.0,1
2020-06-02,23.0,23.0,1
2020-06-03,17.0,17.0,1
2020-06-04,20.0,20.0,1
2020-06-05,15.0,15.0,1
2020-06-06,17.0,17.0,1
2020-06-07,13.0,13.0,1
2020-06-08,17.0,17.0,1
2020-06-09,22.0,22.0,1
2020-06-10,17.0,17.0,1
2020-06-11,10.0,10.0,1
2020-06-12,20.0,20.0,1
2020-06-13,12.0,12.0,1
2020-06-14,9.0,9.0,1
2020-06-15,20.0,20.0,1
2020-06-16,17.0,17.0,1
2020-06-17,15.0,15.0,1
2020-06-18,21.0,21.0,1
2020-06-19,17.0,17.0,1
2020-06-20,17.0,17.0,1
2020-06-21,12.0,12.0,1
2020-06-22,16.0,16.0,1
2020-06-23,18.0,18.0,1
2020-06-24,18.0,18.0,1
2020-06-25,23.0,23.0,1
2020-06-26,21.0,21.0,1
2020-06-27,17.0,17.0,1
2020-06-28,13.0,13.0,1
2020-06-29,18.0,18.0,1
2020-06-30,18.0,18.0,1
2020-07-01,17.0,17.0,1
2020-07-02,18.0,18.0,1
2020-07-03,18.0,18.0,1
2020-07-04,11.0,11.0,1
2020-07-05,11.0,11.0,1
2020-07-06,21.0,21.0,1
2020-07-07,15.0,15.0,1
2020-07-08,27.0,27.0,1
2020-07-09,30.0,30.0,1
2020-07-10,19.0,19.0,1
2020-07-11,23.0,23.0,1
2020-07-12,13.0,13.0,1
2020-07-13,24.0,24.0,1
2020-07-14,18.0,18.0,1
2020-07-15,29.0,29.0,1
2020-07-16,22.0,22.0,1
2020-07-17,35.0,35.0,1
2020-07-18,33.0,33.0,1
2020-07-19,27.0,27.0,1
2020-07-20,35.0,35.0,1
2020-07-21,32.0,32.0,1
2020-07-22,37.0,37.0,1
2020-07-23,34.0,34.0,1
2020-07-24,46.0,46.0,1
2020-07-25,35.0,35.0,1
2020-07-26,31.0,31.0,1
2020-07-27,45.0,45.0,1
2020-07-28,44.0,44.0,1
2020-07-29,53.0,53.0,1
2020-07-30,50.0,50.0,1
2020-07-31,41.0,41.0,1
2020-08-01,44.0,44.0,1
2020-08-02,30.0,30.0,1
2020-08-03,55.0,55.0,1
2020-08-04,49.0,49.0,1
2020-08-05,50.0,50.0,1
2020-08-06,47.0,47.0,1
2020-08-07,62.0,62.0,1
2020-08-08,41.0,41.0,1
2020-08-09,38.0,38.0,1
2020-08-10,69.0,69.0,1
2020-08-11,64.0,64.0,1
2020-08-12,62.0,62.0,1
2020-08-13,73.0,73.0,1
2020-08-14,76.0,76.0,1
2020-08-15,61.0,61.0,1
2020-08-16,73.0,73.0,1
2020-08-17,89.0,89.0,1
2020-08-18,100.0,100.0,1
2020-08-19,91.0,91.0,1
2020-08-20,91.0,91.0,1
2020-08-21,91.0,91.0,1
2020-08-22,73.0,73.0,1
2020-08-23,62.0,62.0,1
2020-08-24,91.0,91.0,1
2020-08-25,92.0,92.0,1
2020-08-26,90.0,90.0,1
2020-08-27,82.0,82.0,1
2020-08-28,72.0,72.0,1
2020-08-29,53.0,53.0,1
2020-08-30,59.0,59.0,1
2020-08-31,67.0,67.0,1
2020-09-01,65.0,65.0,1
2020-09-02,67.0,67.0,1
2020-09-03,86.0,86.0,1
2020-09-04,62.0,62.0,1
2020-09-05,58.0,58.0,1
2020-09-06,66.0,66.0,1
2020-09-07,67.0,67.0,1
2020-09-08,58.0,58.0,1
2020-09-09,66.0,66.0,1
2020-09-10,56.0,56.0,1
2020-09-11,73.0,73.0,1
2020-09-12,46.0,46.0,1
2020-09-13,54.0,54.0,1
2020-09-14,72.0,72.0,1
2020-09-15,68.0,68.0,1
2020-09-16,64.0,64.0,1
2020-09-17,68.0,68.0,1
2020-09-18,74.0,74.0,1
2020-09-19,57.0,57.0,1
2020-09-20,48.0,48.0,1
2020-09-21,65.0,65.0,1
2020-09-22,63.0,63.0,1
2020-09-23,65.0,65.0,1
2020-09-24,63.0,63.0,1
2020-09-25,52.0,52.0,1
2020-09-26,45.0,45.0,1
2020-09-27,46.0,46.0,1
2020-09-28,55.0,55.0,1
2020-09-29,38.0,38.0,1
2020-09-30,49.0,49.0,1
2020-10-01,48.0,48.0,1
2020-10-02,38.0,38.0,1
2020-10-03,32.0,32.0,1
2020-10-04,31.0,31.0,1
2020-10-05,45.0,45.0,1
2020-10-06,50.0,50.0,1
2020-10-07,48.0,48.0,1
2020-10-08,54.0,54.0,1
2020-10-09,49.0,49.0,1
2020-10-10,41.0,41.0,1
2020-10-11,32.0,32.0,1
2020-10-12,31.0,31.0,1
2020-10-13,56.0,56.0,1
2020-10-14,49.0,49.0,1
2020-10-15,54.0,54.0,1
2020-10-16,53.0,53.0,1
2020-10-17,46.0,46.0,1
2020-10-18,41.0,41.0,1
2020-10-19,51.0,51.0,1
2020-10-20,55.0,55.0,1
2020-10-21,52.0,52.0,1
2020-10-22,59.0,59.0,1
2020-10-23,60.0,60.0,1
2020-10-24,46.0,46.0,1
2020-10-25,45.0,45.0,1
2020-10-26,57.0,57.0,1
2020-10-27,75.0,75.0,1
2020-09-28,56.0,56.0,2
2020-09-29,39.0,39.0,2
2020-09-30,46.0,46.0,2
2020-10-01,42.0,42.0,2
2020-10-02,38.0,38.0,2
2020-10-03,31.0,31.0,2
2020-10-04,31.0,31.0,2
2020-10-05,37.0,37.0,2
2020-10-06,44.0,44.0,2
2020-10-07,52.0,52.0,2
2020-10-08,46.0,46.0,2
2020-10-09,47.0,47.0,2
2020-10-10,32.0,32.0,2
2020-10-11,23.0,23.0,2
2020-10-12,30.0,30.0,2
2020-10-13,53.0,53.0,2
2020-10-14,51.0,51.0,2
2020-10-15,48.0,48.0,2
2020-10-16,45.0,45.0,2
2020-10-17,41.0,41.0,2
2020-10-18,40.0,40.0,2
2020-10-19,46.0,46.0,2
2020-10-20,47.0,47.0,2
2020-10-21,47.0,47.0,2
2020-10-22,45.0,45.0,2
2020-10-23,55.0,55.0,2
2020-10-24,46.0,46.0,2
2020-10-25,45.0,45.0,2
2020-10-26,59.0,59.0,2
2020-10-27,61.0,61.0,2
2020-10-28,54.0,54.0,2
2020-10-29,51.0,51.0,2
2020-10-30,54.0,54.0,2
2020-10-31,45.0,45.0,2
2020-11-01,39.0,39.0,2
2020-11-02,51.0,51.0,2
2020-11-03,47.0,47.0,2
2020-11-04,45.0,45.0,2
2020-11-05,42.0,42.0,2
2020-11-06,42.0,42.0,2
2020-11-07,34.0,34.0,2
2020-11-08,40.0,40.0,2
2020-11-09,40.0,40.0,2
2020-11-10,47.0,47.0,2
2020-11-11,57.0,57.0,2
2020-11-12,76.0,76.0,2
2020-11-13,59.0,59.0,2
2020-11-14,53.0,53.0,2
2020-11-15,32.0,32.0,2
2020-11-16,47.0,47.0,2
2020-11-17,57.0,57.0,2
2020-11-18,44.0,44.0,2
2020-11-19,53.0,53.0,2
2020-11-20,42.0,42.0,2
2020-11-21,40.0,40.0,2
2020-11-22,37.0,37.0,2
2020-11-23,64.0,64.0,2
2020-11-24,50.0,50.0,2
2020-11-25,44.0,44.0,2
2020-11-26,50.0,50.0,2
2020-11-27,49.0,49.0,2
2020-11-28,37.0,37.0,2
2020-11-29,40.0,40.0,2
2020-11-30,44.0,44.0,2
2020-12-01,49.0,49.0,2
2020-12-02,52.0,52.0,2
2020-12-03,52.0,52.0,2
2020-12-04,46.0,46.0,2
2020-12-05,34.0,34.0,2
2020-12-06,37.0,37.0,2
2020-12-07,46.0,46.0,2
2020-12-08,34.0,34.0,2
2020-12-09,53.0,53.0,2
2020-12-10,35.0,35.0,2
2020-12-11,64.0,64.0,2
2020-12-12,43.0,43.0,2
2020-12-13,47.0,47.0,2
2020-12-14,56.0,56.0,2
2020-12-15,65.0,65.0,2
2020-12-16,61.0,61.0,2
2020-12-17,59.0,59.0,2
2020-12-18,69.0,69.0,2
2020-12-19,57.0,57.0,2
2020-12-20,57.0,57.0,2
2020-12-21,75.0,75.0,2
2020-12-22,61.0,61.0,2
2020-12-23,67.0,67.0,2
2020-12-24,59.0,59.0,2
2020-12-25,34.0,34.0,2
2020-12-26,51.0,51.0,2
2020-12-27,44.0,44.0,2
2020-12-28,52.0,52.0,2
2020-12-29,48.0,48.0,2
2020-12-30,47.0,47.0,2
2020-12-31,46.0,46.0,2
2021-01-01,34.0,34.0,2
2021-01-02,38.0,38.0,2
2021-01-03,37.0,37.0,2
2021-01-04,65.0,65.0,2
2021-01-05,61.0,61.0,2
2021-01-06,38.0,38.0,2
2021-01-07,44.0,44.0,2
2021-01-08,51.0,51.0,2
2021-01-09,41.0,41.0,2
2021-01-10,43.0,43.0,2
2021-01-11,54.0,54.0,2
2021-01-12,58.0,58.0,2
2021-01-13,54.0,54.0,2
2021-01-14,49.0,49.0,2
2021-01-15,50.0,50.0,2
2021-01-16,48.0,48.0,2
2021-01-17,52.0,52.0,2
2021-01-18,59.0,59.0,2
2021-01-19,53.0,53.0,2
2021-01-20,48.0,48.0,2
2021-01-21,53.0,53.0,2
2021-01-22,73.0,73.0,2
2021-01-23,71.0,71.0,2
2021-01-24,49.0,49.0,2
2021-01-25,57.0,57.0,2
2021-01-26,66.0,66.0,2
2021-01-27,64.0,64.0,2
2021-01-28,100.0,100.0,2
2021-01-29,89.0,89.0,2
2021-01-30,76.0,76.0,2
2021-01-31,60.0,60.0,2
2021-02-01,67.0,67.0,2
2021-02-02,66.0,66.0,2
2021-02-03,55.0,55.0,2
2021-02-04,49.0,49.0,2
2021-02-05,53.0,53.0,2
2021-02-06,40.0,40.0,2
2021-02-07,33.0,33.0,2
2021-02-08,45.0,45.0,2
2021-02-09,50.0,50.0,2
2021-02-10,49.0,49.0,2
2021-02-11,63.0,63.0,2
2021-02-12,43.0,43.0,2
2021-02-13,34.0,34.0,2
2021-02-14,29.0,29.0,2
2021-02-15,38.0,38.0,2
2021-02-16,33.0,33.0,2
2021-02-17,36.0,36.0,2
2021-02-18,35.0,35.0,2
2021-02-19,35.0,35.0,2
2021-02-20,28.0,28.0,2
2021-02-21,27.0,27.0,2
2021-02-22,33.0,33.0,2
2021-02-23,30.0,30.0,2
2021-02-24,37.0,37.0,2
2021-02-25,26.0,26.0,2
2021-02-26,33.0,33.0,2
2021-02-27,23.0,23.0,2
2021-02-28,24.0,24.0,2
2021-03-01,33.0,33.0,2
2021-03-02,38.0,38.0,2
2021-03-03,29.0,29.0,2
2021-03-04,36.0,36.0,2
2021-03-05,40.0,40.0,2
2021-03-06,20.0,20.0,2
2021-03-07,23.0,23.0,2
2021-03-08,28.0,28.0,2
2021-03-09,41.0,41.0,2
2021-03-10,41.0,41.0,2
2021-03-11,31.0,31.0,2
2021-03-12,34.0,34.0,2
2021-03-13,25.0,25.0,2
2021-03-14,19.0,19.0,2
2021-03-15,35.0,35.0,2
2021-03-16,38.0,38.0,2
2021-03-17,40.0,40.0,2
2021-03-18,35.0,35.0,2
2021-03-19,27.0,27.0,2
2021-03-20,38.0,38.0,2
2021-03-21,29.0,29.0,2
2021-03-22,51.0,51.0,2
2021-03-23,38.0,38.0,2
2021-03-24,47.0,47.0,2
2021-03-25,48.0,48.0,2
2021-03-26,45.0,45.0,2
2021-03-27,39.0,39.0,2
2021-03-28,33.0,33.0,2
2021-03-29,54.0,54.0,2
2021-03-30,42.0,42.0,2
2021-03-31,35.0,35.0,2
2021-04-01,34.0,34.0,2
2021-04-02,31.0,31.0,2
2021-04-03,38.0,38.0,2
2021-04-04,34.0,34.0,2
2021-04-05,49.0,49.0,2
2021-04-06,41.0,41.0,2
2021-04-07,41.0,41.0,2
2021-04-08,35.0,35.0,2
2021-04-09,41.0,41.0,2
2021-04-10,35.0,35.0,2
2021-04-11,25.0,25.0,2
2021-04-12,42.0,42.0,2
2021-04-13,31.0,31.0,2
2021-04-14,34.0,34.0,2
2021-04-15,43.0,43.0,2
2021-04-16,35.0,35.0,2
2021-04-17,33.0,33.0,2
2021-04-18,37.0,37.0,2
2021-04-19,33.0,33.0,2
2021-04-20,35.0,35.0,2
2021-04-21,36.0,36.0,2
2021-04-22,31.0,31.0,2
2021-04-23,35.0,35.0,2
2021-04-24,32.0,32.0,2
2021-04-25,32.0,32.0,2
2021-04-26,34.0,34.0,2
2021-04-27,35.0,35.0,2
2021-04-28,38.0,38.0,2
2021-04-29,30.0,30.0,2
2021-04-30,42.0,42.0,2
2021-05-01,27.0,27.0,2
2021-05-02,28.0,28.0,2
2021-05-03,42.0,42.0,2
2021-05-04,37.0,37.0,2
2021-05-05,52.0,52.0,2
2021-05-06,41.0,41.0,2
2021-05-07,43.0,43.0,2
2021-05-08,40.0,40.0,2
2021-05-09,39.0,39.0,2
2021-05-10,45.0,45.0,2
2021-05-11,51.0,51.0,2
2021-05-12,51.0,51.0,2
2021-05-13,52.0,52.0,2
2021-05-14,47.0,47.0,2
