date,/m/0cjf0_0,/m/0cjf0,batch_id
2020-02-01,29.0,29.0,1
2020-02-02,67.0,67.0,1
2020-02-03,42.0,42.0,1
2020-02-04,52.0,52.0,1
2020-02-05,26.0,26.0,1
2020-02-06,22.0,22.0,1
2020-02-07,22.0,22.0,1
2020-02-08,35.0,35.0,1
2020-02-09,100.0,100.0,1
2020-02-10,40.0,40.0,1
2020-02-11,31.0,31.0,1
2020-02-12,37.0,37.0,1
2020-02-13,38.0,38.0,1
2020-02-14,16.0,16.0,1
2020-02-15,65.0,65.0,1
2020-02-16,39.0,39.0,1
2020-02-17,52.0,52.0,1
2020-02-18,41.0,41.0,1
2020-02-19,36.0,36.0,1
2020-02-20,21.0,21.0,1
2020-02-21,16.0,16.0,1
2020-02-22,29.0,29.0,1
2020-02-23,48.0,48.0,1
2020-02-24,54.0,54.0,1
2020-02-25,20.0,20.0,1
2020-02-26,24.0,24.0,1
2020-02-27,51.0,51.0,1
2020-02-28,26.0,26.0,1
2020-02-29,28.0,28.0,1
2020-03-01,63.0,63.0,1
2020-03-02,40.0,40.0,1
2020-03-03,30.0,30.0,1
2020-03-04,64.0,64.0,1
2020-03-05,42.0,42.0,1
2020-03-06,77.0,77.0,1
2020-03-07,22.0,22.0,1
2020-03-08,21.0,21.0,1
2020-03-09,35.0,35.0,1
2020-03-10,36.0,36.0,1
2020-03-11,15.0,15.0,1
2020-03-12,32.0,32.0,1
2020-03-13,41.0,41.0,1
2020-03-14,91.0,91.0,1
2020-03-15,47.0,47.0,1
2020-03-16,58.0,58.0,1
2020-03-17,78.0,78.0,1
2020-03-18,53.0,53.0,1
2020-03-19,65.0,65.0,1
2020-03-20,54.0,54.0,1
2020-03-21,61.0,61.0,1
2020-03-22,73.0,73.0,1
2020-03-23,28.0,28.0,1
2020-03-24,41.0,41.0,1
2020-03-25,50.0,50.0,1
2020-03-26,42.0,42.0,1
2020-03-27,37.0,37.0,1
2020-03-28,43.0,43.0,1
2020-03-29,31.0,31.0,1
2020-03-30,39.0,39.0,1
2020-03-31,44.0,44.0,1
2020-04-01,32.0,32.0,1
2020-04-02,28.0,28.0,1
2020-04-03,19.0,19.0,1
2020-04-04,27.0,27.0,1
2020-04-05,21.0,21.0,1
2020-04-06,27.0,27.0,1
2020-04-07,38.0,38.0,1
2020-04-08,19.0,19.0,1
2020-04-09,5.0,5.0,1
2020-04-10,21.0,21.0,1
2020-04-11,32.0,32.0,1
2020-04-12,37.0,37.0,1
2020-04-13,20.0,20.0,1
2020-04-14,22.0,22.0,1
2020-04-15,14.0,14.0,1
2020-04-16,33.0,33.0,1
2020-04-17,19.0,19.0,1
2020-04-18,32.0,32.0,1
2020-04-19,24.0,24.0,1
2020-04-20,18.0,18.0,1
2020-04-21,33.0,33.0,1
2020-04-22,14.0,14.0,1
2020-04-23,19.0,19.0,1
2020-04-24,20.0,20.0,1
2020-04-25,11.0,11.0,1
2020-04-26,10.0,10.0,1
2020-04-27,18.0,18.0,1
2020-04-28,5.0,5.0,1
2020-04-29,23.0,23.0,1
2020-04-30,9.0,9.0,1
2020-05-01,15.0,15.0,1
2020-05-02,27.0,27.0,1
2020-05-03,21.0,21.0,1
2020-05-04,18.0,18.0,1
2020-05-05,13.0,13.0,1
2020-05-06,9.0,9.0,1
2020-05-07,24.0,24.0,1
2020-05-08,21.0,21.0,1
2020-05-09,24.0,24.0,1
2020-05-10,16.0,16.0,1
2020-05-11,9.0,9.0,1
2020-05-12,14.0,14.0,1
2020-05-13,14.0,14.0,1
2020-05-14,10.0,10.0,1
2020-05-15,19.0,19.0,1
2020-05-16,6.0,6.0,1
2020-05-17,15.0,15.0,1
2020-05-18,15.0,15.0,1
2020-05-19,5.0,5.0,1
2020-05-20,9.0,9.0,1
2020-05-21,19.0,19.0,1
2020-05-22,16.0,16.0,1
2020-05-23,11.0,11.0,1
2020-05-24,15.0,15.0,1
2020-05-25,18.0,18.0,1
2020-05-26,18.0,18.0,1
2020-05-27,14.0,14.0,1
2020-05-28,28.0,28.0,1
2020-05-29,10.0,10.0,1
2020-05-30,17.0,17.0,1
2020-05-31,20.0,20.0,1
2020-06-01,10.0,10.0,1
2020-06-02,5.0,5.0,1
2020-06-03,9.0,9.0,1
2020-06-04,13.0,13.0,1
2020-06-05,9.0,9.0,1
2020-06-06,0.0,0.0,1
2020-06-07,16.0,16.0,1
2020-06-08,22.0,22.0,1
2020-06-09,9.0,9.0,1
2020-06-10,0.0,0.0,1
2020-06-11,15.0,15.0,1
2020-06-12,26.0,26.0,1
2020-06-13,30.0,30.0,1
2020-06-14,10.0,10.0,1
2020-06-15,38.0,38.0,1
2020-06-16,14.0,14.0,1
2020-06-17,14.0,14.0,1
2020-06-18,14.0,14.0,1
2020-06-19,11.0,11.0,1
2020-06-20,11.0,11.0,1
2020-06-21,0.0,0.0,1
2020-06-22,29.0,29.0,1
2020-06-23,15.0,15.0,1
2020-06-24,5.0,5.0,1
2020-06-25,16.0,16.0,1
2020-06-26,11.0,11.0,1
2020-06-27,12.0,12.0,1
2020-06-28,11.0,11.0,1
2020-06-29,34.0,34.0,1
2020-06-30,21.0,21.0,1
2020-07-01,16.0,16.0,1
2020-07-02,15.0,15.0,1
2020-07-03,26.0,26.0,1
2020-07-04,25.0,25.0,1
2020-07-05,24.0,24.0,1
2020-07-06,10.0,10.0,1
2020-07-07,31.0,31.0,1
2020-07-08,16.0,16.0,1
2020-07-09,5.0,5.0,1
2020-07-10,11.0,11.0,1
2020-07-11,12.0,12.0,1
2020-07-12,12.0,12.0,1
2020-07-13,11.0,11.0,1
2020-07-14,38.0,38.0,1
2020-07-15,60.0,60.0,1
2020-07-16,5.0,5.0,1
2020-07-17,21.0,21.0,1
2020-07-18,24.0,24.0,1
2020-07-19,11.0,11.0,1
2020-07-20,26.0,26.0,1
2020-07-21,22.0,22.0,1
2020-07-22,11.0,11.0,1
2020-07-23,26.0,26.0,1
2020-07-24,22.0,22.0,1
2020-07-25,17.0,17.0,1
2020-07-26,18.0,18.0,1
2020-07-27,16.0,16.0,1
2020-07-28,22.0,22.0,1
2020-07-29,38.0,38.0,1
2020-07-30,11.0,11.0,1
2020-07-31,17.0,17.0,1
2020-08-01,32.0,32.0,1
2020-08-02,24.0,24.0,1
2020-08-03,20.0,20.0,1
2020-08-04,30.0,30.0,1
2020-08-05,20.0,20.0,1
2020-08-06,5.0,5.0,1
2020-08-07,17.0,17.0,1
2020-08-08,25.0,25.0,1
2020-08-09,12.0,12.0,1
2020-08-10,20.0,20.0,1
2020-08-11,26.0,26.0,1
2020-08-12,16.0,16.0,1
2020-08-13,27.0,27.0,1
2020-08-14,11.0,11.0,1
