date,/m/01b_06_0,/m/01b_06,batch_id
2020-02-01,30.0,30.0,1
2020-02-02,28.0,28.0,1
2020-02-03,28.0,28.0,1
2020-02-04,25.0,25.0,1
2020-02-05,23.0,23.0,1
2020-02-06,25.0,25.0,1
2020-02-07,21.0,21.0,1
2020-02-08,22.0,22.0,1
2020-02-09,20.0,20.0,1
2020-02-10,22.0,22.0,1
2020-02-11,22.0,22.0,1
2020-02-12,25.0,25.0,1
2020-02-13,24.0,24.0,1
2020-02-14,19.0,19.0,1
2020-02-15,20.0,20.0,1
2020-02-16,22.0,22.0,1
2020-02-17,23.0,23.0,1
2020-02-18,21.0,21.0,1
2020-02-19,25.0,25.0,1
2020-02-20,19.0,19.0,1
2020-02-21,21.0,21.0,1
2020-02-22,22.0,22.0,1
2020-02-23,30.0,30.0,1
2020-02-24,36.0,36.0,1
2020-02-25,49.0,49.0,1
2020-02-26,89.0,89.0,1
2020-02-27,75.0,75.0,1
2020-02-28,72.0,72.0,1
2020-02-29,64.0,64.0,1
2020-03-01,59.0,59.0,1
2020-03-02,66.0,66.0,1
2020-03-03,54.0,54.0,1
2020-03-04,51.0,51.0,1
2020-03-05,49.0,49.0,1
2020-03-06,48.0,48.0,1
2020-03-07,45.0,45.0,1
2020-03-08,55.0,55.0,1
2020-03-09,64.0,64.0,1
2020-03-10,67.0,67.0,1
2020-03-11,73.0,73.0,1
2020-03-12,86.0,86.0,1
2020-03-13,97.0,97.0,1
2020-03-14,99.0,99.0,1
2020-03-15,100.0,100.0,1
2020-03-16,94.0,94.0,1
2020-03-17,93.0,93.0,1
2020-03-18,86.0,86.0,1
2020-03-19,77.0,77.0,1
2020-03-20,72.0,72.0,1
2020-03-21,70.0,70.0,1
2020-03-22,59.0,59.0,1
2020-03-23,55.0,55.0,1
2020-03-24,48.0,48.0,1
2020-03-25,45.0,45.0,1
2020-03-26,38.0,38.0,1
2020-03-27,39.0,39.0,1
2020-03-28,37.0,37.0,1
2020-03-29,37.0,37.0,1
2020-03-30,33.0,33.0,1
2020-03-31,31.0,31.0,1
2020-04-01,32.0,32.0,1
2020-04-02,29.0,29.0,1
2020-04-03,29.0,29.0,1
2020-04-04,28.0,28.0,1
2020-04-05,29.0,29.0,1
2020-04-06,28.0,28.0,1
2020-04-07,24.0,24.0,1
2020-04-08,25.0,25.0,1
2020-04-09,25.0,25.0,1
2020-04-10,23.0,23.0,1
2020-04-11,23.0,23.0,1
2020-04-12,21.0,21.0,1
2020-04-13,22.0,22.0,1
2020-04-14,23.0,23.0,1
2020-04-15,21.0,21.0,1
2020-04-16,21.0,21.0,1
2020-04-17,18.0,18.0,1
2020-04-18,25.0,25.0,1
2020-04-19,21.0,21.0,1
2020-04-20,21.0,21.0,1
2020-04-21,22.0,22.0,1
2020-04-22,19.0,19.0,1
2020-04-23,20.0,20.0,1
2020-04-24,21.0,21.0,1
2020-04-25,23.0,23.0,1
2020-04-26,24.0,24.0,1
2020-04-27,22.0,22.0,1
2020-04-28,20.0,20.0,1
2020-04-29,21.0,21.0,1
2020-04-30,18.0,18.0,1
2020-05-01,19.0,19.0,1
2020-05-02,19.0,19.0,1
2020-05-03,22.0,22.0,1
2020-05-04,22.0,22.0,1
2020-05-05,20.0,20.0,1
2020-05-06,19.0,19.0,1
2020-05-07,19.0,19.0,1
2020-05-08,22.0,22.0,1
2020-05-09,21.0,21.0,1
2020-05-10,19.0,19.0,1
2020-05-11,18.0,18.0,1
2020-05-12,22.0,22.0,1
2020-05-13,20.0,20.0,1
2020-05-14,22.0,22.0,1
