date,/g/11j2cc_qll_0,/g/11j2cc_qll,batch_id
2020-02-01,0.0,0.0,1
2020-02-02,0.0,0.0,1
2020-02-03,0.0,0.0,1
2020-02-04,0.0,0.0,1
2020-02-05,0.0,0.0,1
2020-02-06,0.0,0.0,1
2020-02-07,0.0,0.0,1
2020-02-08,0.0,0.0,1
2020-02-09,0.0,0.0,1
2020-02-10,1.0,1.0,1
2020-02-11,0.0,0.0,1
2020-02-12,0.0,0.0,1
2020-02-13,0.0,0.0,1
2020-02-14,0.0,0.0,1
2020-02-15,0.0,0.0,1
2020-02-16,0.0,0.0,1
2020-02-17,0.0,0.0,1
2020-02-18,1.0,1.0,1
2020-02-19,0.0,0.0,1
2020-02-20,0.0,0.0,1
2020-02-21,1.0,1.0,1
2020-02-22,0.0,0.0,1
2020-02-23,1.0,1.0,1
2020-02-24,1.0,1.0,1
2020-02-25,2.0,2.0,1
2020-02-26,3.0,3.0,1
2020-02-27,5.0,5.0,1
2020-02-28,3.0,3.0,1
2020-02-29,3.0,3.0,1
2020-03-01,9.0,9.0,1
2020-03-02,3.0,3.0,1
2020-03-03,6.0,6.0,1
2020-03-04,2.0,2.0,1
2020-03-05,7.0,7.0,1
2020-03-06,3.0,3.0,1
2020-03-07,3.0,3.0,1
2020-03-08,8.0,8.0,1
2020-03-09,5.0,5.0,1
2020-03-10,13.0,13.0,1
2020-03-11,13.0,13.0,1
2020-03-12,19.0,19.0,1
2020-03-13,34.0,34.0,1
2020-03-14,38.0,38.0,1
2020-03-15,36.0,36.0,1
2020-03-16,45.0,45.0,1
2020-03-17,54.0,54.0,1
2020-03-18,39.0,39.0,1
2020-03-19,39.0,39.0,1
2020-03-20,46.0,46.0,1
2020-03-21,51.0,51.0,1
2020-03-22,48.0,48.0,1
2020-03-23,45.0,45.0,1
2020-03-24,45.0,45.0,1
2020-03-25,49.0,49.0,1
2020-03-26,51.0,51.0,1
2020-03-27,66.0,66.0,1
2020-03-28,48.0,48.0,1
2020-03-29,45.0,45.0,1
2020-03-30,43.0,43.0,1
2020-03-31,32.0,32.0,1
2020-04-01,42.0,42.0,1
2020-04-02,47.0,47.0,1
2020-04-03,39.0,39.0,1
2020-04-04,40.0,40.0,1
2020-04-05,38.0,38.0,1
2020-04-06,41.0,41.0,1
2020-04-07,43.0,43.0,1
2020-04-08,54.0,54.0,1
2020-04-09,28.0,28.0,1
2020-04-10,46.0,46.0,1
2020-04-11,40.0,40.0,1
2020-04-12,39.0,39.0,1
2020-04-13,31.0,31.0,1
2020-04-14,37.0,37.0,1
2020-04-15,30.0,30.0,1
2020-04-16,44.0,44.0,1
2020-04-17,35.0,35.0,1
2020-04-18,33.0,33.0,1
2020-04-19,28.0,28.0,1
2020-04-20,30.0,30.0,1
2020-04-21,33.0,33.0,1
2020-04-22,34.0,34.0,1
2020-04-23,39.0,39.0,1
2020-04-24,39.0,39.0,1
2020-04-25,42.0,42.0,1
