date,/m/0lbt3_0,/m/0lbt3,batch_id
2020-02-01,6.0,6.0,1
2020-02-02,4.0,4.0,1
2020-02-03,4.0,4.0,1
2020-02-04,9.0,9.0,1
2020-02-05,1.0,1.0,1
2020-02-06,5.0,5.0,1
2020-02-07,3.0,3.0,1
2020-02-08,8.0,8.0,1
2020-02-09,4.0,4.0,1
2020-02-10,1.0,1.0,1
2020-02-11,4.0,4.0,1
2020-02-12,5.0,5.0,1
2020-02-13,7.0,7.0,1
2020-02-14,7.0,7.0,1
2020-02-15,4.0,4.0,1
2020-02-16,1.0,1.0,1
2020-02-17,5.0,5.0,1
2020-02-18,5.0,5.0,1
2020-02-19,7.0,7.0,1
2020-02-20,1.0,1.0,1
2020-02-21,4.0,4.0,1
2020-02-22,9.0,9.0,1
2020-02-23,3.0,3.0,1
2020-02-24,7.0,7.0,1
2020-02-25,11.0,11.0,1
2020-02-26,0.0,0.0,1
2020-02-27,7.0,7.0,1
2020-02-28,4.0,4.0,1
2020-02-29,5.0,5.0,1
2020-03-01,1.0,1.0,1
2020-03-02,5.0,5.0,1
2020-03-03,8.0,8.0,1
2020-03-04,6.0,6.0,1
2020-03-05,0.0,0.0,1
2020-03-06,8.0,8.0,1
2020-03-07,3.0,3.0,1
2020-03-08,5.0,5.0,1
2020-03-09,7.0,7.0,1
2020-03-10,2.0,2.0,1
2020-03-11,5.0,5.0,1
2020-03-12,4.0,4.0,1
2020-03-13,7.0,7.0,1
2020-03-14,9.0,9.0,1
2020-03-15,100.0,100.0,1
2020-03-16,49.0,49.0,1
2020-03-17,37.0,37.0,1
2020-03-18,54.0,54.0,1
2020-03-19,28.0,28.0,1
2020-03-20,11.0,11.0,1
2020-03-21,10.0,10.0,1
2020-03-22,4.0,4.0,1
2020-03-23,5.0,5.0,1
2020-03-24,5.0,5.0,1
2020-03-25,2.0,2.0,1
2020-03-26,3.0,3.0,1
2020-03-27,6.0,6.0,1
2020-03-28,7.0,7.0,1
2020-03-29,6.0,6.0,1
2020-03-30,2.0,2.0,1
2020-03-31,2.0,2.0,1
2020-04-01,3.0,3.0,1
2020-04-02,1.0,1.0,1
2020-04-03,8.0,8.0,1
2020-04-04,1.0,1.0,1
2020-04-05,1.0,1.0,1
2020-04-06,3.0,3.0,1
2020-04-07,1.0,1.0,1
2020-04-08,3.0,3.0,1
2020-04-09,2.0,2.0,1
2020-04-10,4.0,4.0,1
2020-04-11,3.0,3.0,1
2020-04-12,1.0,1.0,1
2020-04-13,2.0,2.0,1
2020-04-14,4.0,4.0,1
2020-04-15,1.0,1.0,1
2020-04-16,1.0,1.0,1
2020-04-17,7.0,7.0,1
2020-04-18,4.0,4.0,1
2020-04-19,0.0,0.0,1
2020-04-20,1.0,1.0,1
2020-04-21,4.0,4.0,1
2020-04-22,1.0,1.0,1
2020-04-23,0.0,0.0,1
2020-04-24,1.0,1.0,1
2020-04-25,1.0,1.0,1
2020-04-26,3.0,3.0,1
2020-04-27,5.0,5.0,1
2020-04-28,1.0,1.0,1
2020-04-29,0.0,0.0,1
2020-04-30,4.0,4.0,1
2020-05-01,3.0,3.0,1
2020-05-02,5.0,5.0,1
2020-05-03,5.0,5.0,1
2020-05-04,4.0,4.0,1
2020-05-05,1.0,1.0,1
2020-05-06,0.0,0.0,1
2020-05-07,0.0,0.0,1
2020-05-08,3.0,3.0,1
2020-05-09,3.0,3.0,1
2020-05-10,0.0,0.0,1
2020-05-11,3.0,3.0,1
2020-05-12,1.0,1.0,1
2020-05-13,3.0,3.0,1
2020-05-14,1.0,1.0,1
2020-05-15,3.0,3.0,1
2020-05-16,3.0,3.0,1
2020-05-17,0.0,0.0,1
2020-05-18,1.0,1.0,1
2020-05-19,0.0,0.0,1
2020-05-20,1.0,1.0,1
2020-05-21,4.0,4.0,1
2020-05-22,0.0,0.0,1
2020-05-23,5.0,5.0,1
2020-05-24,5.0,5.0,1
2020-05-25,1.0,1.0,1
