date,/m/01cdt5_0,/m/01cdt5,batch_id
2020-02-01,11.0,11.0,1
2020-02-02,24.0,24.0,1
2020-02-03,18.0,18.0,1
2020-02-04,13.0,13.0,1
2020-02-05,10.0,10.0,1
2020-02-06,24.0,24.0,1
2020-02-07,14.0,14.0,1
2020-02-08,4.0,4.0,1
2020-02-09,21.0,21.0,1
2020-02-10,23.0,23.0,1
2020-02-11,23.0,23.0,1
2020-02-12,25.0,25.0,1
2020-02-13,29.0,29.0,1
2020-02-14,14.0,14.0,1
2020-02-15,34.0,34.0,1
2020-02-16,25.0,25.0,1
2020-02-17,0.0,0.0,1
2020-02-18,26.0,26.0,1
2020-02-19,16.0,16.0,1
2020-02-20,17.0,17.0,1
2020-02-21,10.0,10.0,1
2020-02-22,8.0,8.0,1
2020-02-23,29.0,29.0,1
2020-02-24,33.0,33.0,1
2020-02-25,26.0,26.0,1
2020-02-26,34.0,34.0,1
2020-02-27,19.0,19.0,1
2020-02-28,33.0,33.0,1
2020-02-29,69.0,69.0,1
2020-03-01,20.0,20.0,1
2020-03-02,34.0,34.0,1
2020-03-03,22.0,22.0,1
2020-03-04,22.0,22.0,1
2020-03-05,50.0,50.0,1
2020-03-06,32.0,32.0,1
2020-03-07,32.0,32.0,1
2020-03-08,20.0,20.0,1
2020-03-09,30.0,30.0,1
2020-03-10,31.0,31.0,1
2020-03-11,37.0,37.0,1
2020-03-12,39.0,39.0,1
2020-03-13,53.0,53.0,1
2020-03-14,42.0,42.0,1
2020-03-15,28.0,28.0,1
2020-03-16,43.0,43.0,1
2020-03-17,46.0,46.0,1
2020-03-18,55.0,55.0,1
2020-03-19,74.0,74.0,1
2020-03-20,61.0,61.0,1
2020-03-21,81.0,81.0,1
2020-03-22,70.0,70.0,1
2020-03-23,72.0,72.0,1
2020-03-24,47.0,47.0,1
2020-03-25,70.0,70.0,1
2020-03-26,36.0,36.0,1
2020-03-27,80.0,80.0,1
2020-03-28,100.0,100.0,1
2020-03-29,87.0,87.0,1
2020-03-30,74.0,74.0,1
2020-03-31,82.0,82.0,1
2020-04-01,87.0,87.0,1
2020-04-02,49.0,49.0,1
2020-04-03,53.0,53.0,1
2020-04-04,37.0,37.0,1
2020-04-05,52.0,52.0,1
2020-04-06,36.0,36.0,1
2020-04-07,57.0,57.0,1
2020-04-08,38.0,38.0,1
2020-04-09,33.0,33.0,1
2020-04-10,18.0,18.0,1
2020-04-11,23.0,23.0,1
2020-04-12,40.0,40.0,1
2020-04-13,37.0,37.0,1
2020-04-14,38.0,38.0,1
2020-04-15,36.0,36.0,1
2020-04-16,30.0,30.0,1
2020-04-17,18.0,18.0,1
2020-04-18,49.0,49.0,1
2020-04-19,29.0,29.0,1
2020-04-20,28.0,28.0,1
2020-04-21,26.0,26.0,1
2020-04-22,36.0,36.0,1
2020-04-23,23.0,23.0,1
2020-04-24,18.0,18.0,1
2020-04-25,26.0,26.0,1
2020-04-26,36.0,36.0,1
2020-04-27,25.0,25.0,1
2020-04-28,27.0,27.0,1
2020-04-29,28.0,28.0,1
2020-04-30,21.0,21.0,1
2020-05-01,21.0,21.0,1
2020-05-02,39.0,39.0,1
2020-05-03,6.0,6.0,1
2020-05-04,27.0,27.0,1
2020-05-05,15.0,15.0,1
2020-05-06,22.0,22.0,1
2020-05-07,20.0,20.0,1
2020-05-08,30.0,30.0,1
2020-05-09,28.0,28.0,1
2020-05-10,24.0,24.0,1
2020-05-11,14.0,14.0,1
2020-05-12,23.0,23.0,1
2020-05-13,20.0,20.0,1
2020-05-14,38.0,38.0,1
2020-05-15,19.0,19.0,1
2020-05-16,7.0,7.0,1
2020-05-17,33.0,33.0,1
2020-05-18,27.0,27.0,1
2020-05-19,18.0,18.0,1
2020-05-20,16.0,16.0,1
2020-05-21,14.0,14.0,1
2020-05-22,19.0,19.0,1
2020-05-23,13.0,13.0,1
2020-05-24,25.0,25.0,1
2020-05-25,26.0,26.0,1
2020-05-26,24.0,24.0,1
2020-05-27,9.0,9.0,1
2020-05-28,26.0,26.0,1
2020-05-29,9.0,9.0,1
2020-05-30,14.0,14.0,1
2020-05-31,14.0,14.0,1
2020-06-01,16.0,16.0,1
2020-06-02,23.0,23.0,1
2020-06-03,5.0,5.0,1
2020-06-04,19.0,19.0,1
2020-06-05,34.0,34.0,1
2020-06-06,20.0,20.0,1
2020-06-07,17.0,17.0,1
2020-06-08,22.0,22.0,1
2020-06-09,19.0,19.0,1
2020-06-10,21.0,21.0,1
2020-06-11,12.0,12.0,1
2020-06-12,21.0,21.0,1
2020-06-13,10.0,10.0,1
2020-06-14,21.0,21.0,1
2020-06-15,20.0,20.0,1
2020-06-16,17.0,17.0,1
2020-06-17,36.0,36.0,1
2020-06-18,12.0,12.0,1
2020-06-19,13.0,13.0,1
2020-06-20,11.0,11.0,1
2020-06-21,14.0,14.0,1
2020-06-22,22.0,22.0,1
2020-06-23,22.0,22.0,1
2020-06-24,20.0,20.0,1
2020-06-25,16.0,16.0,1
2020-06-26,13.0,13.0,1
2020-06-27,4.0,4.0,1
2020-06-28,29.0,29.0,1
2020-06-29,27.0,27.0,1
2020-06-30,24.0,24.0,1
2020-07-01,24.0,24.0,1
2020-07-02,9.0,9.0,1
2020-07-03,16.0,16.0,1
2020-07-04,15.0,15.0,1
2020-07-05,21.0,21.0,1
2020-07-06,18.0,18.0,1
2020-07-07,6.0,6.0,1
2020-07-08,13.0,13.0,1
2020-07-09,7.0,7.0,1
2020-07-10,30.0,30.0,1
2020-07-11,8.0,8.0,1
2020-07-12,12.0,12.0,1
2020-07-13,21.0,21.0,1
2020-07-14,21.0,21.0,1
2020-07-15,19.0,19.0,1
2020-07-16,19.0,19.0,1
2020-07-17,17.0,17.0,1
2020-07-18,24.0,24.0,1
2020-07-19,12.0,12.0,1
2020-07-20,20.0,20.0,1
2020-07-21,10.0,10.0,1
2020-07-22,17.0,17.0,1
2020-07-23,10.0,10.0,1
2020-07-24,27.0,27.0,1
2020-07-25,8.0,8.0,1
2020-07-26,19.0,19.0,1
2020-07-27,16.0,16.0,1
2020-07-28,17.0,17.0,1
2020-07-29,7.0,7.0,1
2020-07-30,0.0,0.0,1
2020-07-31,14.0,14.0,1
2020-08-01,16.0,16.0,1
2020-08-02,0.0,0.0,1
2020-08-03,10.0,10.0,1
2020-08-04,13.0,13.0,1
2020-08-05,28.0,28.0,1
2020-08-06,28.0,28.0,1
2020-08-07,4.0,4.0,1
2020-08-08,16.0,16.0,1
2020-08-09,20.0,20.0,1
2020-08-10,23.0,23.0,1
2020-08-11,3.0,3.0,1
2020-08-12,10.0,10.0,1
2020-08-13,7.0,7.0,1
2020-08-14,24.0,24.0,1
2020-08-15,11.0,11.0,1
2020-08-16,11.0,11.0,1
2020-08-17,20.0,20.0,1
2020-08-18,3.0,3.0,1
2020-08-19,13.0,13.0,1
2020-08-20,21.0,21.0,1
2020-08-21,14.0,14.0,1
2020-08-22,15.0,15.0,1
2020-08-23,30.0,30.0,1
2020-08-24,27.0,27.0,1
2020-08-25,10.0,10.0,1
2020-08-26,33.0,33.0,1
2020-08-27,7.0,7.0,1
2020-08-28,10.0,10.0,1
2020-08-29,3.0,3.0,1
2020-08-30,3.0,3.0,1
2020-08-31,16.0,16.0,1
2020-09-01,10.0,10.0,1
2020-09-02,33.0,33.0,1
2020-09-03,26.0,26.0,1
2020-09-04,13.0,13.0,1
2020-09-05,33.0,33.0,1
2020-09-06,7.0,7.0,1
2020-09-07,25.0,25.0,1
2020-09-08,32.0,32.0,1
2020-09-09,22.0,22.0,1
2020-09-10,22.0,22.0,1
2020-09-11,20.0,20.0,1
2020-09-12,22.0,22.0,1
2020-09-13,43.0,43.0,1
2020-09-14,25.0,25.0,1
2020-09-15,26.0,26.0,1
2020-09-16,25.0,25.0,1
2020-09-17,16.0,16.0,1
2020-09-18,13.0,13.0,1
2020-09-19,14.0,14.0,1
2020-09-20,10.0,10.0,1
2020-09-21,15.0,15.0,1
2020-09-22,19.0,19.0,1
2020-09-23,22.0,22.0,1
2020-09-24,19.0,19.0,1
2020-09-25,7.0,7.0,1
2020-09-26,7.0,7.0,1
2020-09-27,7.0,7.0,1
2020-09-28,23.0,23.0,1
2020-09-29,0.0,0.0,1
2020-09-30,16.0,16.0,1
2020-10-01,7.0,7.0,1
2020-10-02,17.0,17.0,1
2020-10-03,18.0,18.0,1
2020-10-04,21.0,21.0,1
2020-10-05,25.0,25.0,1
