date,/m/01b_06_0,/m/01b_06_1,/m/01b_06_2,/m/01b_06_3,/m/01b_06_4,/m/01b_06_5,/m/01b_06_6,/m/01b_06_7,/m/01b_06_8,/m/01b_06_9,/m/01b_06,batch_id
2020-01-01,6.0,6.0,0.0,12.0,5.0,6.0,0.0,6.0,0.0,18.0,6.621773288439956,0
2020-01-02,21.0,5.0,16.0,5.0,25.0,20.0,22.0,10.0,25.0,28.0,19.865319865319865,0
2020-01-03,43.0,43.0,15.0,19.0,24.0,13.0,24.0,22.0,18.0,25.0,27.609427609427613,0
2020-01-04,36.0,15.0,27.0,36.0,8.0,24.0,30.0,19.0,34.0,16.0,27.497194163860833,0
2020-01-05,36.0,30.0,21.0,20.0,20.0,23.0,17.0,19.0,10.0,21.0,24.354657687991022,0
2020-01-06,21.0,33.0,27.0,8.0,13.0,19.0,25.0,16.0,12.0,13.0,20.987654320987655,0
2020-01-07,13.0,13.0,22.0,8.0,24.0,19.0,18.0,12.0,16.0,18.0,18.294051627384963,0
2020-01-08,18.0,13.0,9.0,17.0,3.0,8.0,7.0,0.0,13.0,9.0,10.886644219977553,0
2020-01-09,4.0,9.0,5.0,4.0,3.0,12.0,4.0,0.0,13.0,5.0,6.621773288439956,0
2020-01-10,23.0,18.0,19.0,14.0,11.0,21.0,12.0,21.0,18.0,10.0,18.74298540965208,0
2020-01-11,32.0,10.0,11.0,10.0,16.0,5.0,13.0,19.0,25.0,16.0,17.62065095398429,0
2020-01-12,26.0,5.0,11.0,20.0,8.0,5.0,27.0,14.0,20.0,16.0,17.059483726150393,0
2020-01-13,19.0,26.0,24.0,7.0,9.0,25.0,20.0,11.0,22.0,16.0,20.08978675645342,0
2020-01-14,15.0,26.0,23.0,22.0,15.0,20.0,16.0,17.0,21.0,24.0,22.334455667789,0
2020-01-15,17.0,13.0,22.0,25.0,10.0,12.0,29.0,16.0,21.0,18.0,20.53872053872054,0
2020-01-16,32.0,18.0,31.0,4.0,11.0,12.0,26.0,16.0,17.0,18.0,20.7631874298541,0
2020-01-17,5.0,9.0,0.0,13.0,4.0,13.0,8.0,8.0,4.0,19.0,9.315375982042651,0
2020-01-18,33.0,38.0,43.0,29.0,34.0,22.0,28.0,27.0,14.0,20.0,32.323232323232325,0
2020-01-19,10.0,34.0,25.0,14.0,23.0,18.0,21.0,18.0,24.0,26.0,23.905723905723907,0
2020-01-20,13.0,12.0,13.0,16.0,20.0,16.0,14.0,15.0,16.0,9.0,16.161616161616163,0
2020-01-21,17.0,17.0,9.0,21.0,17.0,12.0,22.0,8.0,8.0,13.0,16.161616161616163,0
