date,/m/0b76bty_0,/m/0b76bty_1,/m/0b76bty_2,/m/0b76bty_3,/m/0b76bty_4,/m/0b76bty_5,/m/0b76bty_6,/m/0b76bty_7,/m/0b76bty_8,/m/0b76bty_9,/m/0b76bty,batch_id
2020-01-01,16.0,37.0,22.0,44.0,17.0,0.0,17.0,40.0,22.0,0.0,26.94235588972431,0.0
2020-01-02,0.0,16.0,19.0,39.0,0.0,0.0,15.0,0.0,19.0,33.0,17.669172932330827,0.0
2020-01-03,13.0,32.0,75.0,38.0,43.0,19.0,29.0,34.0,37.0,49.0,46.2406015037594,0.0
2020-01-04,14.0,0.0,19.0,19.0,29.0,0.0,0.0,0.0,19.0,17.0,14.661654135338347,0.0
2020-01-05,13.0,31.0,38.0,74.0,100.0,19.0,0.0,52.0,74.0,49.0,56.39097744360903,0.0
2020-01-06,0.0,28.0,17.0,0.0,13.0,16.0,13.0,15.0,0.0,0.0,12.781954887218044,0.0
2020-01-07,12.0,29.0,68.0,34.0,13.0,51.0,39.0,32.0,34.0,59.0,46.49122807017544,0.0
2020-01-08,24.0,14.0,17.0,17.0,0.0,0.0,13.0,16.0,33.0,29.0,20.426065162907268,0.0
2020-01-09,0.0,14.0,17.0,17.0,26.0,17.0,0.0,0.0,34.0,15.0,17.54385964912281,0.0
2020-01-10,38.0,30.0,54.0,18.0,27.0,35.0,0.0,33.0,53.0,46.0,41.8546365914787,0.0
2020-01-11,0.0,0.0,0.0,20.0,0.0,0.0,15.0,0.0,0.0,17.0,6.516290726817043,0.0
2020-01-12,27.0,16.0,38.0,0.0,15.0,19.0,14.0,0.0,38.0,33.0,25.06265664160401,0.0
2020-01-13,22.0,25.0,15.0,15.0,0.0,15.0,23.0,14.0,30.0,26.0,23.18295739348371,0.0
2020-01-14,21.0,12.0,59.0,29.0,11.0,14.0,22.0,67.0,43.0,25.0,37.96992481203008,0.0
2020-01-15,35.0,55.0,33.0,17.0,25.0,32.0,25.0,15.0,65.0,28.0,41.35338345864662,0.0
2020-01-16,36.0,42.0,17.0,51.0,51.0,17.0,38.0,47.0,34.0,15.0,43.609022556390975,0.0
2020-01-17,38.0,29.0,53.0,70.0,0.0,35.0,40.0,65.0,52.0,30.0,51.629072681704265,0.0
2020-01-18,14.0,33.0,0.0,20.0,0.0,0.0,15.0,18.0,19.0,34.0,19.17293233082707,0.0
2020-01-19,0.0,16.0,0.0,0.0,14.0,0.0,14.0,0.0,18.0,0.0,7.769423558897244,0.0
2020-01-20,60.0,28.0,0.0,17.0,12.0,33.0,25.0,31.0,16.0,43.0,33.20802005012531,0.0
