date,/m/0cjf0_0,/m/0cjf0_1,/m/0cjf0_2,/m/0cjf0_3,/m/0cjf0_4,/m/0cjf0_5,/m/0cjf0_6,/m/0cjf0_7,/m/0cjf0_8,/m/0cjf0_9,/m/0cjf0,batch_id
2020-01-01,51.0,21.0,0.0,0.0,46.0,0.0,48.0,21.0,0.0,15.0,27.07774798927614,0.0
2020-01-02,0.0,34.0,0.0,0.0,19.0,22.0,0.0,0.0,20.0,24.0,15.951742627345846,0.0
2020-01-03,61.0,0.0,20.0,0.0,37.0,21.0,19.0,34.0,20.0,23.0,31.501340482573728,0.0
2020-01-04,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,4.959785522788204,0.0
2020-01-05,23.0,0.0,48.0,18.0,0.0,24.0,0.0,20.0,0.0,0.0,17.828418230563003,0.0
2020-01-06,0.0,16.0,21.0,15.0,17.0,0.0,0.0,16.0,19.0,0.0,13.941018766756034,0.0
2020-01-07,80.0,0.0,63.0,46.0,36.0,0.0,37.0,51.0,20.0,22.0,47.58713136729222,0.0
2020-01-08,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.1554959785522785,0.0
2020-01-09,21.0,33.0,21.0,0.0,0.0,22.0,0.0,0.0,20.0,12.0,17.292225201072387,0.0
2020-01-10,21.0,17.0,21.0,16.0,0.0,22.0,0.0,0.0,20.0,12.0,17.292225201072387,0.0
2020-01-11,49.0,0.0,25.0,19.0,70.0,25.0,23.0,0.0,49.0,14.0,36.72922252010724,0.0
2020-01-12,23.0,19.0,48.0,18.0,0.0,0.0,42.0,0.0,23.0,13.0,24.932975871313683,0.0
2020-01-13,19.0,0.0,19.0,0.0,17.0,19.0,17.0,16.0,0.0,21.0,17.158176943699733,0.0
2020-01-14,0.0,15.0,19.0,13.0,0.0,0.0,17.0,15.0,17.0,10.0,14.20911528150134,0.0
2020-01-15,39.0,0.0,0.0,15.0,35.0,40.0,0.0,16.0,19.0,0.0,21.98391420911528,0.0
2020-01-16,20.0,17.0,0.0,16.0,0.0,0.0,19.0,34.0,40.0,12.0,21.17962466487936,0.0
2020-01-17,43.0,17.0,0.0,16.0,0.0,0.0,20.0,0.0,21.0,12.0,17.292225201072387,0.0
2020-01-18,24.0,0.0,25.0,0.0,0.0,0.0,23.0,0.0,24.0,0.0,12.8686327077748,0.0
2020-01-19,24.0,0.0,0.0,0.0,0.0,25.0,22.0,19.0,0.0,14.0,13.941018766756034,0.0
2020-01-20,20.0,33.0,42.0,0.0,19.0,21.0,0.0,0.0,20.0,0.0,20.777479892761395,0.0
2020-01-21,19.0,0.0,0.0,15.0,55.0,41.0,37.0,51.0,57.0,12.0,38.47184986595175,0.0
2020-01-22,61.0,100.0,21.0,46.0,57.0,21.0,38.0,17.0,100.0,12.0,63.404825737265426,0.0
2020-01-23,0.0,17.0,21.0,0.0,0.0,22.0,0.0,17.0,0.0,12.0,11.93029490616622,0.0
2020-01-24,64.0,17.0,21.0,16.0,0.0,21.0,19.0,17.0,0.0,0.0,23.45844504021448,0.0
2020-01-25,72.0,60.0,76.0,37.0,45.0,77.0,45.0,0.0,24.0,28.0,62.19839142091154,0.0
2020-01-26,0.0,38.0,24.0,18.0,21.0,25.0,0.0,0.0,44.0,13.0,24.53083109919571,0.0
2020-01-27,97.0,31.0,40.0,15.0,53.0,0.0,18.0,16.0,56.0,0.0,43.69973190348526,0.0
2020-01-28,0.0,32.0,21.0,15.0,0.0,21.0,0.0,0.0,0.0,11.0,13.404825737265416,0.0
2020-01-29,0.0,33.0,0.0,31.0,0.0,22.0,19.0,17.0,0.0,12.0,17.962466487935654,0.0
2020-01-30,21.0,17.0,21.0,16.0,0.0,43.0,19.0,17.0,20.0,12.0,24.932975871313683,0.0
2020-01-31,43.0,71.0,23.0,0.0,19.0,22.0,20.0,36.0,21.0,25.0,37.53351206434317,0.0
2020-02-01,0.0,20.0,0.0,0.0,22.0,50.0,0.0,0.0,24.0,0.0,15.549597855227885,0.0
2020-02-02,23.0,0.0,46.0,18.0,0.0,48.0,21.0,0.0,22.0,13.0,25.60321715817695,0.0
2020-02-03,37.0,15.0,19.0,28.0,17.0,38.0,17.0,16.0,36.0,0.0,29.89276139410188,0.0
2020-02-04,20.0,16.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,7.238605898123325,0.0
2020-02-05,21.0,17.0,85.0,47.0,37.0,43.0,94.0,35.0,0.0,35.0,55.49597855227882,0.0
2020-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-07,84.0,17.0,22.0,16.0,57.0,44.0,40.0,17.0,20.0,36.0,47.3190348525469,0.0
2020-02-08,24.0,20.0,26.0,0.0,45.0,26.0,0.0,21.0,24.0,0.0,24.932975871313683,0.0
2020-02-09,24.0,19.0,74.0,71.0,42.0,73.0,87.0,58.0,46.0,27.0,69.83914209115282,0.0
