date,/m/0b76bty_0,/m/0b76bty_1,/m/0b76bty_2,/m/0b76bty_3,/m/0b76bty_4,/m/0b76bty_5,/m/0b76bty_6,/m/0b76bty_7,/m/0b76bty_8,/m/0b76bty_9,/m/0b76bty,batch_id
2020-01-01,39.0,20.0,20.0,20.0,61.0,69.0,76.28865979381443,23.0,0.0,51.0,50.77492098980112,0.0
2020-01-02,0.0,34.0,0.0,0.0,0.0,0.0,42.2680412371134,20.0,17.0,0.0,15.16305772919858,0.0
2020-01-03,52.0,52.0,18.0,54.0,53.0,40.0,21.649484536082475,100.0,35.0,44.0,62.87141693923459,0.0
2020-01-04,18.0,19.0,19.0,38.0,38.0,43.0,0.0,85.0,0.0,47.0,41.09772423025435,0.0
2020-01-05,18.0,37.0,0.0,19.0,37.0,42.0,22.68041237113402,21.0,19.0,23.0,31.95186243254806,0.0
2020-01-06,0.0,36.0,55.0,18.0,36.0,62.0,0.0,0.0,36.0,23.0,35.60910307898259,0.0
2020-01-07,17.0,0.0,17.0,17.0,51.0,39.0,43.29896907216495,39.0,0.0,0.0,29.89276694406492,0.0
2020-01-08,0.0,0.0,0.0,17.0,17.0,0.0,0.0,0.0,17.0,0.0,6.82730923694779,0.0
2020-01-09,33.0,0.0,34.0,52.0,17.0,38.0,20.61855670103093,19.0,51.0,21.0,38.23541589036558,0.0
2020-01-10,34.0,35.0,0.0,0.0,53.0,40.0,0.0,20.0,0.0,22.0,27.30923694779116,0.0
2020-01-11,56.0,19.0,20.0,39.0,20.0,66.0,48.45360824742268,65.0,19.0,49.0,53.74211623124802,0.0
2020-01-12,18.0,0.0,0.0,0.0,18.0,20.0,22.68041237113402,0.0,0.0,0.0,10.532853061731462,0.0
2020-01-13,14.0,15.0,15.0,0.0,15.0,34.0,18.55670103092784,0.0,30.0,37.0,23.90317282877213,0.0
2020-01-14,14.0,14.0,29.0,29.0,30.0,33.0,18.55670103092784,17.0,44.0,18.0,33.00625181136918,0.0
2020-01-15,16.0,33.0,34.0,17.0,0.0,0.0,42.2680412371134,19.0,0.0,21.0,24.40000552036324,0.0
2020-01-16,0.0,34.0,17.0,17.0,0.0,58.0,43.29896907216495,20.0,35.0,43.0,35.782994521039484,0.0
2020-01-17,34.0,17.0,18.0,18.0,18.0,20.0,21.649484536082475,0.0,0.0,0.0,19.63179177189859,0.0
2020-01-18,19.0,0.0,19.0,19.0,19.0,22.0,0.0,43.0,38.0,24.0,27.17536813922356,0.0
2020-01-19,18.0,18.0,18.0,0.0,18.0,20.0,0.0,20.0,0.0,22.0,17.9384203480589,0.0
2020-01-20,32.0,32.0,66.0,66.0,65.0,37.0,20.61855670103093,19.0,33.0,20.0,52.29164078996398,0.0
2020-01-21,50.0,17.0,51.0,0.0,17.0,38.0,21.649484536082475,19.0,0.0,21.0,31.41224692584772,0.0
2020-01-22,17.0,17.0,88.0,17.0,17.0,59.0,21.649484536082475,20.0,35.0,0.0,39.042769014201134,0.0
