date,/m/0cjf0_0,/m/0cjf0_1,/m/0cjf0_2,/m/0cjf0_3,/m/0cjf0_4,/m/0cjf0_5,/m/0cjf0_6,/m/0cjf0_7,/m/0cjf0_8,/m/0cjf0_9,/m/0cjf0,batch_id
2020-01-01,16.0,27.0,34.0,36.0,17.0,37.0,17.0,22.0,12.0,27.0,29.411764705882355,0.0
2020-01-02,13.0,29.0,14.0,54.0,37.0,16.0,14.0,25.0,15.0,23.0,28.81152460984394,0.0
2020-01-03,20.0,29.0,36.0,38.0,59.0,48.0,14.0,43.0,26.0,40.0,42.37695078031212,0.0
2020-01-04,43.0,62.0,15.0,41.0,55.0,42.0,76.0,39.0,22.0,24.0,50.30012004801921,0.0
2020-01-05,51.0,38.0,23.0,33.0,32.0,34.0,31.0,13.0,22.0,50.0,39.25570228091237,0.0
2020-01-06,13.0,29.0,21.0,30.0,36.0,23.0,55.0,18.0,10.0,28.0,31.572629051620652,0.0
2020-01-07,33.0,12.0,35.0,23.0,43.0,23.0,35.0,24.0,25.0,34.0,34.45378151260504,0.0
2020-01-08,26.0,34.0,28.0,22.0,29.0,31.0,34.0,48.0,20.0,28.0,36.01440576230492,0.0
2020-01-09,40.0,29.0,42.0,46.0,81.0,63.0,71.0,55.0,46.0,6.0,57.50300120048018,0.0
2020-01-10,34.0,42.0,30.0,47.0,38.0,65.0,58.0,19.0,26.0,47.0,48.73949579831933,0.0
2020-01-11,53.0,26.0,41.0,43.0,33.0,36.0,32.0,42.0,23.0,13.0,41.05642256902762,0.0
2020-01-12,7.0,32.0,23.0,17.0,24.0,9.0,31.0,20.0,11.0,19.0,23.169267707082835,0.0
2020-01-13,12.0,0.0,19.0,14.0,13.0,14.0,19.0,22.0,9.0,10.0,15.846338535414164,0.0
2020-01-14,40.0,30.0,44.0,27.0,38.0,41.0,37.0,32.0,9.0,25.0,38.775510204081634,0.0
2020-01-15,20.0,11.0,21.0,0.0,29.0,23.0,21.0,24.0,20.0,23.0,23.049219687875148,0.0
2020-01-16,54.0,59.0,36.0,62.0,51.0,48.0,21.0,37.0,21.0,46.0,52.22088835534214,0.0
2020-01-17,28.0,24.0,82.0,48.0,38.0,41.0,22.0,38.0,42.0,12.0,45.01800720288114,0.0
2020-01-18,30.0,32.0,40.0,43.0,58.0,44.0,40.0,27.0,34.0,71.0,50.30012004801921,0.0
2020-01-19,44.0,25.0,55.0,66.0,55.0,43.0,54.0,46.0,28.0,31.0,53.66146458583434,0.0
2020-01-20,32.0,62.0,48.0,59.0,35.0,53.0,34.0,47.0,35.0,49.0,54.50180072028812,0.0
2020-01-21,39.0,17.0,28.0,22.0,51.0,8.0,49.0,30.0,15.0,17.0,33.13325330132053,0.0
2020-01-22,27.0,29.0,50.0,54.0,67.0,48.0,21.0,55.0,20.0,29.0,48.01920768307321,0.0
2020-01-23,94.0,64.0,87.0,69.0,45.0,96.0,71.0,68.0,36.0,41.0,80.55222088835534,0.0
2020-01-24,42.0,19.0,15.0,48.0,31.0,49.0,15.0,39.0,22.0,24.0,36.49459783913566,0.0
2020-01-25,46.0,61.0,66.0,54.0,68.0,100.0,41.0,29.0,30.0,33.0,63.385354141656656,0.0
2020-01-26,58.0,57.0,78.0,100.0,80.0,77.0,98.0,40.0,100.0,100.0,94.59783913565428,0.0
2020-01-27,63.0,45.0,34.0,80.0,71.0,53.0,40.0,35.0,58.0,55.0,64.10564225690277,0.0
2020-01-28,46.0,56.0,63.0,82.0,50.0,100.0,83.0,96.0,45.0,45.0,79.95198079231692,0.0
2020-01-29,54.0,23.0,43.0,76.0,74.0,56.0,64.0,55.0,56.0,17.0,62.18487394957983,0.0
2020-01-30,20.0,36.0,36.0,31.0,60.0,40.0,43.0,50.0,36.0,41.0,47.17887154861944,0.0
2020-01-31,49.0,43.0,67.0,56.0,31.0,74.0,44.0,45.0,27.0,54.0,58.82352941176471,0.0
2020-02-01,54.0,88.0,50.0,99.0,51.0,83.0,57.0,29.0,42.0,54.0,72.86914765906363,0.0
2020-02-02,100.0,100.0,100.0,74.0,95.0,76.0,68.0,100.0,71.0,49.0,100.0,0.0
2020-02-03,41.0,36.0,63.0,54.0,65.0,55.0,68.0,37.0,40.0,35.0,59.303721488595436,0.0
2020-02-04,51.0,34.0,55.0,74.0,50.0,76.0,34.0,48.0,54.0,50.0,63.145258103241304,0.0
2020-02-05,40.0,23.0,43.0,61.0,44.0,55.0,42.0,43.0,36.0,17.0,48.499399759903966,0.0
2020-02-06,34.0,53.0,44.0,39.0,37.0,64.0,28.0,38.0,31.0,29.0,47.659063625450194,0.0
2020-02-07,28.0,37.0,23.0,24.0,39.0,25.0,37.0,25.0,16.0,24.0,33.373349339735896,0.0
2020-02-08,54.0,48.0,75.0,63.0,70.0,83.0,100.0,51.0,71.0,34.0,77.91116446578633,0.0
2020-02-09,51.0,45.0,47.0,33.0,40.0,17.0,38.0,14.0,33.0,31.0,41.896758703481396,0.0
2020-02-10,55.0,16.0,53.0,49.0,47.0,51.0,0.0,45.0,28.0,26.0,44.417767106842746,0.0
2020-02-11,26.0,22.0,55.0,36.0,50.0,23.0,47.0,18.0,15.0,39.0,39.7358943577431,0.0
2020-02-12,52.0,23.0,70.0,74.0,50.0,61.0,48.0,18.0,30.0,28.0,54.50180072028812,0.0
2020-02-13,20.0,23.0,36.0,54.0,52.0,40.0,49.0,31.0,26.0,29.0,43.2172869147659,0.0
2020-02-14,20.0,12.0,15.0,24.0,23.0,40.0,44.0,25.0,31.0,18.0,30.252100840336137,0.0
2020-02-15,46.0,34.0,49.0,62.0,50.0,37.0,73.0,49.0,23.0,40.0,55.582232893157254,0.0
2020-02-16,14.0,31.0,38.0,16.0,32.0,42.0,54.0,26.0,11.0,25.0,34.693877551020414,0.0
2020-02-17,13.0,45.0,34.0,22.0,35.0,23.0,20.0,18.0,15.0,22.0,29.651860744297718,0.0
2020-02-18,19.0,44.0,61.0,51.0,56.0,30.0,47.0,53.0,24.0,45.0,51.62064825930372,0.0
2020-02-19,13.0,22.0,14.0,37.0,14.0,8.0,27.0,29.0,29.0,17.0,25.210084033613445,0.0
2020-02-20,53.0,46.0,43.0,68.0,51.0,16.0,28.0,43.0,25.0,17.0,46.8187274909964,0.0
2020-02-21,40.0,18.0,59.0,39.0,52.0,24.0,29.0,19.0,36.0,52.0,44.177671068427365,0.0
2020-02-22,23.0,53.0,24.0,53.0,51.0,64.0,24.0,35.0,24.0,46.0,47.659063625450194,0.0
2020-02-23,27.0,24.0,15.0,39.0,22.0,64.0,43.0,44.0,26.0,18.0,38.655462184873954,0.0
2020-02-24,51.0,39.0,53.0,29.0,41.0,96.0,40.0,52.0,43.0,38.0,57.863145258103245,0.0
2020-02-25,61.0,32.0,33.0,64.0,41.0,36.0,59.0,57.0,24.0,37.0,53.301320528211285,0.0
2020-02-26,31.0,27.0,47.0,29.0,48.0,52.0,40.0,35.0,29.0,16.0,42.49699879951981,0.0
2020-02-27,45.0,39.0,56.0,73.0,50.0,61.0,75.0,36.0,44.0,27.0,60.74429771908764,0.0
2020-02-28,0.0,6.0,36.0,39.0,23.0,32.0,21.0,12.0,20.0,24.0,25.570228091236487,0.0
2020-02-29,22.0,25.0,31.0,33.0,24.0,43.0,23.0,46.0,17.0,25.0,34.693877551020414,0.0
2020-03-01,21.0,30.0,37.0,48.0,15.0,57.0,15.0,32.0,27.0,42.0,38.895558223289314,0.0
2020-03-02,44.0,55.0,67.0,43.0,49.0,60.0,53.0,23.0,24.0,38.0,54.74189675870348,0.0
2020-03-03,55.0,54.0,40.0,49.0,34.0,43.0,65.0,45.0,52.0,32.0,56.30252100840336,0.0
2020-03-04,65.0,56.0,49.0,74.0,57.0,53.0,34.0,42.0,35.0,39.0,60.504201680672274,0.0
2020-03-05,33.0,17.0,28.0,30.0,29.0,23.0,28.0,55.0,40.0,40.0,38.775510204081634,0.0
2020-03-06,52.0,34.0,42.0,75.0,58.0,47.0,7.0,42.0,25.0,34.0,49.93997599039616,0.0
2020-03-07,43.0,49.0,46.0,65.0,62.0,68.0,23.0,52.0,27.0,25.0,55.22208883553422,0.0
2020-03-08,21.0,25.0,45.0,32.0,31.0,50.0,45.0,39.0,11.0,43.0,41.05642256902762,0.0
2020-03-09,30.0,21.0,39.0,35.0,27.0,29.0,26.0,28.0,28.0,26.0,34.693877551020414,0.0
2020-03-10,42.0,47.0,52.0,68.0,87.0,64.0,57.0,50.0,27.0,41.0,64.22569027611044,0.0
2020-03-11,24.0,20.0,25.0,61.0,13.0,42.0,50.0,22.0,32.0,26.0,37.81512605042017,0.0
2020-03-12,24.0,57.0,19.0,61.0,59.0,84.0,56.0,28.0,45.0,46.0,57.50300120048018,0.0
2020-03-13,37.0,43.0,72.0,64.0,55.0,73.0,65.0,29.0,43.0,32.0,61.58463385354142,0.0
2020-03-14,42.0,49.0,75.0,40.0,100.0,58.0,59.0,51.0,43.0,42.0,67.10684273709484,0.0
2020-03-15,39.0,69.0,42.0,82.0,58.0,46.0,55.0,60.0,50.0,56.0,66.86674669867948,0.0
2020-03-16,74.0,59.0,67.0,52.0,63.0,54.0,67.0,37.0,43.0,49.0,67.82713085234094,0.0
2020-03-17,30.0,37.0,38.0,48.0,53.0,35.0,51.0,55.0,46.0,26.0,50.30012004801921,0.0
2020-03-18,64.0,55.0,54.0,51.0,70.0,45.0,73.0,41.0,49.0,49.0,66.14645858343337,0.0
2020-03-19,31.0,83.0,54.0,50.0,62.0,81.0,33.0,58.0,53.0,65.0,68.42737094837935,0.0
2020-03-20,43.0,37.0,58.0,62.0,27.0,64.0,51.0,39.0,42.0,36.0,55.10204081632654,0.0
2020-03-21,6.0,17.0,27.0,43.0,35.0,23.0,20.0,6.0,19.0,22.0,26.17046818727491,0.0
2020-03-22,50.0,27.0,48.0,36.0,55.0,37.0,46.0,35.0,39.0,32.0,48.61944777911165,0.0
2020-03-23,32.0,14.0,29.0,25.0,53.0,38.0,34.0,30.0,16.0,23.0,35.29411764705883,0.0
2020-03-24,35.0,10.0,44.0,7.0,39.0,14.0,19.0,27.0,23.0,15.0,27.97118847539016,0.0
2020-03-25,24.0,21.0,45.0,54.0,33.0,21.0,44.0,22.0,32.0,20.0,37.935174069627855,0.0
2020-03-26,30.0,26.0,38.0,27.0,52.0,56.0,56.0,33.0,14.0,31.0,43.57743097238895,0.0
2020-03-27,30.0,21.0,19.0,27.0,33.0,21.0,38.0,27.0,32.0,21.0,32.29291716686675,0.0
2020-03-28,36.0,19.0,38.0,33.0,24.0,34.0,8.0,20.0,22.0,12.0,29.53181272509004,0.0
2020-03-29,26.0,11.0,34.0,44.0,21.0,15.0,20.0,23.0,24.0,16.0,28.09123649459784,0.0
2020-03-30,34.0,15.0,18.0,13.0,25.0,13.0,35.0,21.0,30.0,24.0,27.37094837935174,0.0
2020-03-31,38.0,34.0,24.0,32.0,24.0,39.0,59.0,46.0,30.0,0.0,39.13565426170468,0.0
2020-04-01,29.0,30.0,37.0,46.0,26.0,27.0,25.0,42.0,13.0,20.0,35.414165666266506,0.0
2020-04-02,18.0,26.0,38.0,34.0,39.0,14.0,13.0,16.0,23.0,20.0,28.931572629051622,0.0
2020-04-03,6.0,26.0,26.0,34.0,26.0,28.0,44.0,27.0,27.0,31.0,33.01320528211285,0.0
2020-04-04,21.0,6.0,23.0,24.0,39.0,25.0,7.0,0.0,11.0,18.0,20.88835534213685,0.0
2020-04-05,0.0,6.0,7.0,32.0,15.0,8.0,15.0,6.0,11.0,6.0,12.725090036014404,0.0
2020-04-06,6.0,10.0,19.0,33.0,32.0,14.0,12.0,5.0,13.0,10.0,18.487394957983195,0.0
2020-04-07,49.0,27.0,33.0,14.0,20.0,50.0,33.0,17.0,33.0,26.0,36.25450180072029,0.0
2020-04-08,25.0,33.0,13.0,28.0,21.0,37.0,13.0,17.0,33.0,16.0,28.33133253301321,0.0
2020-04-09,19.0,34.0,42.0,37.0,43.0,54.0,21.0,18.0,20.0,22.0,37.21488595438176,0.0
2020-04-10,14.0,25.0,15.0,32.0,23.0,33.0,30.0,20.0,16.0,24.0,27.85114045618248,0.0
