date,/m/01b_06_0,/m/01b_06_1,/m/01b_06_2,/m/01b_06_3,/m/01b_06_4,/m/01b_06_5,/m/01b_06_6,/m/01b_06_7,/m/01b_06_8,/m/01b_06_9,/m/01b_06,batch_id
2020-01-01,12.0,14.0,17.0,13.0,14.0,11.0,14.0,15.0,14.0,10.0,13.453815261044177,0
2020-01-02,13.0,11.0,11.0,12.0,10.0,13.0,12.0,13.0,12.0,14.0,12.14859437751004,0
2020-01-03,10.0,9.0,12.0,12.0,14.0,15.0,11.0,15.0,9.0,10.0,11.74698795180723,0
2020-01-04,13.0,10.0,13.0,12.0,14.0,14.0,10.0,13.0,8.0,13.0,12.048192771084338,0
2020-01-05,13.0,12.0,16.0,12.0,15.0,10.0,14.0,18.0,12.0,16.0,13.855421686746988,0
2020-01-06,10.0,10.0,14.0,14.0,13.0,16.0,12.0,11.0,10.0,12.0,12.248995983935744,0
2020-01-07,12.0,12.0,13.0,10.0,14.0,13.0,10.0,14.0,9.0,14.0,12.14859437751004,0
2020-01-08,10.0,13.0,13.0,12.0,11.0,12.0,12.0,12.0,12.0,13.0,12.048192771084338,0
2020-01-09,14.0,17.0,12.0,14.0,15.0,17.0,17.0,13.0,12.0,12.0,14.357429718875503,0
2020-01-10,7.0,11.0,14.0,13.0,12.0,12.0,11.0,14.0,9.0,13.0,11.646586345381527,0
2020-01-11,14.0,10.0,13.0,11.0,12.0,9.0,17.0,11.0,11.0,11.0,11.947791164658636,0
2020-01-12,10.0,11.0,15.0,11.0,12.0,11.0,11.0,14.0,10.0,11.0,11.646586345381527,0
2020-01-13,12.0,12.0,12.0,12.0,11.0,12.0,12.0,13.0,11.0,12.0,11.947791164658636,0
2020-01-14,12.0,14.0,13.0,12.0,14.0,18.0,16.0,18.0,13.0,15.0,14.55823293172691,0
2020-01-15,16.0,17.0,14.0,17.0,13.0,14.0,14.0,15.0,14.0,16.0,15.060240963855422,0
2020-01-16,17.0,16.0,19.0,20.0,15.0,20.0,18.0,21.0,12.0,16.0,17.469879518072286,0
2020-01-17,12.0,13.0,15.0,16.0,11.0,12.0,10.0,13.0,10.0,8.0,12.048192771084338,0
2020-01-18,14.0,13.0,11.0,12.0,13.0,15.0,14.0,20.0,13.0,13.0,13.855421686746988,0
2020-01-19,9.0,11.0,10.0,11.0,12.0,14.0,11.0,11.0,15.0,11.0,11.546184738955825,0
2020-01-20,11.0,16.0,13.0,13.0,12.0,13.0,17.0,12.0,12.0,14.0,13.353413654618475,0
2020-01-21,14.0,14.0,15.0,16.0,15.0,13.0,12.0,15.0,17.0,14.0,14.55823293172691,0
2020-01-22,19.0,17.0,18.0,21.0,19.0,19.0,21.0,17.0,13.0,15.0,17.9718875502008,0
2020-01-23,11.0,13.0,17.0,20.0,15.0,18.0,16.0,14.0,14.0,13.0,15.160642570281125,0
2020-01-24,17.0,19.0,16.0,15.0,16.0,18.0,13.0,18.0,16.0,15.0,16.365461847389557,0
2020-01-25,21.0,19.0,22.0,24.0,19.0,17.0,18.0,22.0,19.0,20.0,20.18072289156627,0
2020-01-26,17.0,15.0,20.0,20.0,15.0,21.0,13.0,19.0,17.0,13.0,17.06827309236948,0
2020-01-27,16.0,25.0,25.0,16.0,18.0,21.0,20.0,20.0,14.0,19.0,19.477911646586342,0
2020-01-28,20.0,21.0,18.0,17.0,16.0,20.0,18.0,23.0,18.0,21.0,19.27710843373494,0
2020-01-29,21.0,16.0,24.0,20.0,18.0,20.0,18.0,22.0,18.0,17.0,19.477911646586342,0
2020-01-30,16.0,21.0,21.0,18.0,20.0,20.0,22.0,19.0,15.0,16.0,18.87550200803213,0
