date,/m/0b76bty_0,/m/0b76bty_1,/m/0b76bty_2,/m/0b76bty_3,/m/0b76bty_4,/m/0b76bty_5,/m/0b76bty_6,/m/0b76bty_7,/m/0b76bty_8,/m/0b76bty_9,/m/0b76bty,batch_id
2020-01-01,0.0,0.0,0.0,0.0,0.0,16.0,19.0,26.0,0.0,15.0,9.806451612903226,0.0
2020-01-02,0.0,12.0,14.0,0.0,0.0,13.0,0.0,0.0,0.0,13.0,6.709677419354839,0.0
2020-01-03,25.0,37.0,14.0,26.0,0.0,14.0,17.0,11.0,23.0,26.0,24.90322580645161,0.0
2020-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-05,14.0,14.0,16.0,14.0,14.0,15.0,37.0,12.0,0.0,14.0,19.35483870967742,0.0
2020-01-06,12.0,12.0,0.0,24.0,12.0,13.0,32.0,21.0,0.0,12.0,17.806451612903224,0.0
2020-01-07,12.0,0.0,13.0,35.0,12.0,25.0,31.0,0.0,32.0,24.0,23.741935483870964,0.0
2020-01-08,0.0,11.0,26.0,12.0,36.0,0.0,0.0,10.0,0.0,0.0,12.258064516129032,0.0
2020-01-09,0.0,12.0,13.0,24.0,12.0,13.0,16.0,11.0,54.0,24.0,23.096774193548384,0.0
2020-01-10,12.0,12.0,14.0,25.0,0.0,27.0,0.0,11.0,0.0,13.0,14.709677419354838,0.0
2020-01-11,14.0,0.0,16.0,14.0,0.0,0.0,0.0,25.0,0.0,0.0,8.903225806451612,0.0
2020-01-12,14.0,0.0,0.0,41.0,14.0,30.0,0.0,37.0,0.0,14.0,19.35483870967742,0.0
2020-01-13,22.0,43.0,25.0,22.0,34.0,36.0,0.0,30.0,30.0,34.0,35.61290322580645,0.0
2020-01-14,21.0,31.0,49.0,11.0,11.0,35.0,71.0,28.0,29.0,0.0,36.903225806451616,0.0
2020-01-15,0.0,23.0,27.0,0.0,12.0,13.0,31.0,21.0,0.0,24.0,19.483870967741936,0.0
2020-01-16,12.0,0.0,14.0,12.0,13.0,0.0,16.0,11.0,11.0,12.0,13.03225806451613,0.0
2020-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-18,42.0,14.0,32.0,28.0,15.0,61.0,0.0,38.0,26.0,43.0,38.58064516129032,0.0
2020-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-20,0.0,23.0,0.0,24.0,12.0,13.0,16.0,10.0,11.0,12.0,15.612903225806452,0.0
2020-01-21,12.0,12.0,27.0,12.0,12.0,13.0,16.0,11.0,11.0,0.0,16.258064516129032,0.0
2020-01-22,12.0,12.0,14.0,12.0,0.0,0.0,16.0,0.0,11.0,12.0,11.483870967741936,0.0
2020-01-23,12.0,0.0,27.0,12.0,0.0,13.0,32.0,0.0,22.0,12.0,16.774193548387096,0.0
2020-01-24,25.0,12.0,28.0,12.0,0.0,13.0,17.0,22.0,23.0,25.0,22.83870967741936,0.0
2020-01-25,0.0,14.0,48.0,0.0,29.0,0.0,58.0,13.0,39.0,0.0,25.935483870967744,0.0
2020-01-26,14.0,13.0,31.0,0.0,0.0,15.0,0.0,12.0,13.0,14.0,14.451612903225806,0.0
2020-01-27,0.0,23.0,39.0,12.0,36.0,12.0,15.0,10.0,11.0,12.0,21.93548387096774,0.0
2020-01-28,0.0,0.0,13.0,0.0,0.0,13.0,16.0,0.0,11.0,0.0,6.838709677419355,0.0
2020-01-29,23.0,12.0,40.0,36.0,24.0,25.0,16.0,32.0,11.0,12.0,29.806451612903224,0.0
2020-01-30,36.0,24.0,42.0,12.0,25.0,27.0,49.0,11.0,45.0,37.0,39.74193548387097,0.0
2020-01-31,25.0,12.0,14.0,12.0,13.0,13.0,17.0,11.0,11.0,13.0,18.193548387096776,0.0
2020-02-01,28.0,27.0,32.0,14.0,43.0,45.0,0.0,12.0,26.0,57.0,36.64516129032258,0.0
2020-02-02,14.0,27.0,48.0,14.0,29.0,0.0,0.0,0.0,26.0,29.0,24.12903225806452,0.0
2020-02-03,0.0,0.0,13.0,0.0,0.0,12.0,15.0,0.0,10.0,11.0,7.870967741935484,0.0
2020-02-04,12.0,12.0,13.0,24.0,13.0,13.0,16.0,11.0,11.0,12.0,17.677419354838708,0.0
2020-02-05,48.0,24.0,28.0,24.0,25.0,39.0,33.0,11.0,22.0,25.0,36.0,0.0
2020-02-06,24.0,24.0,14.0,12.0,25.0,0.0,17.0,33.0,33.0,25.0,26.70967741935484,0.0
2020-02-07,0.0,25.0,28.0,0.0,0.0,14.0,0.0,0.0,0.0,13.0,10.32258064516129,0.0
2020-02-08,43.0,0.0,16.0,0.0,30.0,0.0,38.0,13.0,0.0,14.0,19.870967741935484,0.0
2020-02-09,40.0,26.0,15.0,13.0,14.0,15.0,53.0,24.0,12.0,14.0,29.161290322580644,0.0
2020-02-10,23.0,22.0,39.0,34.0,36.0,13.0,46.0,31.0,21.0,24.0,37.29032258064516,0.0
2020-02-11,11.0,11.0,13.0,12.0,24.0,13.0,15.0,10.0,0.0,24.0,17.161290322580644,0.0
2020-02-12,23.0,23.0,27.0,12.0,12.0,13.0,31.0,11.0,11.0,12.0,22.580645161290324,0.0
2020-02-13,24.0,24.0,0.0,24.0,12.0,26.0,49.0,11.0,22.0,25.0,28.0,0.0
2020-02-14,0.0,25.0,0.0,13.0,0.0,14.0,17.0,0.0,0.0,0.0,8.903225806451612,0.0
2020-02-15,42.0,28.0,16.0,14.0,15.0,0.0,38.0,0.0,13.0,14.0,23.225806451612904,0.0
2020-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-17,24.0,23.0,27.0,0.0,25.0,26.0,0.0,11.0,11.0,24.0,22.06451612903226,0.0
