date,/m/01b_06_0,/m/01b_06_1,/m/01b_06_2,/m/01b_06_3,/m/01b_06_4,/m/01b_06_5,/m/01b_06_6,/m/01b_06_7,/m/01b_06_8,/m/01b_06_9,/m/01b_06_10,/m/01b_06_11,/m/01b_06_12,/m/01b_06_13,/m/01b_06_14,/m/01b_06_15,/m/01b_06_16,/m/01b_06_17,/m/01b_06_18,/m/01b_06_19,/m/01b_06
2020-10-05,68.0,85.0,76.0,51.0,78.0,90.0,86.0,65.0,90.0,78.94736842105263,88.8888888888889,74.0,38.0,100.0,72.0,94.38202247191013,81.0,77.0,79.16666666666667,68.0,88.11673963746915
2020-10-06,96.0,85.0,58.0,71.0,100.0,66.0,100.0,100.0,51.0,75.78947368421052,86.86868686868686,75.0,63.0,61.0,96.0,91.0112359550562,87.0,88.0,92.70833333333331,64.0,91.94901913709695
2020-10-07,56.0,59.0,42.0,34.0,46.0,70.0,30.0,43.0,52.0,24.210526315789476,42.42424242424242,49.0,59.0,43.0,31.0,66.29213483146067,38.0,29.0,41.66666666666666,55.0,52.08992513801553
2020-10-08,69.0,82.0,51.0,59.0,93.0,57.0,68.0,82.0,73.0,69.47368421052633,78.78787878787878,77.0,64.0,62.0,83.0,73.03370786516854,71.0,50.0,76.04166666666667,65.0,80.27699558678354
2020-10-09,52.0,47.0,34.0,31.0,54.0,40.0,32.0,50.0,50.0,56.842105263157904,38.38383838383838,30.0,68.0,20.0,40.0,60.674157303370784,30.0,53.0,69.79166666666667,49.0,51.80952064151883
2020-10-10,88.0,60.0,46.0,42.0,41.0,31.0,60.0,52.0,71.0,77.89473684210526,68.68686868686869,36.0,74.0,57.0,74.0,79.7752808988764,77.0,50.0,27.08333333333333,56.0,66.83987847584727
2020-10-11,77.0,61.0,47.0,30.0,62.0,54.0,56.0,29.0,40.0,44.21052631578947,53.535353535353536,49.0,75.0,44.0,34.0,59.550561797752806,53.0,33.0,61.45833333333334,28.0,56.67549579276948
2020-10-12,69.0,53.0,68.0,58.0,55.0,81.0,71.0,61.0,59.0,58.94736842105264,71.71717171717172,32.0,46.0,46.0,37.0,80.89887640449439,70.0,31.0,73.95833333333333,55.0,67.35938162114007
2020-10-13,53.0,67.0,40.0,49.0,59.0,75.0,58.0,66.0,59.0,100.0,85.85858585858584,48.0,40.0,42.0,57.0,80.89887640449439,55.0,63.0,48.95833333333334,36.0,67.65650369796992
2020-10-14,79.0,65.0,35.0,48.0,44.0,58.0,60.0,55.0,66.0,61.05263157894736,72.72727272727273,58.0,65.0,89.0,72.0,53.932584269662925,80.0,60.0,76.04166666666667,70.0,72.52106889215237
2020-10-15,50.0,69.0,65.0,47.0,89.0,53.0,99.0,48.0,52.0,49.47368421052632,61.61616161616161,45.0,28.0,47.0,29.0,57.30337078651685,66.0,64.0,40.625,42.0,63.040250096536035
2020-10-16,72.0,66.0,42.0,30.0,68.0,40.0,53.0,45.0,62.0,62.10526315789475,86.86868686868686,63.0,48.0,64.0,43.0,75.28089887640449,64.0,38.0,78.125,58.0,66.26438136935319
2020-10-17,58.0,85.0,69.0,44.0,70.0,65.0,55.0,93.0,60.0,82.10526315789474,82.82828282828281,75.0,59.0,77.0,57.0,84.26966292134831,86.0,63.0,53.125,64.0,79.07520464846641
2020-10-18,58.0,63.0,32.0,39.0,33.0,62.0,80.0,51.0,60.0,82.10526315789474,42.42424242424242,43.0,80.0,62.0,63.0,73.03370786516854,39.0,65.0,70.83333333333333,82.0,67.52383254682339
2020-10-19,80.0,68.0,70.0,38.0,56.0,95.0,72.0,66.0,100.0,92.63157894736842,91.91919191919192,68.0,51.0,80.0,72.0,78.65168539325843,98.0,64.0,100.0,69.0,86.39016951244946
2020-10-20,100.0,100.0,96.0,77.0,68.0,83.0,78.0,73.0,99.0,82.10526315789474,83.83838383838383,100.0,62.0,87.0,100.0,60.674157303370784,100.0,71.0,78.125,71.0,95.51657349497944
2020-10-21,74.0,53.0,53.0,71.0,75.0,77.0,93.0,61.0,76.0,75.78947368421052,71.71717171717172,48.0,68.0,66.0,67.0,87.64044943820225,74.0,81.0,85.41666666666667,74.0,81.89169307186441
2020-10-22,39.0,68.0,46.0,59.0,42.0,62.0,68.0,66.0,55.0,53.68421052631579,46.464646464646464,45.0,63.0,61.0,54.0,67.41573033707866,56.0,36.0,60.41666666666666,42.0,62.35168331748157
2020-10-23,75.0,93.0,79.0,47.0,62.0,73.0,56.0,92.0,82.0,87.36842105263158,79.79797979797979,46.0,61.0,58.0,55.0,85.3932584269663,95.0,84.0,77.08333333333333,89.0,84.47042177176823
2020-10-24,61.0,50.0,62.0,38.0,69.0,43.0,67.0,48.0,39.0,42.10526315789474,87.87878787878788,46.0,82.0,69.0,56.0,52.80898876404493,58.0,51.0,56.25,58.0,64.98661843319003
2020-10-25,74.0,57.0,73.0,40.0,59.0,71.0,59.0,75.0,37.0,78.94736842105263,82.82828282828281,61.0,75.0,65.0,35.0,83.14606741573034,25.0,69.0,97.91666666666669,44.0,72.1826610427453
2020-10-26,78.0,97.0,70.0,100.0,94.0,81.0,72.0,90.0,96.0,86.31578947368419,91.91919191919192,69.0,100.0,86.0,64.0,93.25842696629213,89.0,100.0,90.625,100.0,100.0
2020-10-27,76.0,89.0,48.0,57.0,62.0,50.0,97.0,92.0,66.0,61.05263157894736,54.54545454545455,83.0,54.0,59.0,56.0,76.40449438202249,63.0,75.0,71.875,31.0,75.61716495778882
2020-10-28,72.0,71.0,71.0,86.0,59.0,69.0,50.0,64.0,45.0,68.42105263157895,74.74747474747474,39.0,72.0,50.0,61.0,86.51685393258427,77.0,53.0,48.95833333333334,50.0,72.51475120811848
2020-10-29,48.0,38.0,49.0,37.0,49.0,60.0,33.0,46.0,54.0,48.42105263157895,45.45454545454545,40.0,66.0,32.0,36.0,44.943820224719104,47.0,53.0,54.16666666666666,36.0,52.455604871652724
2020-10-30,73.0,55.0,53.0,51.0,85.0,79.0,58.0,82.0,52.0,75.78947368421052,58.585858585858595,49.0,40.0,90.0,43.0,86.51685393258427,61.0,68.0,73.95833333333333,80.0,75.15798204820706
2020-10-31,56.0,74.0,48.0,31.0,35.0,49.0,44.0,26.0,52.0,61.05263157894736,77.77777777777777,34.0,53.0,72.0,51.0,59.550561797752806,53.0,52.0,28.125,52.0,57.6909416623036
2020-11-01,76.0,51.0,73.0,36.0,93.0,37.0,62.0,55.0,65.0,94.73684210526315,88.8888888888889,55.0,80.0,36.0,56.0,44.943820224719104,77.0,53.0,66.66666666666667,49.0,71.46176208155747
2020-11-02,67.0,49.0,50.0,42.0,29.0,51.0,53.0,60.0,55.0,63.157894736842096,56.56565656565657,47.0,79.0,30.0,41.0,46.067415730337075,51.0,42.0,72.91666666666667,50.0,59.18979107775127
2020-11-03,64.0,92.0,52.0,62.0,56.0,57.0,73.0,69.0,66.0,80.0,53.535353535353536,78.0,56.0,61.0,62.0,66.29213483146067,68.0,71.0,72.91666666666667,76.0,76.41039352061094
2020-11-04,72.0,63.0,59.0,44.0,41.0,38.0,41.0,61.0,48.0,55.78947368421053,54.54545454545455,30.0,69.0,53.0,53.0,62.921348314606746,67.0,40.0,56.25,41.0,60.0363380149613
2020-11-05,41.0,33.0,46.0,53.0,39.0,60.0,25.0,61.0,51.0,41.05263157894737,39.39393939393939,41.0,74.0,44.0,56.0,48.31460674157304,39.0,50.0,67.70833333333333,46.0,54.657024746088155
2020-11-06,56.0,76.0,52.0,55.0,69.0,61.0,44.0,33.0,57.0,80.0,58.585858585858595,39.0,70.0,37.0,47.0,76.40449438202249,65.0,24.0,55.20833333333334,40.0,62.6501432090746
