date,/m/01b_06_0,/m/01b_06_1,/m/01b_06_2,/m/01b_06_3,/m/01b_06_4,/m/01b_06_5,/m/01b_06_6,/m/01b_06_7,/m/01b_06_8,/m/01b_06_9,/m/01b_06,batch_id
2020-01-01,10.0,15.0,24.0,0.0,22.0,0.0,35.0,24.0,8.0,29.0,18.073593073593077,0.0
2020-01-02,17.0,6.0,13.0,16.0,9.0,15.0,7.0,7.0,19.0,8.0,12.66233766233766,0.0
2020-01-03,8.0,6.0,6.0,16.0,26.0,15.0,7.0,12.0,0.0,15.0,12.012987012987011,0.0
2020-01-04,19.0,7.0,15.0,18.0,10.0,26.0,23.0,22.0,14.0,0.0,16.666666666666664,0.0
2020-01-05,9.0,13.0,22.0,9.0,20.0,9.0,16.0,22.0,14.0,18.0,16.45021645021645,0.0
2020-01-06,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.7575757575757576,0.0
2020-01-07,8.0,6.0,7.0,8.0,9.0,7.0,7.0,6.0,6.0,7.0,7.683982683982683,0.0
2020-01-08,0.0,6.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,7.0,2.922077922077922,0.0
2020-01-09,33.0,17.0,13.0,16.0,9.0,15.0,35.0,0.0,12.0,16.0,17.965367965367967,0.0
2020-01-10,8.0,12.0,20.0,25.0,18.0,16.0,0.0,20.0,19.0,8.0,15.8008658008658,0.0
2020-01-11,20.0,0.0,8.0,19.0,11.0,18.0,8.0,8.0,8.0,9.0,11.796536796536795,0.0
2020-01-12,9.0,7.0,7.0,0.0,20.0,0.0,0.0,0.0,7.0,9.0,6.385281385281385,0.0
2020-01-13,15.0,11.0,12.0,36.0,8.0,21.0,19.0,12.0,11.0,21.0,17.965367965367967,0.0
2020-01-14,15.0,0.0,17.0,14.0,8.0,14.0,12.0,5.0,0.0,13.0,10.606060606060607,0.0
2020-01-15,8.0,17.0,12.0,8.0,17.0,22.0,20.0,12.0,12.0,15.0,15.476190476190474,0.0
2020-01-16,8.0,0.0,7.0,16.0,9.0,8.0,7.0,13.0,12.0,16.0,10.38961038961039,0.0
2020-01-17,0.0,6.0,7.0,17.0,9.0,8.0,7.0,7.0,6.0,16.0,8.982683982683984,0.0
2020-01-18,0.0,7.0,8.0,0.0,11.0,0.0,8.0,8.0,7.0,9.0,6.277056277056277,0.0
2020-01-19,19.0,7.0,15.0,19.0,21.0,9.0,24.0,22.0,28.0,36.0,21.645021645021643,0.0
2020-01-20,0.0,11.0,19.0,8.0,9.0,7.0,21.0,12.0,6.0,23.0,12.554112554112551,0.0
2020-01-21,16.0,6.0,0.0,16.0,9.0,7.0,0.0,0.0,0.0,15.0,7.467532467532467,0.0
2020-01-22,16.0,12.0,13.0,24.0,9.0,23.0,21.0,6.0,19.0,39.0,19.696969696969692,0.0
2020-01-23,16.0,17.0,33.0,8.0,17.0,0.0,7.0,19.0,13.0,31.0,17.424242424242426,0.0
2020-01-24,8.0,6.0,13.0,16.0,9.0,15.0,7.0,13.0,12.0,8.0,11.58008658008658,0.0
2020-01-25,29.0,7.0,16.0,9.0,21.0,28.0,0.0,15.0,22.0,18.0,17.857142857142858,0.0
2020-01-26,19.0,20.0,22.0,27.0,30.0,53.0,31.0,14.0,7.0,26.0,26.948051948051948,0.0
2020-01-27,47.0,5.0,37.0,22.0,25.0,36.0,33.0,12.0,35.0,14.0,28.787878787878785,0.0
2020-01-28,16.0,11.0,13.0,39.0,35.0,15.0,20.0,6.0,25.0,45.0,24.35064935064935,0.0
2020-01-29,33.0,23.0,25.0,24.0,26.0,23.0,48.0,19.0,38.0,31.0,31.385281385281385,0.0
2020-01-30,58.0,47.0,13.0,49.0,45.0,23.0,35.0,26.0,31.0,54.0,41.23376623376623,0.0
2020-01-31,68.0,49.0,42.0,66.0,73.0,64.0,59.0,40.0,47.0,99.0,65.6926406926407,0.0
2020-02-01,19.0,27.0,32.0,29.0,21.0,18.0,16.0,14.0,22.0,28.0,24.458874458874455,0.0
2020-02-02,37.0,19.0,36.0,45.0,50.0,34.0,23.0,22.0,14.0,34.0,33.98268398268398,0.0
2020-02-03,52.0,21.0,24.0,36.0,33.0,27.0,19.0,6.0,17.0,28.0,28.463203463203463,0.0
2020-02-04,24.0,11.0,26.0,15.0,17.0,23.0,27.0,26.0,31.0,38.0,25.757575757575754,0.0
2020-02-05,25.0,6.0,20.0,24.0,17.0,15.0,7.0,6.0,6.0,8.0,14.5021645021645,0.0
2020-02-06,33.0,17.0,13.0,16.0,9.0,23.0,21.0,13.0,6.0,23.0,18.831168831168828,0.0
2020-02-07,0.0,0.0,7.0,0.0,0.0,0.0,0.0,6.0,0.0,8.0,2.2727272727272725,0.0
2020-02-08,20.0,21.0,24.0,19.0,0.0,9.0,0.0,8.0,0.0,19.0,12.987012987012989,0.0
2020-02-09,38.0,40.0,8.0,55.0,40.0,35.0,24.0,14.0,14.0,9.0,29.97835497835497,0.0
2020-02-10,15.0,5.0,18.0,0.0,8.0,14.0,12.0,17.0,17.0,28.0,14.5021645021645,0.0
2020-02-11,8.0,22.0,0.0,23.0,25.0,14.0,13.0,24.0,18.0,22.0,18.29004329004329,0.0
2020-02-12,8.0,6.0,39.0,24.0,44.0,38.0,21.0,25.0,6.0,15.0,24.458874458874455,0.0
2020-02-13,0.0,6.0,0.0,8.0,9.0,7.0,7.0,18.0,17.0,7.0,8.54978354978355,0.0
2020-02-14,33.0,12.0,20.0,8.0,17.0,22.0,14.0,19.0,19.0,0.0,17.748917748917744,0.0
2020-02-15,0.0,0.0,8.0,9.0,0.0,0.0,0.0,7.0,0.0,0.0,2.5974025974025974,0.0
2020-02-16,18.0,26.0,7.0,36.0,30.0,26.0,15.0,28.0,21.0,35.0,26.19047619047619,0.0
2020-02-17,0.0,5.0,13.0,23.0,8.0,14.0,6.0,0.0,11.0,7.0,9.415584415584414,0.0
2020-02-18,8.0,6.0,0.0,0.0,8.0,0.0,7.0,0.0,0.0,7.0,3.896103896103896,0.0
2020-02-19,16.0,27.0,13.0,15.0,17.0,7.0,13.0,6.0,6.0,7.0,13.744588744588745,0.0
2020-02-20,16.0,28.0,7.0,15.0,34.0,15.0,0.0,18.0,12.0,15.0,17.316017316017316,0.0
2020-02-21,8.0,0.0,7.0,8.0,9.0,8.0,14.0,6.0,0.0,8.0,7.359307359307359,0.0
2020-02-22,28.0,7.0,15.0,18.0,29.0,26.0,0.0,28.0,0.0,26.0,19.155844155844157,0.0
2020-02-23,9.0,26.0,8.0,9.0,10.0,9.0,8.0,7.0,7.0,9.0,11.038961038961038,0.0
2020-02-24,57.0,13.0,45.0,28.0,41.0,45.0,8.0,22.0,28.0,36.0,34.95670995670995,0.0
2020-02-25,0.0,11.0,13.0,8.0,35.0,15.0,20.0,19.0,12.0,0.0,14.393939393939393,0.0
2020-02-26,24.0,40.0,59.0,32.0,43.0,45.0,27.0,38.0,43.0,54.0,43.83116883116883,0.0
2020-02-27,48.0,34.0,39.0,40.0,26.0,45.0,21.0,31.0,30.0,45.0,38.85281385281385,0.0
2020-02-28,26.0,43.0,14.0,17.0,38.0,24.0,29.0,33.0,40.0,24.0,31.16883116883117,0.0
2020-02-29,55.0,13.0,45.0,18.0,40.0,35.0,24.0,14.0,29.0,0.0,29.545454545454543,0.0
2020-03-01,28.0,20.0,15.0,36.0,30.0,26.0,31.0,28.0,21.0,17.0,27.27272727272727,0.0
2020-03-02,23.0,38.0,25.0,22.0,25.0,28.0,40.0,36.0,18.0,35.0,31.385281385281385,0.0
2020-03-03,23.0,22.0,0.0,30.0,33.0,28.0,13.0,12.0,0.0,29.0,20.562770562770563,0.0
2020-03-04,31.0,11.0,25.0,31.0,50.0,21.0,32.0,30.0,18.0,21.0,29.220779220779217,0.0
2020-03-05,24.0,17.0,6.0,8.0,8.0,15.0,27.0,12.0,0.0,15.0,14.285714285714285,0.0
2020-03-06,57.0,23.0,40.0,16.0,9.0,45.0,56.0,38.0,43.0,16.0,37.12121212121212,0.0
2020-03-07,19.0,27.0,15.0,37.0,21.0,44.0,8.0,14.0,21.0,45.0,27.164502164502164,0.0
2020-03-08,20.0,20.0,31.0,65.0,41.0,44.0,48.0,7.0,52.0,28.0,38.52813852813853,0.0
2020-03-09,38.0,11.0,25.0,52.0,33.0,36.0,32.0,34.0,17.0,29.0,33.22510822510822,0.0
2020-03-10,68.0,42.0,43.0,60.0,49.0,28.0,38.0,24.0,39.0,50.0,47.72727272727273,0.0
2020-03-11,60.0,32.0,25.0,29.0,49.0,21.0,39.0,35.0,46.0,34.0,40.04329004329004,0.0
2020-03-12,64.0,72.0,63.0,63.0,62.0,100.0,60.0,44.0,43.0,68.0,69.15584415584415,0.0
2020-03-13,100.0,100.0,100.0,60.0,100.0,85.0,100.0,100.0,100.0,79.0,100.0,0.0
2020-03-14,71.0,56.0,91.0,70.0,28.0,33.0,65.0,60.0,53.0,100.0,67.85714285714285,0.0
2020-03-15,87.0,24.0,63.0,100.0,47.0,64.0,51.0,95.0,32.0,33.0,64.5021645021645,0.0
2020-03-16,35.0,56.0,52.0,49.0,38.0,52.0,59.0,64.0,44.0,74.0,56.6017316017316,0.0
2020-03-17,95.0,26.0,47.0,80.0,72.0,69.0,37.0,45.0,39.0,62.0,61.9047619047619,0.0
2020-03-18,22.0,36.0,29.0,28.0,47.0,20.0,18.0,34.0,22.0,27.0,30.627705627705627,0.0
2020-03-19,31.0,16.0,32.0,45.0,59.0,37.0,20.0,24.0,35.0,22.0,34.74025974025974,0.0
2020-03-20,32.0,33.0,37.0,45.0,33.0,28.0,33.0,42.0,23.0,29.0,36.25541125541125,0.0
2020-03-21,0.0,13.0,22.0,27.0,39.0,25.0,23.0,14.0,7.0,17.0,20.23809523809524,0.0
2020-03-22,35.0,25.0,43.0,43.0,19.0,41.0,53.0,27.0,27.0,68.0,41.23376623376623,0.0
2020-03-23,14.0,24.0,17.0,7.0,23.0,0.0,29.0,27.0,16.0,26.0,19.805194805194805,0.0
2020-03-24,44.0,31.0,18.0,44.0,16.0,56.0,25.0,23.0,28.0,48.0,36.03896103896104,0.0
2020-03-25,29.0,42.0,23.0,50.0,55.0,41.0,31.0,11.0,22.0,34.0,36.58008658008657,0.0
2020-03-26,37.0,28.0,37.0,44.0,41.0,36.0,19.0,35.0,23.0,50.0,37.87878787878788,0.0
2020-03-27,15.0,21.0,31.0,29.0,32.0,42.0,6.0,23.0,11.0,21.0,25.0,0.0
2020-03-28,37.0,7.0,23.0,9.0,40.0,0.0,0.0,29.0,36.0,26.0,22.4025974025974,0.0
2020-03-29,34.0,18.0,21.0,8.0,27.0,16.0,36.0,26.0,13.0,24.0,24.13419913419913,0.0
2020-03-30,49.0,35.0,11.0,35.0,46.0,33.0,18.0,38.0,31.0,32.0,35.49783549783549,0.0
2020-03-31,28.0,20.0,23.0,27.0,38.0,6.0,24.0,0.0,21.0,39.0,24.458874458874455,0.0
2020-04-01,7.0,15.0,28.0,28.0,38.0,13.0,12.0,22.0,16.0,27.0,22.29437229437229,0.0
2020-04-02,28.0,15.0,11.0,27.0,30.0,20.0,18.0,27.0,11.0,20.0,22.4025974025974,0.0
2020-04-03,43.0,30.0,17.0,14.0,23.0,32.0,30.0,27.0,16.0,20.0,27.27272727272727,0.0
2020-04-04,9.0,12.0,14.0,0.0,19.0,8.0,15.0,7.0,7.0,0.0,9.848484848484848,0.0
2020-04-05,17.0,18.0,28.0,26.0,19.0,8.0,22.0,7.0,20.0,16.0,19.58874458874459,0.0
2020-04-06,7.0,15.0,11.0,20.0,23.0,13.0,6.0,17.0,16.0,13.0,15.259740259740258,0.0
2020-04-07,7.0,5.0,12.0,14.0,0.0,7.0,12.0,11.0,11.0,14.0,10.064935064935066,0.0
2020-04-08,14.0,10.0,17.0,21.0,32.0,20.0,18.0,11.0,22.0,27.0,20.77922077922078,0.0
2020-04-09,7.0,5.0,0.0,7.0,16.0,0.0,12.0,11.0,5.0,7.0,7.575757575757575,0.0
2020-04-10,26.0,31.0,7.0,9.0,56.0,32.0,30.0,40.0,26.0,41.0,32.25108225108225,0.0
2020-04-11,54.0,13.0,36.0,26.0,20.0,17.0,31.0,27.0,7.0,26.0,27.81385281385281,0.0
2020-04-12,24.0,6.0,20.0,16.0,9.0,15.0,13.0,6.0,12.0,8.0,13.96103896103896,0.0
2020-04-13,21.0,20.0,23.0,7.0,38.0,27.0,6.0,22.0,27.0,20.0,22.835497835497836,0.0
2020-04-14,0.0,0.0,17.0,7.0,15.0,19.0,12.0,0.0,11.0,7.0,9.523809523809524,0.0
2020-04-15,14.0,15.0,11.0,7.0,8.0,26.0,12.0,5.0,5.0,13.0,12.554112554112551,0.0
2020-04-16,21.0,5.0,17.0,14.0,24.0,13.0,18.0,11.0,11.0,13.0,15.909090909090908,0.0
2020-04-17,22.0,16.0,24.0,15.0,16.0,7.0,26.0,17.0,28.0,7.0,19.264069264069263,0.0
2020-04-18,18.0,13.0,29.0,18.0,10.0,9.0,8.0,7.0,14.0,9.0,14.610389610389609,0.0
2020-04-19,9.0,13.0,7.0,26.0,10.0,8.0,8.0,14.0,0.0,8.0,11.147186147186147,0.0
2020-04-20,24.0,6.0,6.0,23.0,17.0,7.0,13.0,6.0,12.0,15.0,13.96103896103896,0.0
2020-04-21,8.0,17.0,13.0,24.0,9.0,8.0,21.0,6.0,19.0,23.0,16.017316017316016,0.0
