date,/m/0cjf0_0,/m/0cjf0_1,/m/0cjf0_2,/m/0cjf0_3,/m/0cjf0_4,/m/0cjf0_5,/m/0cjf0_6,/m/0cjf0_7,/m/0cjf0_8,/m/0cjf0_9,/m/0cjf0,batch_id
2020-01-01,21.0,19.0,28.0,22.0,20.0,21.0,24.0,21.0,28.0,20.0,23.504721930745017,0
2020-01-02,29.0,20.0,23.0,15.0,21.0,18.0,17.0,21.0,19.0,19.0,21.196222455403987,0
2020-01-03,30.0,22.0,26.0,23.0,27.0,25.0,24.0,26.0,29.0,26.0,27.072402938090242,0
2020-01-04,23.0,23.0,27.0,27.0,24.0,25.0,25.0,25.0,26.0,28.0,26.547743966421827,0
2020-01-05,27.0,24.0,24.0,21.0,22.0,20.0,24.0,25.0,24.0,21.0,24.34417628541448,0
2020-01-06,27.0,23.0,27.0,23.0,23.0,23.0,23.0,21.0,32.0,23.0,25.708289611752363,0
2020-01-07,23.0,19.0,21.0,20.0,19.0,19.0,19.0,19.0,20.0,20.0,20.881427072402936,0
2020-01-08,26.0,23.0,20.0,23.0,23.0,22.0,25.0,20.0,22.0,21.0,23.6096537250787,0
2020-01-09,30.0,27.0,26.0,23.0,24.0,24.0,27.0,21.0,31.0,27.0,27.28226652675761,0
2020-01-10,25.0,24.0,21.0,23.0,19.0,23.0,23.0,24.0,26.0,22.0,24.134312696747116,0
2020-01-11,30.0,19.0,23.0,26.0,26.0,24.0,23.0,21.0,26.0,23.0,25.288562434417628,0
2020-01-12,31.0,24.0,26.0,26.0,21.0,23.0,26.0,26.0,26.0,24.0,26.547743966421827,0
2020-01-13,28.0,21.0,25.0,27.0,27.0,25.0,30.0,25.0,25.0,32.0,27.806925498426025,0
2020-01-14,26.0,26.0,26.0,26.0,27.0,24.0,28.0,26.0,29.0,30.0,28.121720881427073,0
2020-01-15,24.0,30.0,29.0,26.0,23.0,28.0,25.0,28.0,31.0,25.0,28.226652675760757,0
2020-01-16,30.0,25.0,26.0,26.0,27.0,26.0,25.0,25.0,32.0,24.0,27.911857292759706,0
2020-01-17,28.0,29.0,32.0,25.0,26.0,30.0,29.0,27.0,31.0,26.0,29.69569779643232,0
2020-01-18,27.0,28.0,33.0,26.0,27.0,33.0,33.0,30.0,30.0,32.0,31.37460650577125,0
2020-01-19,37.0,30.0,34.0,27.0,33.0,30.0,31.0,31.0,38.0,39.0,34.62749213011543,0
2020-01-20,27.0,26.0,32.0,30.0,29.0,32.0,28.0,25.0,30.0,30.0,30.32528856243442,0
2020-01-21,32.0,28.0,31.0,29.0,29.0,28.0,32.0,29.0,33.0,32.0,31.794333683105982,0
2020-01-22,35.0,30.0,27.0,28.0,33.0,28.0,30.0,28.0,28.0,33.0,31.479538300104934,0
2020-01-23,36.0,32.0,35.0,34.0,32.0,33.0,42.0,39.0,32.0,36.0,36.83105981112277,0
