iso_code,location,date,icu_patients,hosp_patients
AFG,Afghanistan,2020-02-24,,
AFG,Afghanistan,2020-02-25,,
AFG,Afghanistan,2020-02-26,,
AFG,Afghanistan,2020-02-27,,
AFG,Afghanistan,2020-02-28,,
AFG,Afghanistan,2020-02-29,,
AFG,Afghanistan,2020-03-01,,
AFG,Afghanistan,2020-03-02,,
AFG,Afghanistan,2020-03-03,,
AFG,Afghanistan,2020-03-04,,
AFG,Afghanistan,2020-03-05,,
AFG,Afghanistan,2020-03-06,,
AFG,Afghanistan,2020-03-07,,
AFG,Afghanistan,2020-03-08,,
AFG,Afghanistan,2020-03-09,,
AFG,Afghanistan,2020-03-10,,
AFG,Afghanistan,2020-03-11,,
AFG,Afghanistan,2020-03-12,,
AFG,Afghanistan,2020-03-13,,
AFG,Afghanistan,2020-03-14,,
AFG,Afghanistan,2020-03-15,,
AFG,Afghanistan,2020-03-16,,
AFG,Afghanistan,2020-03-17,,
AFG,Afghanistan,2020-03-18,,
AFG,Afghanistan,2020-03-19,,
AFG,Afghanistan,2020-03-20,,
AFG,Afghanistan,2020-03-21,,
AFG,Afghanistan,2020-03-22,,
AFG,Afghanistan,2020-03-23,,
AFG,Afghanistan,2020-03-24,,
AFG,Afghanistan,2020-03-25,,
AFG,Afghanistan,2020-03-26,,
AFG,Afghanistan,2020-03-27,,
AFG,Afghanistan,2020-03-28,,
AFG,Afghanistan,2020-03-29,,
AFG,Afghanistan,2020-03-30,,
AFG,Afghanistan,2020-03-31,,
AFG,Afghanistan,2020-04-01,,
AFG,Afghanistan,2020-04-02,,
AFG,Afghanistan,2020-04-03,,
AFG,Afghanistan,2020-04-04,,
AFG,Afghanistan,2020-04-05,,
AFG,Afghanistan,2020-04-06,,
AFG,Afghanistan,2020-04-07,,
AFG,Afghanistan,2020-04-08,,
AFG,Afghanistan,2020-04-09,,
AFG,Afghanistan,2020-04-10,,
AFG,Afghanistan,2020-04-11,,
AFG,Afghanistan,2020-04-12,,
AFG,Afghanistan,2020-04-13,,
AFG,Afghanistan,2020-04-14,,
AFG,Afghanistan,2020-04-15,,
AFG,Afghanistan,2020-04-16,,
AFG,Afghanistan,2020-04-17,,
AFG,Afghanistan,2020-04-18,,
AFG,Afghanistan,2020-04-19,,
AFG,Afghanistan,2020-04-20,,
AFG,Afghanistan,2020-04-21,,
AFG,Afghanistan,2020-04-22,,
AFG,Afghanistan,2020-04-23,,
AFG,Afghanistan,2020-04-24,,
AFG,Afghanistan,2020-04-25,,
AFG,Afghanistan,2020-04-26,,
AFG,Afghanistan,2020-04-27,,
AFG,Afghanistan,2020-04-28,,
AFG,Afghanistan,2020-04-29,,
AFG,Afghanistan,2020-04-30,,
AFG,Afghanistan,2020-05-01,,
AFG,Afghanistan,2020-05-02,,
AFG,Afghanistan,2020-05-03,,
AFG,Afghanistan,2020-05-04,,
AFG,Afghanistan,2020-05-05,,
AFG,Afghanistan,2020-05-06,,
AFG,Afghanistan,2020-05-07,,
AFG,Afghanistan,2020-05-08,,
AFG,Afghanistan,2020-05-09,,
AFG,Afghanistan,2020-05-10,,
AFG,Afghanistan,2020-05-11,,
AFG,Afghanistan,2020-05-12,,
AFG,Afghanistan,2020-05-13,,
AFG,Afghanistan,2020-05-14,,
AFG,Afghanistan,2020-05-15,,
AFG,Afghanistan,2020-05-16,,
AFG,Afghanistan,2020-05-17,,
AFG,Afghanistan,2020-05-18,,
AFG,Afghanistan,2020-05-19,,
AFG,Afghanistan,2020-05-20,,
AFG,Afghanistan,2020-05-21,,
AFG,Afghanistan,2020-05-22,,
AFG,Afghanistan,2020-05-23,,
AFG,Afghanistan,2020-05-24,,
AFG,Afghanistan,2020-05-25,,
AFG,Afghanistan,2020-05-26,,
AFG,Afghanistan,2020-05-27,,
AFG,Afghanistan,2020-05-28,,
AFG,Afghanistan,2020-05-29,,
AFG,Afghanistan,2020-05-30,,
AFG,Afghanistan,2020-05-31,,
AFG,Afghanistan,2020-06-01,,
AFG,Afghanistan,2020-06-02,,
AFG,Afghanistan,2020-06-03,,
AFG,Afghanistan,2020-06-04,,
AFG,Afghanistan,2020-06-05,,
AFG,Afghanistan,2020-06-06,,
AFG,Afghanistan,2020-06-07,,
AFG,Afghanistan,2020-06-08,,
AFG,Afghanistan,2020-06-09,,
AFG,Afghanistan,2020-06-10,,
AFG,Afghanistan,2020-06-11,,
AFG,Afghanistan,2020-06-12,,
AFG,Afghanistan,2020-06-13,,
AFG,Afghanistan,2020-06-14,,
AFG,Afghanistan,2020-06-15,,
AFG,Afghanistan,2020-06-16,,
AFG,Afghanistan,2020-06-17,,
AFG,Afghanistan,2020-06-18,,
AFG,Afghanistan,2020-06-19,,
AFG,Afghanistan,2020-06-20,,
AFG,Afghanistan,2020-06-21,,
AFG,Afghanistan,2020-06-22,,
AFG,Afghanistan,2020-06-23,,
AFG,Afghanistan,2020-06-24,,
AFG,Afghanistan,2020-06-25,,
AFG,Afghanistan,2020-06-26,,
AFG,Afghanistan,2020-06-27,,
AFG,Afghanistan,2020-06-28,,
AFG,Afghanistan,2020-06-29,,
AFG,Afghanistan,2020-06-30,,
AFG,Afghanistan,2020-07-01,,
AFG,Afghanistan,2020-07-02,,
AFG,Afghanistan,2020-07-03,,
AFG,Afghanistan,2020-07-04,,
AFG,Afghanistan,2020-07-05,,
AFG,Afghanistan,2020-07-06,,
AFG,Afghanistan,2020-07-07,,
AFG,Afghanistan,2020-07-08,,
AFG,Afghanistan,2020-07-09,,
AFG,Afghanistan,2020-07-10,,
AFG,Afghanistan,2020-07-11,,
AFG,Afghanistan,2020-07-12,,
AFG,Afghanistan,2020-07-13,,
AFG,Afghanistan,2020-07-14,,
AFG,Afghanistan,2020-07-15,,
AFG,Afghanistan,2020-07-16,,
AFG,Afghanistan,2020-07-17,,
AFG,Afghanistan,2020-07-18,,
AFG,Afghanistan,2020-07-19,,
AFG,Afghanistan,2020-07-20,,
AFG,Afghanistan,2020-07-21,,
AFG,Afghanistan,2020-07-22,,
AFG,Afghanistan,2020-07-23,,
AFG,Afghanistan,2020-07-24,,
AFG,Afghanistan,2020-07-25,,
AFG,Afghanistan,2020-07-26,,
AFG,Afghanistan,2020-07-27,,
AFG,Afghanistan,2020-07-28,,
AFG,Afghanistan,2020-07-29,,
AFG,Afghanistan,2020-07-30,,
AFG,Afghanistan,2020-07-31,,
AFG,Afghanistan,2020-08-01,,
AFG,Afghanistan,2020-08-02,,
AFG,Afghanistan,2020-08-03,,
AFG,Afghanistan,2020-08-04,,
AFG,Afghanistan,2020-08-05,,
AFG,Afghanistan,2020-08-06,,
AFG,Afghanistan,2020-08-07,,
AFG,Afghanistan,2020-08-08,,
AFG,Afghanistan,2020-08-09,,
AFG,Afghanistan,2020-08-10,,
AFG,Afghanistan,2020-08-11,,
AFG,Afghanistan,2020-08-12,,
AFG,Afghanistan,2020-08-13,,
AFG,Afghanistan,2020-08-14,,
AFG,Afghanistan,2020-08-15,,
AFG,Afghanistan,2020-08-16,,
AFG,Afghanistan,2020-08-17,,
AFG,Afghanistan,2020-08-18,,
AFG,Afghanistan,2020-08-19,,
AFG,Afghanistan,2020-08-20,,
AFG,Afghanistan,2020-08-21,,
AFG,Afghanistan,2020-08-22,,
AFG,Afghanistan,2020-08-23,,
AFG,Afghanistan,2020-08-24,,
AFG,Afghanistan,2020-08-25,,
AFG,Afghanistan,2020-08-26,,
AFG,Afghanistan,2020-08-27,,
AFG,Afghanistan,2020-08-28,,
AFG,Afghanistan,2020-08-29,,
AFG,Afghanistan,2020-08-30,,
AFG,Afghanistan,2020-08-31,,
AFG,Afghanistan,2020-09-01,,
AFG,Afghanistan,2020-09-02,,
AFG,Afghanistan,2020-09-03,,
AFG,Afghanistan,2020-09-04,,
AFG,Afghanistan,2020-09-05,,
AFG,Afghanistan,2020-09-06,,
AFG,Afghanistan,2020-09-07,,
AFG,Afghanistan,2020-09-08,,
AFG,Afghanistan,2020-09-09,,
AFG,Afghanistan,2020-09-10,,
AFG,Afghanistan,2020-09-11,,
AFG,Afghanistan,2020-09-12,,
AFG,Afghanistan,2020-09-13,,
AFG,Afghanistan,2020-09-14,,
AFG,Afghanistan,2020-09-15,,
AFG,Afghanistan,2020-09-16,,
AFG,Afghanistan,2020-09-17,,
AFG,Afghanistan,2020-09-18,,
AFG,Afghanistan,2020-09-19,,
AFG,Afghanistan,2020-09-20,,
AFG,Afghanistan,2020-09-21,,
AFG,Afghanistan,2020-09-22,,
AFG,Afghanistan,2020-09-23,,
AFG,Afghanistan,2020-09-24,,
AFG,Afghanistan,2020-09-25,,
AFG,Afghanistan,2020-09-26,,
