date,/m/016kdb
2020-02-01,34
2020-02-02,32
2020-02-03,57
2020-02-04,32
2020-02-05,65
2020-02-06,100
2020-02-07,0
2020-02-08,34
2020-02-09,30
2020-02-10,31
2020-02-11,32
2020-02-12,0
2020-02-13,65
2020-02-14,50
2020-02-15,34
2020-02-16,47
2020-02-17,31
2020-02-18,31
2020-02-19,31
2020-02-20,0
2020-02-21,0
2020-02-22,70
2020-02-23,33
2020-02-24,31
2020-02-25,31
2020-02-26,0
2020-02-27,30
2020-02-28,65
2020-02-29,33
2020-03-01,42
2020-03-02,60
2020-03-03,31
2020-03-04,47
2020-03-05,31
2020-03-06,32
2020-03-07,34
2020-03-08,42
2020-03-09,30
2020-03-10,30
2020-03-11,0
2020-03-12,29
2020-03-13,32
2020-03-14,64
2020-03-15,0
2020-03-16,28
2020-03-17,0
2020-03-18,0
2020-03-19,29
2020-03-20,28
2020-03-21,0
2020-03-22,63
2020-03-23,60
2020-03-24,0
2020-03-25,29
2020-03-26,28
2020-03-27,44
2020-03-28,41
2020-03-29,29
2020-03-30,40
2020-03-31,44
2020-04-01,55
2020-04-02,53
2020-04-03,54
2020-04-04,31
2020-04-05,0
2020-04-06,27
2020-04-07,28
2020-04-08,29
2020-04-09,0
2020-04-10,44
2020-04-11,32
2020-04-12,31
2020-04-13,54
2020-04-14,0
2020-04-15,28
2020-04-16,29
2020-04-17,0
2020-04-18,0
2020-04-19,0
2020-04-20,44
2020-04-21,73
2020-04-22,43
2020-04-23,41
2020-04-24,27
2020-04-25,30
2020-04-26,32
2020-04-27,46
2020-04-28,25
2020-04-29,26
2020-04-30,25
2020-05-01,36
2020-05-02,28
2020-05-03,0
2020-05-04,38
2020-05-05,38
2020-05-06,0
2020-05-07,29
2020-05-08,57
2020-05-09,31
2020-05-10,29
2020-05-11,42
2020-05-12,0
2020-05-13,27
2020-05-14,0
2020-05-15,43
2020-05-16,31
2020-05-17,33
2020-05-18,0
2020-05-19,28
2020-05-20,0
2020-05-21,32
2020-05-22,45
2020-05-23,0
2020-05-24,57
2020-05-25,40
2020-05-26,84
2020-05-27,56
2020-05-28,55
2020-05-29,29
2020-05-30,0
2020-05-31,32
2020-06-01,30
2020-06-02,53
2020-06-03,49
2020-06-04,23
2020-06-05,24
2020-06-06,42
2020-06-07,0
2020-06-08,24
2020-06-09,49
2020-06-10,26
2020-06-11,54
2020-06-12,45
2020-06-13,32
2020-06-14,62
2020-06-15,44
2020-06-16,26
2020-06-17,26
2020-06-18,36
2020-06-19,57
2020-06-20,0
2020-06-21,31
2020-06-22,28
2020-06-23,29
2020-06-24,30
2020-06-25,30
2020-06-26,30
2020-06-27,32
2020-06-28,29
2020-06-29,27
2020-06-30,28
2020-07-01,27
2020-07-02,85
2020-07-03,30
2020-07-04,65
2020-07-05,30
2020-07-06,38
2020-07-07,0
2020-07-08,56
2020-07-09,62
2020-07-10,0
2020-07-11,36
2020-07-12,0
2020-07-13,31
2020-07-14,29
2020-07-15,30
2020-07-16,74
2020-07-17,33
2020-07-18,38
2020-07-19,0
2020-07-20,32
2020-07-21,35
2020-07-22,32
2020-07-23,32
2020-07-24,32
2020-07-25,0
2020-07-26,33
2020-07-27,45
2020-07-28,0
2020-07-29,0
2020-07-30,0
2020-07-31,33
2020-08-01,33
2020-08-02,32
2020-08-03,28
2020-08-04,0
2020-08-05,30
2020-08-06,30
2020-08-07,32
2020-08-08,33
2020-08-09,32
2020-08-10,29
2020-08-11,28
2020-08-12,28
2020-08-13,48
2020-08-14,29
2020-08-15,30
2020-08-16,31
2020-08-17,28
2020-08-18,28
2020-08-19,29
2020-08-20,29
2020-08-21,30
2020-08-22,49
2020-08-23,30
2020-08-24,0
2020-08-25,29
2020-08-26,44
2020-08-27,30
2020-08-28,30
2020-08-29,32
2020-08-30,31
2020-08-31,0
2020-09-01,29
2020-09-02,30
2020-09-03,30
2020-09-04,31
2020-09-05,42
2020-09-06,33
2020-09-07,30
2020-09-08,44
2020-09-09,59
2020-09-10,31
2020-09-11,64
2020-09-12,51
2020-09-13,0
2020-09-14,30
2020-09-15,0
2020-09-16,30
2020-09-17,91
2020-09-18,31
2020-09-19,33
2020-09-20,32
2020-09-21,29
2020-09-22,58
2020-09-23,0
2020-09-24,30
2020-09-25,31
2020-09-26,32
2020-09-27,0
2020-09-28,29
2020-09-29,61
