date,/m/0119h9rd_0,/m/0119h9rd,batch_id
2021-02-01,0.0,0.0,1
2021-02-02,0.0,0.0,1
2021-02-03,0.0,0.0,1
2021-02-04,26.0,26.0,1
2021-02-05,0.0,0.0,1
2021-02-06,0.0,0.0,1
2021-02-07,27.0,27.0,1
2021-02-08,24.0,24.0,1
2021-02-09,0.0,0.0,1
2021-02-10,0.0,0.0,1
2021-02-11,0.0,0.0,1
2021-02-12,0.0,0.0,1
2021-02-13,0.0,0.0,1
2021-02-14,29.0,29.0,1
2021-02-15,0.0,0.0,1
2021-02-16,26.0,26.0,1
2021-02-17,0.0,0.0,1
2021-02-18,0.0,0.0,1
2021-02-19,0.0,0.0,1
2021-02-20,0.0,0.0,1
2021-02-21,0.0,0.0,1
2021-02-22,0.0,0.0,1
2021-02-23,0.0,0.0,1
2021-02-24,0.0,0.0,1
2021-02-25,26.0,26.0,1
2021-02-26,26.0,26.0,1
2021-02-27,29.0,29.0,1
2021-02-28,0.0,0.0,1
2021-03-01,0.0,0.0,1
2021-03-02,26.0,26.0,1
2021-03-03,26.0,26.0,1
2021-03-04,0.0,0.0,1
2021-03-05,0.0,0.0,1
2021-03-06,29.0,29.0,1
2021-03-07,0.0,0.0,1
2021-03-08,0.0,0.0,1
2021-03-09,0.0,0.0,1
2021-03-10,50.0,50.0,1
2021-03-11,0.0,0.0,1
2021-03-12,0.0,0.0,1
2021-03-13,0.0,0.0,1
2021-03-14,0.0,0.0,1
2021-03-15,20.0,20.0,1
2021-03-16,0.0,0.0,1
2021-03-17,25.0,25.0,1
2021-03-18,0.0,0.0,1
2021-03-19,26.0,26.0,1
2021-03-20,0.0,0.0,1
2021-03-21,0.0,0.0,1
2021-03-22,0.0,0.0,1
2021-03-23,100.0,100.0,1
2021-03-24,0.0,0.0,1
2021-03-25,52.0,52.0,1
2021-03-26,0.0,0.0,1
2021-03-27,28.0,28.0,1
2021-03-28,0.0,0.0,1
2021-03-29,0.0,0.0,1
2021-03-30,27.0,27.0,1
2021-03-31,28.0,28.0,1
2021-04-01,27.0,27.0,1
2021-04-02,0.0,0.0,1
2021-04-03,29.0,29.0,1
2021-04-04,89.0,89.0,1
2021-04-05,0.0,0.0,1
2021-04-06,24.0,24.0,1
2021-04-07,0.0,0.0,1
2021-04-08,0.0,0.0,1
2021-04-09,26.0,26.0,1
2021-04-10,0.0,0.0,1
2021-04-11,0.0,0.0,1
2021-04-12,49.0,49.0,1
2021-04-13,0.0,0.0,1
2021-04-14,0.0,0.0,1
2021-04-15,0.0,0.0,1
2021-04-16,27.0,27.0,1
2021-04-17,0.0,0.0,1
2021-04-18,0.0,0.0,1
2021-04-19,25.0,25.0,1
2021-04-20,0.0,0.0,1
2021-04-21,26.0,26.0,1
2021-04-22,0.0,0.0,1
2021-04-23,0.0,0.0,1
2021-04-24,30.0,30.0,1
2021-04-25,0.0,0.0,1
2021-04-26,25.0,25.0,1
2021-04-27,52.0,52.0,1
2021-04-28,0.0,0.0,1
2021-04-29,0.0,0.0,1
2021-04-30,0.0,0.0,1
2021-05-01,0.0,0.0,1
2021-05-02,0.0,0.0,1
2021-05-03,0.0,0.0,1
2021-05-04,23.0,23.0,1
2021-05-05,24.0,24.0,1
2021-05-06,25.0,25.0,1
2021-05-07,0.0,0.0,1
2021-05-08,0.0,0.0,1
2021-05-09,0.0,0.0,1
2021-05-10,0.0,0.0,1
2021-05-11,48.0,48.0,1
2021-05-12,76.0,76.0,1
2021-05-13,0.0,0.0,1
2021-05-14,54.0,54.0,1
