FR-B, Fièvre, /m/0cjf0, 2020-11-07T06 2020-11-15T05
FR-B, Mal de gorge, /m/0b76bty, 2020-11-07T06 2020-11-15T05
FR-B, Dyspnée, /m/01cdt5, 2020-11-07T06 2020-11-15T05
FR-B, Agueusie, /m/05sfr2, 2020-11-07T06 2020-11-15T05
FR-B, Anosmie, /m/0m7pl, 2020-11-07T06 2020-11-15T05
FR-B, Virus, /m/0g9pc, 2020-11-07T06 2020-11-15T05
FR-B, Température corporelle humaine, /g/1213j0cz, 2020-11-07T06 2020-11-15T05
FR-B, Épidémie, /m/0hn9s, 2020-11-07T06 2020-11-15T05
FR-B, Symptôme, /m/01b_06, 2020-11-07T06 2020-11-15T05
FR-B, Thermomètre, /m/07mf1, 2020-11-07T06 2020-11-15T05
FR-B, Grippe espagnole, /m/01c751, 2020-11-07T06 2020-11-15T05
FR-B, Paracétamol, /m/0lbt3, 2020-11-07T06 2020-11-15T05
FR-B, Respiration, /m/02gy9_, 2020-11-07T06 2020-11-15T05
FR-B, Toux, /m/01b_21, 2020-11-07T06 2020-11-15T05
FR-B, Coronavirus, /m/01cpyy, 2020-03-23T15 2020-03-31T14
FR-B, Coronavirus, /m/01cpyy, 2020-03-31T00 2020-04-07T23
FR-B, Coronavirus, /m/01cpyy, 2020-04-29T12 2020-05-07T11
FR-B, Coronavirus, /m/01cpyy, 2020-07-19T15 2020-07-27T14
FR-B, Coronavirus, /m/01cpyy, 2020-11-07T06 2020-11-15T05
